Customer_ID,Customer_Segment,Customer_Status,Location_ID,Sales_Rep_ID,Credit_Limit,Payment_Terms_Days,Recency_Days,Days_Since_Last_Order,Frequency_Orders,Monetary_Total_Revenue,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Last_Order_Date,First_Order_Date,Avg_Order_Interval_Days,Order_Interval_Std_Days,Avg_Payment_Delay_Days,Max_Payment_Delay_Days,Collections_Count,Bounced_Check_Rate,Lifetime_Days,Lifetime_Years,Annual_Sales_Trailing12M,Revenue_Total_Lifetime,Cost_Total_Lifetime,Margin_Total_Lifetime,Margin_Pct,Margin_Cost_Basis_Actual_Pct,Margin_RARE_Revenue_Pct,Margin_Confidence,LTV,Revenue_Share_As_Of_Month,Revenue_Share_Pct_Latest,Revenue_Share_Pct_Avg,Lifetime_Complaints,Recent_Complaints_12M,Biggest_Problem,Expected_Next_Order_Date,Days_Until_Expected_Next_Order,Risk_Score,Risk_Level,Recommended_Action
C_009817,B,غیرفعال,LOC-012,REP-003,35000,0,710.0,710.0,1,22915.95,5.0,5.0,5.0,555,Champions,2020-07-20,2020-07-20,,,27.5,34.0,2,0.0,0,0.0,0.0,22915.95,19132.1676,3783.7824,0.1651,0.0,0.0,Low,3783.78,2022-06,0.0,0.0,0,0,,,,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_010119,C,غیرفعال,LOC-001,REP-003,43000,0,682.0,682.0,4,75990.31999999999,5.0,3.0,4.0,534,Loyal Customers,2020-08-17,2020-02-24,58.3,70.8,19.3,36.0,6,0.0,175,0.48,0.0,75990.31999999999,61844.23189999999,14146.088100000006,0.1862,0.8,0.0,High,14146.09,2022-06,0.0,0.0,0,0,,2020-10-14 07:12:00,-624.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_010649,B,فعال,LOC-007,REP-008,5630000,0,73.0,73.0,24,15602480.76,1.0,1.0,1.0,111,Lost / Churned,2022-04-18,2020-03-30,32.6,67.4,23.4,47.0,25,0.0,749,2.05,8835037.62,15602480.76,12718862.5758,2883618.1842,0.1848,0.279,1.0,Low,2883618.18,2022-06,0.0,0.1858,0,0,,2022-05-20 14:24:00,-41.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_011055,A,فعال,LOC-006,REP-002,84000,0,24.0,24.0,4,168414.09,1.0,3.0,4.0,134,Regular,2022-06-06,2020-05-25,247.3,379.9,1.0,2.0,2,0.0,742,2.03,80342.68,168414.09,147728.8362,20685.25380000001,0.1228,0.5,0.477,Medium,20685.25,2022-06,0.28,0.0792,0,0,,2023-02-08 07:12:00,223.0,1.0,Low,Upsell / grow share-of-wallet — low share vs estimated potential
C_014775,A,غیرفعال,LOC-002,REP-004,789000,0,486.0,486.0,3,607860.36,4.0,3.0,3.0,433,Loyal Customers,2021-03-01,2020-09-07,87.5,123.7,8.5,17.0,2,0.0,175,0.48,0.0,607860.36,583705.4682,24154.89179999997,0.0397,0.667,1.0,Low,24154.89,2022-06,0.0,0.0,0,0,,2021-05-27 12:00:00,-399.0,5.0,High,"Reactivation outreach — inactive, no recent orders"
C_015045,B,غیرفعال,LOC-012,REP-007,5000,0,521.0,521.0,1,2483.46,4.0,5.0,5.0,455,Champions,2021-01-25,2021-01-25,,,18.0,18.0,1,0.0,0,0.0,0.0,2483.46,2352.1808,131.27919999999995,0.0529,0.0,0.0,Low,131.28,2022-06,0.0,0.0,0,0,,,,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_015579,A,غیرفعال,LOC-010,REP-001,206000,0,682.0,682.0,3,272836.52999999997,5.0,3.0,4.0,534,Loyal Customers,2020-08-17,2020-06-22,28.0,0.0,16.0,26.0,3,0.0,56,0.15,0.0,272836.52999999997,250067.5252,22769.004799999988,0.0835,0.5,0.498,Medium,22769.0,2022-06,0.0,0.0,0,0,,2020-09-14 00:00:00,-654.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_015746,B,فعال,LOC-003,REP-004,5054000,0,73.0,73.0,14,24181028.43,1.0,2.0,1.0,121,Lost / Churned,2022-04-18,2021-01-11,35.5,40.3,25.0,33.0,11,0.091,462,1.26,18470794.74,24181028.43,25684460.5562,-1503432.126200001,-0.0622,0.32,0.009,Medium,-1503432.13,2022-06,0.0,0.1533,1,1,پرز و حلقه‌های بلند,2022-05-23 12:00:00,-38.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_016617,A,فعال,LOC-013,REP-005,4429000,0,52.0,52.0,9,5500233.39,1.0,2.0,1.0,121,Lost / Churned,2022-05-09,2020-02-17,101.5,171.2,34.0,49.0,8,0.0,812,2.22,4855611.649999999,5500233.39,5165452.4987,334780.89129999984,0.0609,0.429,0.0,Medium,334780.89,2022-06,0.0,0.0242,0,0,,2022-08-18 12:00:00,49.0,3.0,Medium,Review credit terms / collections follow-up — chronic late payment
C_018229,C,غیرفعال,LOC-009,REP-004,46000,0,507.0,507.0,7,78808.73,4.0,3.0,4.0,434,Loyal Customers,2021-02-08,2019-12-23,68.8,60.6,26.7,46.0,10,0.0,413,1.13,0.0,78808.73,71228.33009999999,7580.3999,0.0962,0.231,0.0,Medium,7580.4,2022-06,0.0,0.0,0,0,,2021-04-17 19:12:00,-439.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
