customer_id,snapshot_date,recency_days,tenure_days,freq_90d,freq_180d,freq_365d,freq_trend,monetary_sum_90d,monetary_avg_90d,monetary_sum_365d,gap_mean_days,gap_std_days,nunique_product_365d,nunique_group_365d,cash_ratio_365d,offer_count,offer_reject_rate,offer_expire_rate,offer_avg_discount_pct,avg_payment_delay_days,bounced_check_rate,wallet_share,has_offer_history,has_payment_history,has_wallet_share,low_history_flag
C_672256,2022-03-01,1,792,40,99,117,-19,20173596.98,504339.9245,39581989.44,2.471875,9.316743762801078,1,1,0.8205128205128205,9,0.1111111111111111,0.4444444444444444,4.800000000000001,24.587628865979383,0.0,0.6099998923469443,1,1,1,0
C_672706,2022-03-01,85,764,56,186,411,-74,573746.03,10245.464821428572,9070417.57,0.8498122653316645,5.469667723208194,4,3,0.1240875912408759,35,0.2285714285714285,0.3142857142857143,5.434285714285714,26.444444444444443,0.0,0.0,1,1,1,0
C_673190,2022-03-01,197,722,0,0,12,0,0.0,0.0,253963.14,35.0,75.9473501841901,1,1,1.0,0,0.0,0.0,0.0,18.666666666666668,0.0,0.0,0,1,1,0
C_677156,2022-03-01,134,428,0,3,3,-3,0.0,0.0,11999.18,22.615384615384617,67.57531410894867,3,2,1.0,0,0.0,0.0,0.0,25.625,0.0,0.0,0,1,1,0
C_677190,2022-03-01,1,764,7,12,16,2,3238737.65,462676.8071428571,4744966.44,21.194444444444443,38.394805782958606,2,2,1.0,1,0.0,1.0,6.3,30.416666666666668,0.0,0.3899998312848502,1,1,1,0
C_682000,2022-03-01,505,505,0,0,0,0,0.0,0.0,0.0,,,0,0,,0,0.0,0.0,0.0,39.0,0.0,0.0,0,1,1,1
C_683666,2022-03-01,8,757,203,772,1485,-366,19165253.41,94410.11532019704,84321345.69,0.1910226982912522,1.483577102865881,54,3,1.0,188,0.2553191489361702,0.2925531914893617,4.674468085106383,23.98809523809524,0.0079365079365079,0.5699999401650249,1,1,1,0
C_690888,2022-03-01,169,687,0,9,15,-9,0.0,0.0,3770726.41,14.38888888888889,44.77325590622648,8,2,0.2666666666666666,2,0.0,1.0,3.95,11.9,0.0,0.0,1,1,1,0
C_687729,2022-03-01,113,113,0,6,6,-6,0.0,0.0,68171.23,0.0,0.0,4,2,1.0,0,0.0,0.0,0.0,22.75,0.0,0.0,0,1,1,0
C_691158,2022-03-01,484,764,0,0,0,0,0.0,0.0,0.0,93.33333333333331,65.041012702243,0,0,,1,0.0,1.0,7.9,22.75,0.0,0.0,1,1,1,1
C_691869,2022-03-01,106,722,0,102,168,-102,0.0,0.0,47696700.68,1.855421686746988,21.132373772763767,2,1,0.2142857142857142,18,0.3333333333333333,0.1666666666666666,4.216666666666667,24.876712328767123,0.0,0.0,1,1,1,0
C_696763,2022-03-01,148,295,0,6,28,-6,0.0,0.0,4373945.52,5.444444444444445,13.215181634810232,2,2,0.2142857142857142,1,0.0,0.0,7.0,27.53846153846154,0.0,0.0,1,1,1,0
C_692721,2022-03-01,1,463,8,16,31,0,6882362.65,860295.33125,14051848.01,13.588235294117649,19.869449134605016,5,1,0.935483870967742,2,0.5,0.0,2.85,22.2,0.0,0.670000242682569,1,1,1,0
C_671162,2022-03-01,267,267,0,0,2,0,0.0,0.0,74346.55,0.0,,1,1,1.0,0,0.0,0.0,0.0,33.0,0.0,0.0,0,1,1,0
C_687039,2022-03-01,743,743,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0.0,0.0,35.0,0.0,0.0,0,1,1,1
C_669722,2022-03-01,372,372,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1
C_636079,2022-03-01,239,239,0,0,2,0,0.0,0.0,953790.63,0.0,,2,1,1.0,0,0.0,0.0,0.0,42.0,0.0,0.0,0,1,1,0
C_665890,2022-03-01,533,533,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,,0,0.0,0.0,0.0,25.0,0.0,0.0,0,1,1,1
C_633661,2022-03-01,8,764,27,97,273,-43,19521385.63,723014.2825925925,95550648.15,0.9545454545454546,2.8732964801621685,6,2,1.0,31,0.1612903225806451,0.3225806451612903,4.916129032258064,23.617737003058103,0.0061162079510703,0.2799999999999999,1,1,1,0
C_697340,2022-03-01,127,288,0,6,24,-6,0.0,0.0,12991351.98,7.0,13.348476249438292,8,1,1.0,0,0.0,0.0,0.0,22.23076923076923,0.0,0.0,0,1,1,0
C_638314,2022-03-01,372,729,0,0,0,0,0.0,0.0,0.0,89.25,102.141650009517,0,0,,0,0.0,0.0,0.0,20.4,0.0,0.0,0,1,1,1
C_642833,2022-03-01,512,512,0,0,0,0,0.0,0.0,0.0,,,0,0,,0,0.0,0.0,0.0,14.0,0.0,0.0,0,1,1,1
C_645011,2022-03-01,407,764,0,0,0,0,0.0,0.0,0.0,16.227272727272727,36.49387661379688,0,0,,2,1.0,0.0,1.85,21.571428571428573,0.0,0.0,1,1,1,1
C_646025,2022-03-01,645,764,0,0,0,0,0.0,0.0,0.0,9.916666666666666,28.072821969537248,0,0,,1,1.0,0.0,4.0,18.5,0.0,0.0,1,1,1,1
C_649318,2022-03-01,190,792,0,0,8,0,0.0,0.0,12249.74,18.8125,38.31738214170624,5,2,1.0,2,0.5,0.5,6.35,21.26923076923077,0.0,0.0,1,1,1,0
C_651986,2022-03-01,701,701,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0.0,0.0,21.0,0.0,0.0,0,1,1,1
