offer_id,customer_id,offer_date,available_at,product_id,product_family,base_price_per_unit,offered_price_per_unit,offer_discount_pct,offer_type,validity_days,offer_reason,result,decision_at,decision_available_at,source_system
OFF-0000001,C_746892,2021-11-30,2021-12-02,P_310017,Product_Family_05,490.08,450.38,0.081,قیمتی,29,تسویه سریع,رد,2021-12-13,2021-12-15,CRM_OFFERS
OFF-0000002,C_317124,2022-03-25,2022-03-27,P_787964,Product_Family_03,681.78,667.39,0.0211,حجمی,5,رقابت قیمتی,درحال مذاکره,,,CRM_OFFERS
OFF-0000003,C_683666,2020-08-02,2020-08-02,P_RARE_Product_Family_03,Product_Family_03,119.57,117.64,0.0161,قیمتی,13,تسویه سریع,قبول,2020-08-24,2020-08-24,CRM_OFFERS
OFF-0000004,C_749821,2021-12-09,2021-12-11,P_476864,Product_Family_05,339.43,317.1,0.0658,قیمتی,27,معرفی محصول جدید,رد,2022-01-08,2022-01-10,CRM_OFFERS
OFF-0000005,C_317124,2021-06-26,2021-06-26,P_RARE_Product_Family_03,Product_Family_03,99.2,93.18,0.0607,مدت‌دار,9,افزایش سهم از سبد,قبول,2021-07-22,2021-07-22,CRM_OFFERS
OFF-0000006,C_180817,2021-11-09,2021-11-09,P_RARE_Product_Family_04,Product_Family_04,307.22,283.9,0.0759,حجمی,11,افزایش سهم از سبد,قبول,2021-11-18,2021-11-18,CRM_OFFERS
OFF-0000007,C_472366,2021-11-04,2021-11-05,P_593409,Product_Family_02,382.84,355.73,0.0708,مدت‌دار,19,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000008,C_932446,2020-01-06,2020-01-06,P_RARE_Product_Family_03,Product_Family_03,100.37,95.8,0.0455,مدت‌دار,7,آزمون محصول,درحال مذاکره,,,CRM_OFFERS
OFF-0000009,C_683666,2021-07-07,2021-07-08,P_RARE_Product_Family_03,Product_Family_03,216.84,208.06,0.0405,حجمی,15,افزایش حجم سفارش,منقضی‌شده,2021-07-15,2021-07-16,CRM_OFFERS
OFF-0000010,C_705572,2021-08-06,2021-08-08,P_105041,Product_Family_04,179.06,170.82,0.046,حجمی,12,معرفی محصول جدید,رد,2021-09-03,2021-09-05,CRM_OFFERS
OFF-0000011,C_848211,2020-04-22,2020-04-23,P_RARE_Product_Family_03,Product_Family_03,95.15,90.29,0.0511,مدت‌دار,30,افزایش سهم از سبد,منقضی‌شده,2020-04-24,2020-04-25,CRM_OFFERS
OFF-0000012,C_937594,2020-12-27,2020-12-28,P_672380,Product_Family_05,178.65,172.24,0.0359,مدت‌دار,28,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000013,C_258325,2020-05-08,2020-05-08,P_572494,Product_Family_01,78.4,75.19,0.0409,مدت‌دار,20,افزایش حجم سفارش,قبول,2020-05-31,2020-05-31,CRM_OFFERS
OFF-0000014,C_519849,2020-10-05,2020-10-06,P_138220,Product_Family_03,56.02,52.31,0.0662,قیمتی,6,حفظ مشتری کلیدی,منقضی‌شده,2020-10-20,2020-10-21,CRM_OFFERS
OFF-0000015,C_954731,2021-03-13,2021-03-13,P_404680,Product_Family_04,55.99,52.0,0.0713,مدت‌دار,24,معرفی محصول جدید,قبول,2021-04-02,2021-04-02,CRM_OFFERS
OFF-0000016,C_746892,2021-01-06,2021-01-06,P_989994,Product_Family_03,135.44,127.84,0.0561,مدت‌دار,22,آزمون محصول,قبول,2021-01-13,2021-01-13,CRM_OFFERS
OFF-0000017,C_838088,2021-12-06,2021-12-08,P_RARE_Product_Family_01,Product_Family_01,440.83,413.85,0.0612,قیمتی,14,تسویه سریع,درحال مذاکره,,,CRM_OFFERS
OFF-0000018,C_683666,2020-07-18,2020-07-19,P_RARE_Product_Family_03,Product_Family_03,95.22,87.55,0.0805,حجمی,24,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000019,C_282979,2020-09-26,2020-09-26,P_RARE_Product_Family_04,Product_Family_04,66.96,66.25,0.0106,مدت‌دار,16,تسویه سریع,قبول,2020-10-23,2020-10-23,CRM_OFFERS
OFF-0000020,C_076411,2021-03-06,2021-03-06,P_769459,Product_Family_02,189.37,183.46,0.0312,مدت‌دار,18,تسویه سریع,درحال مذاکره,,,CRM_OFFERS
OFF-0000021,C_683666,2021-12-13,2021-12-14,P_569454,Product_Family_03,448.2,436.5,0.0261,قیمتی,26,معرفی محصول جدید,رد,2021-12-28,2021-12-29,CRM_OFFERS
OFF-0000022,C_727451,2021-01-25,2021-01-27,P_RARE_Product_Family_05,Product_Family_05,219.29,214.68,0.021,مدت‌دار,8,تسویه سریع,قبول,2021-02-05,2021-02-07,CRM_OFFERS
OFF-0000023,C_317124,2021-02-17,2021-02-17,P_RARE_Product_Family_03,Product_Family_03,88.45,87.03,0.016,حجمی,16,رقابت قیمتی,منقضی‌شده,2021-02-23,2021-02-23,CRM_OFFERS
OFF-0000024,C_113139,2020-07-01,2020-07-02,P_528372,Product_Family_01,78.36,77.51,0.0109,حجمی,24,آزمون محصول,رد,2020-07-03,2020-07-04,CRM_OFFERS
OFF-0000025,C_361181,2020-12-11,2020-12-13,P_RARE_Product_Family_05,Product_Family_05,209.93,192.95,0.0809,حجمی,6,رقابت قیمتی,درحال مذاکره,,,CRM_OFFERS
OFF-0000026,C_444616,2022-05-20,2022-05-20,P_434331,Product_Family_04,591.87,547.01,0.0758,قیمتی,14,حفظ مشتری کلیدی,منقضی‌شده,2022-06-12,2022-06-12,CRM_OFFERS
OFF-0000027,C_051535,2020-08-16,2020-08-17,P_434331,Product_Family_04,68.68,63.82,0.0708,حجمی,22,معرفی محصول جدید,رد,2020-09-04,2020-09-05,CRM_OFFERS
OFF-0000028,C_892680,2022-04-29,2022-04-30,P_219757,Product_Family_05,1251.38,1161.78,0.0716,قیمتی,6,معرفی محصول جدید,رد,2022-05-24,2022-05-25,CRM_OFFERS
OFF-0000029,C_401016,2020-05-31,2020-06-02,P_RARE_Product_Family_04,Product_Family_04,95.9,89.51,0.0666,مدت‌دار,14,حفظ مشتری کلیدی,قبول,2020-06-20,2020-06-22,CRM_OFFERS
OFF-0000030,C_899372,2021-05-13,2021-05-14,P_460131,Product_Family_02,168.29,157.17,0.0661,حجمی,10,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000031,C_806376,2021-09-14,2021-09-14,P_RARE_Product_Family_02,Product_Family_02,184.07,170.96,0.0712,حجمی,28,آزمون محصول,درحال مذاکره,,,CRM_OFFERS
OFF-0000032,C_258325,2021-10-12,2021-10-14,P_676495,Product_Family_03,273.41,252.55,0.0763,مدت‌دار,20,تسویه سریع,رد,2021-10-20,2021-10-22,CRM_OFFERS
OFF-0000033,C_439356,2021-01-10,2021-01-11,P_388809,Product_Family_03,124.1,114.01,0.0813,حجمی,12,تسویه سریع,منقضی‌شده,2021-01-23,2021-01-24,CRM_OFFERS
OFF-0000034,C_705572,2021-09-06,2021-09-08,P_978590,Product_Family_04,274.12,261.54,0.0459,حجمی,16,افزایش حجم سفارش,رد,2021-09-18,2021-09-20,CRM_OFFERS
OFF-0000035,C_245948,2020-11-23,2020-11-24,P_RARE_Product_Family_04,Product_Family_04,100.48,95.36,0.051,مدت‌دار,8,افزایش سهم از سبد,منقضی‌شده,2020-12-09,2020-12-10,CRM_OFFERS
OFF-0000036,C_728285,2021-03-13,2021-03-13,P_434331,Product_Family_04,103.62,97.82,0.056,قیمتی,26,تسویه سریع,قبول,2021-04-03,2021-04-03,CRM_OFFERS
OFF-0000037,C_951507,2021-05-15,2021-05-17,P_RARE_Product_Family_05,Product_Family_05,281.57,264.37,0.0611,مدت‌دار,18,افزایش سهم از سبد,رد,2021-06-09,2021-06-11,CRM_OFFERS
OFF-0000038,C_672706,2021-07-14,2021-07-16,P_RARE_Product_Family_02,Product_Family_02,113.48,109.89,0.0316,قیمتی,24,افزایش حجم سفارش,رد,2021-07-19,2021-07-21,CRM_OFFERS
OFF-0000039,C_152040,2020-06-22,2020-06-23,P_RARE_Product_Family_04,Product_Family_04,49.25,47.44,0.0367,مدت‌دار,16,افزایش سهم از سبد,منقضی‌شده,2020-07-01,2020-07-02,CRM_OFFERS
OFF-0000040,C_806376,2021-05-04,2021-05-06,P_RARE_Product_Family_03,Product_Family_03,243.05,236.71,0.0261,قیمتی,27,آزمون محصول,رد,2021-05-13,2021-05-15,CRM_OFFERS
OFF-0000041,C_789545,2021-03-09,2021-03-09,P_615273,Product_Family_04,182.55,178.7,0.0211,حجمی,9,آزمون محصول,قبول,2021-03-14,2021-03-14,CRM_OFFERS
OFF-0000042,C_117580,2020-07-26,2020-07-26,P_672805,Product_Family_02,130.88,126.14,0.0362,قیمتی,11,افزایش سهم از سبد,قبول,2020-08-13,2020-08-13,CRM_OFFERS
OFF-0000043,C_117580,2020-07-26,2020-07-27,P_RARE_Product_Family_02,Product_Family_02,91.21,88.36,0.0312,حجمی,19,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000044,C_749821,2022-01-07,2022-01-08,P_427325,Product_Family_05,848.3,809.02,0.0463,حجمی,21,افزایش سهم از سبد,منقضی‌شده,2022-02-03,2022-02-04,CRM_OFFERS
OFF-0000045,C_117580,2020-09-11,2020-09-13,P_047794,Product_Family_02,134.04,128.5,0.0413,مدت‌دار,29,حفظ مشتری کلیدی,رد,2020-10-04,2020-10-06,CRM_OFFERS
OFF-0000046,C_117580,2020-07-01,2020-07-03,P_RARE_Product_Family_02,Product_Family_02,130.09,122.74,0.0565,قیمتی,5,افزایش سهم از سبد,درحال مذاکره,,,CRM_OFFERS
OFF-0000047,C_691869,2021-08-25,2021-08-25,P_RARE_Product_Family_04,Product_Family_04,172.59,163.72,0.0514,مدت‌دار,13,معرفی محصول جدید,قبول,2021-09-25,2021-09-25,CRM_OFFERS
OFF-0000048,C_338236,2021-10-04,2021-10-04,P_735610,Product_Family_04,125.53,117.17,0.0666,مدت‌دار,15,افزایش حجم سفارش,قبول,2021-10-19,2021-10-19,CRM_OFFERS
OFF-0000049,C_662193,2020-04-13,2020-04-14,P_RARE_Product_Family_03,Product_Family_03,83.81,78.66,0.0615,قیمتی,23,تسویه سریع,منقضی‌شده,2020-04-23,2020-04-24,CRM_OFFERS
OFF-0000050,C_683666,2020-04-28,2020-04-28,P_241469,Product_Family_03,110.84,108.02,0.0254,مدت‌دار,5,افزایش سهم از سبد,رد,2020-05-16,2020-05-16,CRM_OFFERS
OFF-0000051,C_683666,2021-05-23,2021-05-25,P_RARE_Product_Family_01,Product_Family_01,235.43,228.27,0.0304,حجمی,23,معرفی محصول جدید,منقضی‌شده,2021-06-14,2021-06-16,CRM_OFFERS
OFF-0000052,C_317124,2021-02-04,2021-02-06,P_RARE_Product_Family_03,Product_Family_03,92.43,91.02,0.0153,قیمتی,21,تسویه سریع,منقضی‌شده,2021-02-13,2021-02-15,CRM_OFFERS
OFF-0000053,C_632933,2021-07-27,2021-07-28,P_992126,Product_Family_03,190.7,186.83,0.0203,حجمی,13,حفظ مشتری کلیدی,قبول,2021-08-09,2021-08-10,CRM_OFFERS
OFF-0000054,C_150182,2021-02-20,2021-02-21,P_655926,Product_Family_04,169.92,156.31,0.0801,حجمی,11,آزمون محصول,قبول,2021-03-22,2021-03-23,CRM_OFFERS
OFF-0000055,C_862106,2020-02-15,2020-02-15,P_850562,Product_Family_04,77.15,76.36,0.0102,مدت‌دار,29,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000056,C_422697,2020-03-30,2020-03-30,P_RARE_Product_Family_05,Product_Family_05,192.17,178.72,0.07,حجمی,27,تسویه سریع,رد,2020-04-20,2020-04-20,CRM_OFFERS
OFF-0000057,C_739258,2020-05-18,2020-05-20,P_709297,Product_Family_01,79.54,73.57,0.0751,حجمی,19,افزایش حجم سفارش,منقضی‌شده,2020-06-13,2020-06-15,CRM_OFFERS
