customer_id,date
C_015746,2021-05-18
C_022240,2021-05-24
C_022240,2020-04-27
C_051535,2021-01-18
C_051706,2021-06-23
C_063809,2020-05-23
C_063926,2021-02-21
C_086403,2020-08-06
C_113139,2021-12-06
C_113139,2021-08-15
C_113139,2020-11-07
C_117580,2020-06-20
C_117580,2020-04-04
C_117580,2020-03-28
C_129349,2020-05-11
C_147153,2022-04-04
C_170045,2021-06-23
C_182241,2021-04-10
C_219026,2021-05-03
C_222193,2020-10-10
C_240236,2021-08-19
C_242632,2020-08-28
C_245948,2020-10-11
C_245948,2020-05-12
C_247907,2020-05-11
C_258325,2021-11-16
C_258325,2020-05-30
C_276262,2022-01-15
C_298813,2020-09-06
C_310107,2020-06-22
C_328979,2021-07-07
C_338236,2022-03-26
C_391166,2020-11-20
C_395264,2021-07-15
C_411261,2020-04-06
C_412635,2020-10-11
C_421536,2021-04-19
C_421536,2020-12-24
C_421536,2020-07-07
C_465481,2020-06-02
C_465481,2020-01-28
C_472366,2022-04-22
C_472366,2022-02-07
C_472366,2022-01-10
C_473035,2020-04-15
C_474104,2020-07-01
C_479796,2021-12-08
C_479796,2021-10-11
C_531512,2021-01-12
C_551361,2020-08-11
C_568392,2021-09-16
C_590257,2020-04-02
C_593639,2022-02-22
C_593639,2020-03-05
C_603877,2021-04-19
C_603877,2020-12-08
C_616910,2021-04-12
C_633661,2022-01-10
C_633661,2020-09-03
C_662193,2020-04-06
C_683666,2021-10-13
C_683666,2020-07-23
C_698497,2021-07-05
C_698497,2020-11-10
C_705572,2020-10-06
C_746892,2021-12-20
C_746892,2020-11-12
C_749821,2021-04-10
C_756222,2020-05-26
C_769491,2021-12-28
C_769491,2021-03-14
C_806376,2021-09-25
C_806376,2021-09-17
C_806376,2021-08-05
C_806376,2021-07-28
C_806376,2021-07-14
C_806376,2021-03-15
C_806376,2020-12-15
C_806376,2020-10-27
C_812674,2021-07-31
C_820281,2021-07-09
C_838088,2020-07-27
C_853926,2022-03-09
C_853926,2020-07-28
C_877858,2021-06-16
C_877858,2021-02-24
C_884864,2021-09-11
C_888956,2020-11-07
C_931525,2021-07-09
C_937594,2021-12-09
C_941574,2021-07-31
C_951507,2020-06-26
C_980626,2021-06-02
