customer_id,monetary,sow,margin,on_time,check_quality,frequency,recency,trend,offer_accept,growth_capacity,score,value_tier,monetary_raw,sow_raw,margin_raw,on_time_raw,check_quality_raw,frequency_raw,recency_days
C_009817,0.3121,0.3061,,,,0.3121,0.1162,,,0.2684,27.8,مشتری قرمز,0.0,0.0,,,,0,710.0
C_010119,0.3121,0.3061,,,,0.3121,0.1394,,,0.3197,28.5,مشتری قرمز,0.0,0.0,,,,0,682.0
C_010649,0.8913,0.7484,0.8066,0.3656,0.5158,0.684,0.7941,,0.2077,0.8622,68.7,مشتری پایدار,3752761.74,0.1067,0.1213,0.0,1.0,1,73.0
C_011055,0.6817,0.8237,0.6872,,,0.7787,0.9952,0.3431,0.2077,0.0897,67.1,مشتری پایدار,80342.68,0.1583,0.1006,,,2,24.0
C_014775,0.3121,0.3061,,,,0.3121,0.2845,,,0.4054,31.2,مشتری قرمز,0.0,0.0,,,,0,486.0
C_015045,0.3121,0.3061,,,,0.3121,0.2556,,,0.2644,29.9,مشتری قرمز,0.0,0.0,,,,0,521.0
C_015579,0.3121,0.3061,,,,0.3121,0.1394,,,0.3494,28.7,مشتری قرمز,0.0,0.0,,,,0,682.0
C_015746,0.9643,0.8141,0.0288,0.3656,0.5158,0.8921,0.7941,1.0,,0.976,67.6,مشتری پایدار,14944194.47,0.15,-0.1284,0.0,1.0,5,73.0
C_016617,0.9146,0.6234,0.3539,0.3656,0.5158,0.8346,0.9191,,,0.9279,65.7,مشتری پایدار,4786505.29,0.0483,0.0531,0.0,1.0,3,52.0
C_018229,0.3121,0.3061,,,,0.3121,0.266,,,0.1979,29.7,مشتری قرمز,0.0,0.0,,,,0,507.0
C_018593,0.3121,0.3061,,,,0.3121,0.0553,,,0.1683,26.4,مشتری قرمز,0.0,0.0,,,,0,808.0
C_021668,0.3121,0.3061,,,,0.3121,0.1306,,,0.2933,28.2,مشتری قرمز,0.0,0.0,,,,0,689.0
C_021985,0.6553,0.7324,0.5391,0.9486,0.5158,0.8346,0.9191,0.4015,,0.0721,67.4,مشتری پایدار,34689.42,0.1,0.0771,0.3137,1.0,3,52.0
C_022240,0.7655,0.8253,0.2963,0.7866,0.5158,0.92,0.9511,0.562,0.2077,0.6058,67.7,مشتری پایدار,522652.61,0.16,0.0428,0.045,1.0,7,45.0
C_022746,0.3121,0.3061,,,,0.3121,0.6066,,,0.8189,38.4,مشتری قرمز,0.0,0.0,,,,0,185.0
C_023073,0.6304,0.7756,0.6337,0.3656,0.5158,0.684,0.7556,,,0.0529,60.3,مشتری پایدار,8817.89,0.115,0.0896,0.0,1.0,1,80.0
C_027096,0.3121,0.3061,,,,0.3121,0.3413,,,0.1731,30.7,مشتری قرمز,0.0,0.0,,,,0,416.0
C_028208,0.3121,0.3061,,0.3656,0.5158,0.3121,0.6066,,,0.0048,36.6,مشتری قرمز,0.0,0.0,,0.0,1.0,0,185.0
C_029626,0.3121,0.3061,,,,0.3121,0.1114,,,0.2644,27.8,مشتری قرمز,0.0,0.0,,,,0,717.0
C_031511,0.7158,0.6811,0.1317,0.3656,0.5158,0.684,0.9712,,,0.5529,56.8,مشتری پرچالش,201011.7,0.0767,0.0037,0.0,1.0,1,38.0
C_034287,0.3121,0.3061,,,,0.3121,0.1162,,,0.3582,28.4,مشتری قرمز,0.0,0.0,,,,0,710.0
C_035154,0.3121,0.3061,,,,0.3121,0.4487,,,0.0064,31.4,مشتری قرمز,0.0,0.0,,,,0,318.0
C_035718,0.3121,0.3061,,,,0.3121,0.4952,,,0.0128,32.1,مشتری قرمز,0.0,0.0,,,,0,283.0
C_039413,0.3121,0.3061,,,,0.3121,0.0978,,,0.234,27.4,مشتری قرمز,0.0,0.0,,,,0,731.0
C_040673,0.7733,0.7957,0.1399,0.3656,0.5158,0.684,0.7155,,,0.6314,57.8,مشتری پرچالش,589600.75,0.125,0.0046,0.0,1.0,1,94.0
C_042732,0.7888,0.8494,0.1193,0.3656,0.5158,0.7787,0.9511,0.2555,0.4538,0.7484,58.7,مشتری پرچالش,769940.87,0.195,-0.0015,0.0,1.0,2,45.0
C_049314,0.3121,0.3061,,,,0.3121,0.1226,,,0.1154,27.1,مشتری قرمز,0.0,0.0,,,,0,703.0
C_050237,0.9953,0.9183,0.3086,0.9328,0.5158,0.9651,0.9712,0.8613,,0.9904,81.7,شریک طلایی,50032287.01,0.2867,0.0463,0.2551,1.0,13,38.0
C_051392,0.3121,0.3061,,,,0.3121,0.2596,,,0.1426,29.3,مشتری قرمز,0.0,0.0,,,,0,514.0
C_051535,0.9922,0.9439,0.7119,0.7826,0.5158,0.9689,0.8349,0.9708,0.5231,0.9856,84.1,شریک طلایی,45836867.02,0.3333,0.1041,0.0428,1.0,14,66.0
C_051706,0.9161,0.9279,0.3333,0.3656,0.5158,0.948,0.9191,0.8175,,0.8237,72.1,مشتری پایدار,5093291.62,0.31,0.0507,0.0,1.0,10,52.0
C_054476,0.8478,0.7244,0.7202,0.3656,0.5158,0.684,0.8774,,,0.7756,68.7,مشتری پایدار,1821473.44,0.0983,0.105,0.0,1.0,1,59.0
C_054737,0.3121,0.3061,,,,0.3121,0.3822,,,0.2236,31.6,مشتری قرمز,0.0,0.0,,,,0,367.0
C_058218,0.9845,0.9728,0.963,0.8142,0.5158,0.9689,0.7308,0.073,,0.9359,81.0,شریک طلایی,30539374.67,0.38,0.1845,0.0789,1.0,14,87.0
C_058685,0.3121,0.3061,,,,0.3121,0.1394,,,0.4936,29.5,مشتری قرمز,0.0,0.0,,,,0,682.0
C_059511,0.3121,0.3061,,,,0.3121,0.2845,,,0.4896,31.6,مشتری قرمز,0.0,0.0,,,,0,486.0
C_063809,0.7252,0.8093,0.5556,0.3656,0.5158,0.8346,0.7941,0.708,,0.5913,65.9,مشتری پایدار,241591.55,0.145,0.079,0.0,1.0,3,73.0
C_063926,0.868,0.8638,0.0576,0.7589,0.5158,0.9752,0.7556,0.2628,,0.8093,65.7,مشتری پایدار,2340462.41,0.2133,-0.0739,0.0291,1.0,15,80.0
C_066978,0.7391,0.7885,0.2716,,,0.7787,0.6122,,,0.6506,64.4,مشتری پایدار,340988.67,0.12,0.0378,,,2,171.0
C_069492,0.8944,0.7804,0.6008,0.3656,0.5158,0.684,0.9191,,,0.9647,69.9,مشتری پایدار,3949641.61,0.1167,0.085,0.0,1.0,1,52.0
C_070220,0.3121,0.3061,,,,0.3121,0.3117,,,0.4407,31.8,مشتری قرمز,0.0,0.0,,,,0,451.0
C_070712,0.8106,0.9103,0.6543,0.8854,0.5158,0.9402,0.7556,0.292,,0.649,74.3,مشتری پایدار,1092719.47,0.28,0.0925,0.1662,1.0,9,80.0
C_074947,0.8789,0.9327,0.642,0.3656,0.5158,0.9301,0.9848,0.3869,0.2077,0.6971,70.0,مشتری پایدار,2910017.95,0.32,0.0908,0.0,1.0,8,31.0
C_076411,0.3121,0.3061,,,,0.3121,0.3333,,,0.3838,31.8,مشتری قرمز,0.0,0.0,,,,0,423.0
C_077505,0.3121,0.3061,,,,0.3121,0.3253,,,0.4768,32.2,مشتری قرمز,0.0,0.0,,,,0,430.0
C_080312,0.3121,0.3061,,,,0.3121,0.0513,,,0.4175,27.7,مشتری قرمز,0.0,0.0,,,,0,815.0
C_081235,0.7329,0.6506,0.1934,0.3656,0.5158,0.7787,0.6611,,,0.6715,56.2,مشتری پرچالش,287381.04,0.0617,0.0244,0.0,1.0,2,129.0
C_081456,0.8323,0.6378,1.0,0.3656,0.5158,0.684,0.6458,,,0.7692,69.1,مشتری پایدار,1509673.61,0.055,0.3095,0.0,1.0,1,136.0
C_082643,0.3121,0.3061,,,,0.3121,0.2252,,,0.1282,28.7,مشتری قرمز,0.0,0.0,,,,0,570.0
C_083552,0.7112,0.6154,0.1893,0.3656,0.5158,0.684,0.8349,,,0.5641,55.3,مشتری پرچالش,177137.61,0.0433,0.0225,0.0,1.0,1,66.0
C_086403,0.7376,0.6603,0.1523,0.3656,0.5158,0.684,0.7941,,,0.5801,55.7,مشتری پرچالش,325589.41,0.065,0.0063,0.0,1.0,1,73.0
C_086972,0.3121,0.3061,,,,0.3121,0.0112,,,0.4728,27.4,مشتری قرمز,0.0,0.0,,,,0,878.0
C_091932,0.3121,0.3061,,,,0.3121,0.0889,,,0.3021,27.6,مشتری قرمز,0.0,0.0,,,,0,745.0
C_091997,0.3121,0.3061,,,,0.3121,0.5016,,,0.7388,36.3,مشتری قرمز,0.0,0.0,,,,0,269.0
C_094312,0.3121,0.3061,,0.3656,0.5158,0.3121,0.6002,,,0.8397,39.9,مشتری قرمز,0.0,0.0,,0.0,1.0,0,192.0
C_095017,0.8929,0.8029,0.1276,0.3656,0.5158,0.8703,0.8349,0.8394,,0.8542,65.8,مشتری پایدار,3772943.33,0.1333,0.0034,0.0,1.0,4,66.0
C_097158,0.3121,0.3061,,,,0.3121,0.1306,,,0.1354,27.3,مشتری قرمز,0.0,0.0,,,,0,689.0
C_099163,0.3121,0.3061,,,,0.3121,0.1266,,,0.4127,28.8,مشتری قرمز,0.0,0.0,,,,0,696.0
C_101421,0.3121,0.3061,,,,0.3121,0.4367,,,0.0032,31.2,مشتری قرمز,0.0,0.0,,,,0,325.0
C_101842,0.9829,0.9455,0.7984,0.8656,0.5158,0.9752,0.7155,0.9562,0.8154,0.9535,86.1,شریک طلایی,29115904.25,0.335,0.12,0.1384,1.0,15,94.0
C_110846,0.3121,0.3061,,,,0.3121,0.1883,,,0.1595,28.3,مشتری قرمز,0.0,0.0,,,,0,619.0
C_113139,0.9425,0.9311,0.3292,0.83,0.5158,0.9596,0.9191,0.146,0.4538,0.8862,72.0,مشتری پایدار,9729787.34,0.3133,0.0501,0.1059,1.0,12,52.0
C_117580,0.3121,0.3061,,,,0.3121,0.1603,,,0.3197,28.8,مشتری قرمز,0.0,0.0,,,,0,661.0
C_118223,0.7065,0.9215,0.2757,0.3656,0.5158,0.8921,0.7941,0.5255,,0.1074,61.0,مشتری پایدار,169664.54,0.2933,0.0401,0.0,1.0,5,73.0
C_119382,0.3121,0.3061,,,,0.3121,0.4191,,,0.0369,31.1,مشتری قرمز,0.0,0.0,,,,0,339.0
C_120272,0.3121,0.3061,,,,0.3121,0.4367,,,0.7981,35.7,مشتری قرمز,0.0,0.0,,,,0,325.0
C_121437,0.3121,0.3061,,,,0.3121,0.2949,,,0.3494,31.0,مشتری قرمز,0.0,0.0,,,,0,472.0
C_122750,0.3121,0.3061,,,,0.3121,0.5954,,,0.7003,37.5,مشتری قرمز,0.0,0.0,,,,0,199.0
C_123245,0.3121,0.3061,,,,0.3121,0.1546,,,0.254,28.3,مشتری قرمز,0.0,0.0,,,,0,668.0
C_126481,0.3121,0.3061,,,,0.3121,0.0849,,,0.1715,26.8,مشتری قرمز,0.0,0.0,,,,0,752.0
C_129349,0.3121,0.3061,,,,0.3121,0.0745,,,0.3734,27.8,مشتری قرمز,0.0,0.0,,,,0,780.0
C_134962,0.3121,0.3061,,,,0.3121,0.5016,,,0.7276,36.3,مشتری قرمز,0.0,0.0,,,,0,269.0
C_135878,0.3121,0.3061,,,,0.3121,0.3013,,,0.1242,29.8,مشتری قرمز,0.0,0.0,,,,0,465.0
C_137881,0.8121,0.6138,0.0905,0.3656,0.5158,0.684,0.6346,,,0.7853,54.8,مشتری پرچالش,1175202.81,0.0433,-0.0421,0.0,1.0,1,143.0
C_144468,0.7593,0.7212,0.3868,0.3656,0.5158,0.684,0.8349,,,0.851,61.8,مشتری پایدار,497731.63,0.0967,0.0571,0.0,1.0,1,66.0
C_147153,0.9534,0.9503,0.7037,0.3656,0.0158,0.92,0.8349,0.0949,,0.8654,66.0,مشتری پایدار,12449940.53,0.3383,0.1031,0.0,0.9167,7,66.0
C_147980,0.3121,0.3061,,,,0.3121,0.0978,,,0.3542,28.1,مشتری قرمز,0.0,0.0,,,,0,731.0
C_150182,0.7174,0.9006,0.2675,0.8419,0.5158,0.9876,0.8349,0.5693,,0.1554,68.6,مشتری پایدار,211000.39,0.265,0.0371,0.1103,1.0,25,66.0
C_152040,0.6351,0.6298,0.0082,0.3656,0.5158,0.684,0.6611,,,0.0497,47.9,مشتری پرچالش,12574.6,0.0517,-0.2812,0.0,1.0,1,129.0
C_152471,0.3121,0.3061,,,,0.3121,0.2845,,,0.4808,31.6,مشتری قرمز,0.0,0.0,,,,0,486.0
C_155853,0.3121,0.3061,,,,0.3121,0.0673,,,0.5,28.4,مشتری قرمز,0.0,0.0,,,,0,794.0
C_155990,0.6739,0.6683,0.2428,0.3656,0.5158,0.684,0.8774,,,0.6426,56.8,مشتری پرچالش,63970.64,0.0717,0.0342,0.0,1.0,1,59.0
C_159514,0.3121,0.3061,,,,0.3121,0.2596,,,0.3894,30.7,مشتری قرمز,0.0,0.0,,,,0,514.0
C_160952,0.3121,0.3061,,,,0.3121,0.0713,,,0.3686,27.7,مشتری قرمز,0.0,0.0,,,,0,787.0
C_164398,0.3121,0.3061,,,,0.3121,0.0112,,,0.2933,26.4,مشتری قرمز,0.0,0.0,,,,0,878.0
C_164510,0.3121,0.3061,,,,0.3121,0.387,,,0.7292,34.5,مشتری قرمز,0.0,0.0,,,,0,360.0
C_167944,0.3121,0.3061,,,,0.3121,0.5505,,,0.7083,36.9,مشتری قرمز,0.0,0.0,,,,0,227.0
C_169164,0.6615,0.7035,0.9712,0.3656,0.5158,0.684,0.7556,,,0.0769,64.8,مشتری پایدار,41450.19,0.09,0.2027,0.0,1.0,1,80.0
C_169861,0.736,0.6362,0.1029,0.996,0.5158,0.684,0.7155,,,0.6378,62.6,مشتری پایدار,309830.46,0.055,-0.0123,1.0,1.0,1,94.0
C_170045,0.6661,0.8269,0.2922,0.3656,0.5158,0.8703,0.9511,0.365,,0.0481,58.6,مشتری پرچالش,45661.97,0.16,0.0426,0.0,1.0,4,45.0
C_171277,0.3121,0.3061,,,,0.3121,0.3518,,,0.4199,32.3,مشتری قرمز,0.0,0.0,,,,0,402.0
C_172705,0.3121,0.3061,,,,0.3121,0.4776,,,0.5465,34.9,مشتری قرمز,0.0,0.0,,,,0,297.0
C_172854,0.3121,0.3061,,,,0.3121,0.3333,,,0.2716,31.1,مشتری قرمز,0.0,0.0,,,,0,423.0
C_174878,0.3121,0.3061,,,,0.3121,0.3678,,,0.1458,31.0,مشتری قرمز,0.0,0.0,,,,0,388.0
