sales_line_id,actual_unit_cost,returned_qty,returned_amount,cost_close_date
SL-00000001,656.23,0.0,0.0,2022-05-26
SL-00000007,102.42,0.0,0.0,2021-05-25
SL-00000010,65.0,0.0,0.0,2021-06-19
SL-00000013,182.87,0.0,0.0,2021-03-25
SL-00000016,458.94,0.0,0.0,2021-11-01
SL-00000017,50.28,0.0,0.0,2020-03-11
SL-00000023,90.51,0.0,0.0,2020-02-29
SL-00000028,44.61,0.0,0.0,2020-07-19
SL-00000029,110.41,0.0,0.0,2020-07-24
SL-00000032,102.13,0.0,0.0,2020-04-13
SL-00000033,96.04,0.0,0.0,2020-11-11
SL-00000035,127.79,0.0,0.0,2021-01-15
SL-00000036,150.09,0.0,0.0,2020-11-29
SL-00000038,132.23,0.0,0.0,2020-03-14
SL-00000046,104.92,0.0,0.0,2020-08-28
SL-00000047,298.92,0.0,0.0,2021-09-29
SL-00000048,258.15,0.0,0.0,2021-11-18
SL-00000052,1065.74,0.0,0.0,2022-04-14
SL-00000053,57.01,0.0,0.0,2020-05-09
SL-00000054,51.01,0.0,0.0,2020-08-25
SL-00000057,540.77,0.0,0.0,2022-01-23
SL-00000058,180.59,0.0,0.0,2021-07-21
SL-00000059,94.58,0.0,0.0,2020-08-14
SL-00000060,268.99,0.0,0.0,2021-09-03
SL-00000067,120.87,0.0,0.0,2020-10-25
SL-00000072,96.93,0.0,0.0,2020-08-02
SL-00000073,151.94,0.0,0.0,2021-07-13
SL-00000078,128.08,0.0,0.0,2020-11-02
SL-00000082,58.64,0.0,0.0,2020-10-02
SL-00000083,171.74,0.0,0.0,2021-09-29
SL-00000089,381.6,0.0,0.0,2022-01-27
SL-00000092,110.97,0.0,0.0,2020-04-11
SL-00000093,84.55,0.0,0.0,2020-05-11
SL-00000096,81.91,0.0,0.0,2020-06-26
SL-00000099,104.68,0.0,0.0,2020-02-16
SL-00000100,135.64,0.0,0.0,2020-08-02
SL-00000105,202.46,0.0,0.0,2021-08-11
SL-00000110,83.94,8.73,773.3,2021-07-12
SL-00000111,173.83,0.0,0.0,2020-04-04
SL-00000114,246.81,0.0,0.0,2021-09-14
SL-00000120,76.37,0.0,0.0,2021-03-05
SL-00000121,370.72,0.0,0.0,2022-03-20
SL-00000130,57.13,0.0,0.0,2020-07-11
SL-00000133,179.76,0.0,0.0,2020-06-01
SL-00000135,78.78,0.0,0.0,2020-09-30
SL-00000141,312.49,0.0,0.0,2021-12-04
SL-00000142,161.81,0.0,0.0,2020-11-09
SL-00000144,208.93,0.0,0.0,2021-09-01
SL-00000145,267.1,0.0,0.0,2021-10-29
SL-00000150,142.59,0.0,0.0,2020-02-18
