customer_id,invoice_no,invoice_date,collection_date,collected_amount,delay_days,bounced_check
C_703200,T_000002,2022-04-25,2022-05-28,1040336.33,33.0,0
C_749821,T_000027,2022-01-10,2022-02-15,152045.79,36.0,0
C_310107,T_000209,2020-09-14,2020-10-13,196062.54,29.0,0
C_986633,T_000313,2020-08-24,2020-09-24,10852.19,1.0,0
C_986633,T_000313,2020-08-24,2020-09-28,10852.18,5.0,0
C_806376,T_000434,2021-07-26,2021-09-26,102150.93,32.0,0
C_806376,T_000461,2021-03-15,2021-03-15,44961.07,0.0,0
C_806376,T_000461,2021-03-15,2021-03-18,44961.07,3.0,0
C_117580,T_000470,2020-07-06,2020-08-23,62994.15,48.0,0
C_672256,T_000518,2021-11-22,2021-12-25,977897.28,33.0,0
C_603968,T_000655,2020-11-16,2021-02-23,21578.66,9.0,0
C_117580,T_000776,2020-03-23,2020-04-20,61933.07,28.0,0
C_969414,T_000777,2020-07-27,2020-08-19,28348.83,23.0,0
C_969414,T_000777,2020-07-27,2020-08-12,28348.83,16.0,0
C_937594,T_000794,2021-11-29,2021-12-26,967047.67,0.0,0
C_419410,T_000878,2021-10-25,2021-10-29,363016.28,4.0,0
C_172705,T_000912,2021-02-08,2021-02-23,6179.39,15.0,0
C_155990,T_000968,2020-09-07,2020-10-04,11507.98,27.0,0
C_155990,T_000968,2020-09-07,2020-09-25,11507.98,18.0,0
C_258325,T_001007,2020-02-17,2020-05-30,49649.91,13.0,1
C_848211,T_001049,2021-05-24,2021-08-17,19481.74,0.0,0
C_633661,T_001111,2021-11-29,2021-12-11,1609852.47,12.0,0
C_245948,T_001365,2020-11-23,2020-11-27,33061.19,4.0,0
C_172705,T_001376,2021-03-15,2021-04-06,5800.82,22.0,0
C_843031,T_001470,2022-03-21,2022-04-23,3589980.32,3.0,0
C_937594,T_001488,2020-09-07,2020-12-29,238146.62,23.0,0
C_692721,T_001495,2022-03-14,2022-03-22,2144324.31,8.0,0
C_986633,T_001671,2020-07-13,2020-08-30,1283.78,48.0,0
C_497112,T_001782,2021-05-31,2021-07-09,465698.06,9.0,0
C_117580,T_001807,2020-04-27,2020-05-30,25378.97,33.0,0
C_937594,T_001820,2021-05-17,2021-08-15,387245.92,0.0,0
C_937594,T_001873,2020-07-13,2020-11-26,278252.73,46.0,0
C_806376,T_001896,2021-09-13,2021-10-10,146862.79,0.0,0
C_317124,T_002010,2021-08-30,2021-10-17,43932.34,48.0,0
C_185126,T_002084,2020-06-01,2020-07-14,459324.96,43.0,0
C_421536,T_002151,2020-03-09,2020-05-26,101178.25,48.0,0
C_050237,T_002232,2020-12-21,2021-04-03,207547.87,13.0,0
C_746892,T_002249,2020-11-09,2021-02-02,78948.13,0.0,0
C_877858,T_002356,2021-09-27,2021-09-29,5909.1,2.0,0
C_877858,T_002356,2021-09-27,2021-10-02,5909.09,5.0,0
C_155990,T_002379,2020-12-14,2021-01-16,32528.58,33.0,0
C_419410,T_002404,2021-08-02,2021-08-02,136468.58,0.0,0
C_514467,T_002419,2020-04-20,2020-07-08,74273.3,49.0,0
C_703801,T_002495,2020-04-20,2020-05-26,493949.69,36.0,0
C_292582,T_002660,2021-05-03,2021-06-09,557734.98,7.0,0
C_600979,T_002728,2020-07-13,2020-08-02,5833.54,20.0,0
C_633661,T_002764,2020-07-06,2020-07-26,320863.98,20.0,0
C_828155,T_002850,2021-05-10,2021-05-13,42799.55,3.0,0
C_853926,T_002857,2020-08-03,2020-09-12,66714.84,40.0,0
C_472366,T_002877,2022-04-11,2022-04-22,248956.2,11.0,0
C_472366,T_002877,2022-04-11,2022-05-18,248956.2,37.0,0
C_662193,T_003028,2020-06-08,2020-06-20,332641.93,12.0,0
C_117580,T_003066,2020-08-24,2020-08-31,32620.31,7.0,0
C_117580,T_003066,2020-08-24,2020-09-01,32620.31,8.0,0
C_147153,T_003185,2020-12-21,2021-01-18,194570.48,0.0,0
C_147153,T_003185,2020-12-21,2021-01-23,194570.47,3.0,0
C_749821,T_003220,2022-03-14,2022-03-27,76279.94,13.0,0
C_172705,T_003259,2020-03-02,2020-04-03,2638.68,32.0,0
C_877858,T_003293,2021-08-23,2021-10-09,31878.79,47.0,0
C_512037,T_003340,2020-01-20,2020-02-08,10520.63,19.0,0
C_117580,T_003355,2020-08-31,2020-10-17,61135.94,47.0,0
C_113139,T_003420,2020-07-20,2020-10-23,57545.68,5.0,0
C_739947,T_003490,2020-12-14,2021-01-21,107022.27,8.0,0
C_739947,T_003490,2020-12-14,2021-01-21,107022.26,8.0,0
C_683666,T_003499,2020-02-24,2020-03-31,159992.17,36.0,0
C_683666,T_003588,2020-09-14,2020-10-01,79116.78,17.0,0
