customer_id,event_time,interaction_type,next_action
C_009817,2020-08-01,برنامه خرید,جلسه قیمت
C_009817,2020-09-27,کیفیت محصول,بدون اقدام
C_009817,2020-08-14,نمونه محصول,پیگیری تلفنی
C_009817,2020-07-27,خدمات فنی,جلسه قیمت
C_009817,2020-07-27,خدمات فنی,جلسه قیمت
C_009817,2020-08-27,پیگیری سفارش,جلسه قیمت
C_010119,2020-09-06,برنامه خرید,ارسال نمونه
C_010119,2020-04-15,قیمت و تخفیف,پیگیری تلفنی
C_010119,2020-09-19,قیمت و تخفیف,بازدید فنی
C_010119,2020-04-28,قیمت و تخفیف,بدون اقدام
C_010119,2020-10-11,خدمات فنی,بازدید فنی
C_010649,2021-04-29,قیمت و تخفیف,بازدید فنی
C_010649,2021-10-18,کیفیت محصول,پیگیری تلفنی
C_010649,2021-02-05,خدمات فنی,پیگیری تلفنی
C_010649,2021-11-09,وصول مطالبات,ارسال نمونه
C_010649,2021-06-17,وصول مطالبات,پیگیری تلفنی
C_010649,2021-09-22,وصول مطالبات,بازدید فنی
C_010649,2021-03-26,نمونه محصول,ارسال نمونه
C_011055,2020-05-28,پیگیری سفارش,بازدید فنی
C_011055,2020-07-11,پیگیری سفارش,بازدید فنی
C_011055,2020-08-25,برنامه خرید,پیگیری تلفنی
C_011055,2022-06-26,کیفیت محصول,بدون اقدام
C_011055,2022-06-29,پیگیری سفارش,بدون اقدام
C_014775,2021-03-08,نمونه محصول,ارسال نمونه
C_014775,2021-03-16,خدمات فنی,پیگیری تلفنی
C_014775,2020-10-23,کیفیت محصول,ارسال نمونه
C_014775,2021-03-03,قیمت و تخفیف,جلسه قیمت
C_014775,2021-04-03,کیفیت محصول,پیگیری تلفنی
C_015045,2021-02-06,نمونه محصول,جلسه قیمت
C_015045,2021-03-09,پیگیری سفارش,بازدید فنی
C_015045,2021-01-30,وصول مطالبات,جلسه قیمت
C_015045,2021-03-15,وصول مطالبات,بازدید فنی
C_015045,2021-02-12,وصول مطالبات,جلسه قیمت
C_015579,2020-09-20,پیگیری سفارش,بدون اقدام
C_015579,2020-08-20,قیمت و تخفیف,بدون اقدام
C_015579,2020-07-20,نمونه محصول,بدون اقدام
C_015579,2020-09-02,برنامه خرید,پیگیری تلفنی
C_015579,2020-08-02,قیمت و تخفیف,بدون اقدام
C_015746,2021-02-22,نمونه محصول,جلسه قیمت
C_015746,2021-03-24,نمونه محصول,جلسه قیمت
C_015746,2021-05-17,قیمت و تخفیف,پیگیری تلفنی
C_015746,2021-05-17,قیمت و تخفیف,پیگیری تلفنی
