customer_id,segment,relationship_start,credit_limit,payment_terms_days,status,location_id,sales_rep_id
C_009817,B,2020-07-20,35000.0,0,غیرفعال,LOC-012,REP-003
C_010119,C,2020-02-24,43000.0,0,غیرفعال,LOC-001,REP-003
C_010649,B,2020-03-30,5630000.0,0,فعال,LOC-007,REP-008
C_011055,A,2020-05-25,84000.0,0,فعال,LOC-006,REP-002
C_014775,A,2020-09-07,789000.0,0,غیرفعال,LOC-002,REP-004
C_015045,B,2021-01-25,5000.0,0,غیرفعال,LOC-012,REP-007
C_015579,A,2020-06-22,206000.0,0,غیرفعال,LOC-010,REP-001
C_015746,B,2021-01-11,5054000.0,0,فعال,LOC-003,REP-004
C_016617,A,2020-02-17,4429000.0,0,فعال,LOC-013,REP-005
C_018229,C,2019-12-23,46000.0,0,غیرفعال,LOC-009,REP-004
C_018593,A,2020-03-23,125000.0,0,غیرفعال,LOC-006,REP-006
C_021668,A,2020-08-10,442000.0,0,غیرفعال,LOC-004,REP-003
C_021985,B,2021-01-25,28000.0,0,فعال,LOC-004,REP-003
C_022240,C,2020-02-17,520000.0,0,فعال,LOC-001,REP-007
C_022746,A,2021-09-20,304000.0,0,فعال,LOC-004,REP-005
C_023073,C,2020-05-11,37000.0,0,فعال,LOC-004,REP-006
C_027096,A,2020-01-27,313000.0,30,غیرفعال,LOC-016,REP-001
C_028208,A,2020-11-02,7000.0,0,فعال,LOC-006,REP-005
C_029626,B,2020-06-22,15000.0,0,غیرفعال,LOC-012,REP-007
C_031511,A,2022-05-23,302000.0,0,فعال,LOC-010,REP-004
C_034287,B,2020-04-27,33000.0,0,غیرفعال,LOC-007,REP-002
C_035154,A,2021-07-26,5000.0,0,غیرفعال,LOC-007,REP-005
C_035718,B,2020-02-03,9000.0,0,غیرفعال,LOC-014,REP-007
C_039413,A,2019-12-30,603000.0,0,غیرفعال,LOC-008,REP-001
C_040673,A,2019-12-16,885000.0,0,فعال,LOC-014,REP-006
C_042732,B,2021-09-20,711000.0,0,فعال,LOC-007,REP-004
C_049314,C,2020-07-27,9000.0,0,غیرفعال,LOC-003,REP-008
C_050237,C,2020-02-03,7459000.0,0,فعال,LOC-005,REP-003
C_051392,C,2020-06-22,16000.0,0,غیرفعال,LOC-008,REP-008
C_051535,C,2020-01-13,7122000.0,30,فعال,LOC-003,REP-002
C_051706,C,2020-01-20,1734000.0,90,فعال,LOC-011,REP-008
C_054476,C,2022-05-02,2733000.0,0,فعال,LOC-002,REP-004
C_054737,B,2021-06-14,220000.0,30,غیرفعال,LOC-009,REP-004
C_058218,B,2020-05-04,7599000.0,30,فعال,LOC-006,REP-008
C_058685,A,2020-08-17,784000.0,0,غیرفعال,LOC-001,REP-005
C_059511,B,2021-02-15,484000.0,0,غیرفعال,LOC-004,REP-005
C_063809,A,2020-01-20,202000.0,0,فعال,LOC-007,REP-007
C_063926,B,2019-12-16,735000.0,0,فعال,LOC-001,REP-007
C_066978,B,2021-01-04,296000.0,0,فعال,LOC-008,REP-002
C_069492,B,2019-12-23,5925000.0,30,فعال,LOC-014,REP-002
C_070220,A,2021-03-22,37000.0,0,غیرفعال,LOC-003,REP-004
C_070712,C,2021-08-23,293000.0,0,فعال,LOC-005,REP-005
C_074947,A,2020-02-03,1048000.0,90,فعال,LOC-013,REP-004
C_076411,B,2020-11-02,444000.0,0,غیرفعال,LOC-003,REP-007
C_077505,C,2021-04-26,20000.0,0,غیرفعال,LOC-001,REP-001
C_080312,A,2020-04-06,144000.0,0,غیرفعال,LOC-002,REP-008
C_081235,B,2022-02-14,278000.0,0,فعال,LOC-013,REP-003
C_081456,B,2020-09-07,2265000.0,0,فعال,LOC-001,REP-006
C_082643,A,2020-12-07,108000.0,0,غیرفعال,LOC-010,REP-001
C_083552,C,2020-01-13,425000.0,0,فعال,LOC-005,REP-004
C_086403,B,2020-02-03,489000.0,0,فعال,LOC-013,REP-006
C_086972,C,2020-01-27,536000.0,0,غیرفعال,LOC-008,REP-006
C_091932,C,2020-06-15,59000.0,0,غیرفعال,LOC-009,REP-008
C_091997,B,2020-02-17,1486000.0,0,غیرفعال,LOC-003,REP-002
C_094312,C,2021-11-15,1590000.0,30,فعال,LOC-012,REP-005
C_095017,C,2020-01-13,1871000.0,0,فعال,LOC-007,REP-005
C_097158,C,2020-07-20,189000.0,0,غیرفعال,LOC-007,REP-006
C_099163,C,2020-03-02,58000.0,0,غیرفعال,LOC-007,REP-003
C_101421,C,2020-03-02,86000.0,0,غیرفعال,LOC-011,REP-003
C_101842,C,2019-12-23,7351000.0,30,فعال,LOC-002,REP-002
C_110846,C,2020-05-11,68000.0,0,غیرفعال,LOC-009,REP-008
C_113139,A,2020-01-13,3874000.0,90,فعال,LOC-001,REP-003
C_117580,B,2020-02-10,604000.0,0,غیرفعال,LOC-007,REP-001
C_118223,A,2021-08-30,153000.0,0,فعال,LOC-004,REP-008
C_119382,B,2019-12-30,166000.0,0,غیرفعال,LOC-009,REP-002
C_120272,A,2021-08-02,503000.0,0,غیرفعال,LOC-009,REP-001
C_121437,C,2020-05-18,385000.0,0,غیرفعال,LOC-006,REP-003
C_122750,C,2020-01-20,546000.0,0,فعال,LOC-011,REP-008
C_123245,A,2020-03-16,93000.0,0,غیرفعال,LOC-012,REP-003
C_126481,C,2020-02-03,213000.0,0,غیرفعال,LOC-007,REP-003
C_129349,C,2020-05-11,80000.0,0,غیرفعال,LOC-014,REP-005
C_134962,C,2020-02-10,1028000.0,0,غیرفعال,LOC-015,REP-008
C_135878,C,2020-03-09,229000.0,0,غیرفعال,LOC-001,REP-008
C_137881,B,2022-02-07,1763000.0,0,فعال,LOC-014,REP-008
C_144468,B,2020-01-27,1508000.0,0,فعال,LOC-015,REP-001
C_147153,C,2020-02-10,3154000.0,0,فعال,LOC-010,REP-005
C_147980,B,2020-06-29,88000.0,0,غیرفعال,LOC-010,REP-002
C_150182,B,2020-02-10,38000.0,0,فعال,LOC-015,REP-005
C_152040,B,2020-06-01,67000.0,0,فعال,LOC-009,REP-001
C_152471,A,2020-12-21,69000.0,30,غیرفعال,LOC-014,REP-004
C_155853,A,2020-04-27,33000.0,0,غیرفعال,LOC-015,REP-006
C_155990,B,2020-02-03,123000.0,0,فعال,LOC-003,REP-004
C_159514,A,2020-07-20,563000.0,0,غیرفعال,LOC-011,REP-005
C_160952,A,2020-01-06,295000.0,0,غیرفعال,LOC-015,REP-007
C_164398,B,2020-02-03,25000.0,0,غیرفعال,LOC-004,REP-001
C_164510,A,2020-05-11,270000.0,0,غیرفعال,LOC-011,REP-001
C_167944,A,2021-10-25,592000.0,0,غیرفعال,LOC-004,REP-002
C_169164,B,2022-04-11,63000.0,0,فعال,LOC-004,REP-007
C_169861,A,2022-03-28,465000.0,0,فعال,LOC-005,REP-007
C_170045,C,2020-02-10,34000.0,0,فعال,LOC-013,REP-006
C_171277,B,2021-04-19,361000.0,0,غیرفعال,LOC-012,REP-002
C_172705,C,2020-01-06,33000.0,0,غیرفعال,LOC-006,REP-006
C_172854,A,2020-03-30,223000.0,0,غیرفعال,LOC-013,REP-005
C_174878,B,2020-08-10,1965000.0,0,غیرفعال,LOC-013,REP-001
C_178039,B,2021-01-04,1447000.0,0,فعال,LOC-014,REP-002
C_180562,A,2022-04-18,2225000.0,0,فعال,LOC-001,REP-003
C_180745,B,2019-12-16,2356000.0,30,غیرفعال,LOC-013,REP-007
C_180817,A,2020-02-24,4059000.0,30,فعال,LOC-011,REP-008
C_181387,C,2020-11-02,34000.0,0,فعال,LOC-009,REP-004
C_182241,A,2020-04-13,1186000.0,30,غیرفعال,LOC-001,REP-008
C_183105,B,2020-09-07,1353000.0,45,فعال,LOC-001,REP-008
C_184726,C,2020-03-09,142000.0,0,غیرفعال,LOC-014,REP-008
C_185126,C,2020-01-06,2874000.0,0,فعال,LOC-004,REP-002
C_189507,A,2021-10-25,6747000.0,0,فعال,LOC-016,REP-008
C_190305,A,2019-12-30,1621000.0,0,فعال,LOC-006,REP-008
C_190554,A,2021-11-22,43000.0,0,غیرفعال,LOC-009,REP-007
C_192142,B,2020-11-16,1164000.0,0,غیرفعال,LOC-003,REP-005
C_193151,B,2020-03-16,728000.0,0,غیرفعال,LOC-009,REP-003
C_195665,C,2020-02-24,5000.0,0,غیرفعال,LOC-014,REP-003
C_196572,B,2021-03-08,10000.0,0,غیرفعال,LOC-016,REP-002
C_197461,B,2020-12-21,5025000.0,0,فعال,LOC-014,REP-003
C_208015,A,2020-02-10,328000.0,0,غیرفعال,LOC-009,REP-003
C_209453,B,2020-09-21,87000.0,30,غیرفعال,LOC-015,REP-007
C_213928,B,2022-02-07,3087000.0,0,فعال,LOC-015,REP-001
C_214224,C,2020-12-07,7000.0,0,غیرفعال,LOC-012,REP-008
C_216051,C,2021-07-26,164000.0,0,غیرفعال,LOC-012,REP-002
C_217285,A,2020-02-24,753000.0,0,فعال,LOC-004,REP-001
C_218295,C,2020-11-09,656000.0,0,فعال,LOC-012,REP-008
