customer_id,snapshot_date,recency_days,tenure_days,relationship_days,freq_90d,freq_180d,freq_365d,freq_trend,monetary_90d,monetary_365d,avg_txn_size,gap_mean_days,gap_std_days,avg_delay_days,max_delay_days,delay_trend,on_time_ratio,bounced_check_rate,bounced_check_count,days_since_last_bounce,collection_completeness,crm_collection_pressure,credit_limit,payment_terms_days,wallet_share,wallet_share_trend,competitor_diversity,nunique_product_365d,nunique_group_365d,dev_request_count,dev_approved_ratio,dev_rejected_ratio,crm_sample_requests,cash_ratio_365d,cash_ratio_trend,avg_margin_pct,return_rate,complaint_count_365d,critical_complaint_count,unresolved_complaints,crm_quality_issues,crm_interaction_count,segment_A,segment_B,has_collection_history,has_wallet_data,has_margin_data,y_retention,y_collection,y_loyalty
C_691869,2020-06-01,14,84,84,14,14,14,14,4772171.68,4772171.68,79536.19466666666,23.333333333333332,28.290163190291665,22.77777777777778,55.0,0.0,0.2222222222222222,0.0,0,9999,0.8204489428594908,0,3678000.0,90,,,0,8,1,1,1.0,0.0,0,0.0,0.0,0.09405386250909878,0.0009008429928746748,0,0,0,0,1,1,0,1,0,1,1,1.0,
C_126481,2020-06-01,0,119,119,40,56,56,24,1315810.57,2023845.69,2993.854571005917,7.4375,1.75,23.390625,54.0,0.0,0.140625,0.0,0,9999,0.8634113947689361,1,213000.0,0,,,0,88,1,1,1.0,0.0,0,1.0,0.0,0.09121308655649685,0.00284561518748217,7,2,4,0,7,0,0,1,0,1,1,1.0,
C_421083,2020-06-01,91,91,91,0,2,2,-2,0.0,318298.36,10975.805517241379,,,28.0,28.0,0.0,0.0,0.0,0,9999,0.9658933209709281,0,2438000.0,90,,,0,19,4,0,0.0,0.0,1,0.0,0.0,0.056053024021444506,0.002536160450235693,0,0,0,0,1,1,0,1,0,1,0,,
C_113139,2020-06-01,0,140,140,22,40,40,4,1604020.17,2325412.65,14717.80158227848,8.75,4.781910357447813,21.58,55.0,0.0,0.08,0.0,0,9999,0.8325531341716922,0,3874000.0,90,,,0,69,6,0,0.0,0.0,0,0.06329113924050633,-0.17543859649122806,0.06849865148754962,0.0,1,0,0,0,1,1,0,1,0,1,1,0.0,
C_155990,2020-06-01,14,119,119,3,6,6,0,112601.2,223771.56,2306.923298969072,21.0,8.573214099741124,30.166666666666668,48.0,0.0,0.0,0.0,0,9999,0.9151318424915124,1,123000.0,0,,,0,26,2,0,0.0,0.0,1,1.0,0.0,0.0705419227866597,0.0017772859502192264,0,0,0,0,3,0,1,1,0,1,1,1.0,
C_649318,2020-06-01,0,154,154,7,13,13,1,9327.23,16984.93,772.0422727272727,19.25,15.763882770434446,15.571428571428571,43.0,0.0,0.21428571428571427,0.0,0,9999,0.9359602895036953,0,8000.0,0,,,0,13,2,0,0.0,0.0,0,1.0,0.0,0.07638784067696987,0.0,0,0,0,0,1,0,0,1,0,1,0,,
C_633661,2020-06-01,0,126,126,35,56,56,14,13043423.86,20453709.45,116878.33971428571,7.411764705882353,1.697749375254331,25.74576271186441,56.0,0.0,0.06779661016949153,0.0,0,9999,0.8232377936707223,0,5504000.0,0,,,0,7,2,0,0.0,0.0,1,1.0,0.0,0.08869335900554093,0.0010235468843523814,2,0,2,0,4,1,0,1,0,1,1,0.0,
C_683666,2020-06-01,7,119,119,40,55,55,25,11738906.81,16354452.73,20754.381637055838,7.0,0.0,24.358490566037737,49.0,0.0,0.11320754716981132,0.0,0,9999,0.7867399975052543,0,6463000.0,0,,,0,58,4,6,0.5,0.3333333333333333,0,1.0,0.0,0.08811607855311786,0.0022352771310484233,5,1,0,2,3,1,0,1,0,1,1,0.0,
C_806530,2020-06-01,42,56,56,7,7,7,7,630219.34,630219.34,7977.46,7.0,0.0,22.25,48.0,0.0,0.125,0.0,0,9999,0.970352671182703,0,266000.0,90,,,0,42,4,0,0.0,0.0,0,0.0,0.0,0.10281064904225169,0.0,0,0,0,0,3,0,1,1,0,1,0,,
C_792125,2020-06-01,7,105,105,8,13,13,3,2124996.49,3619511.4,129268.26428571428,12.25,6.2048368229954285,19.41176470588235,48.0,0.0,0.0,0.0,0,9999,0.8236965657850946,2,1290000.0,0,,,0,2,2,0,0.0,0.0,1,0.6428571428571429,-0.625,0.05596514014214426,0.0,1,0,0,0,5,1,0,1,0,1,0,,
C_451674,2020-06-01,35,35,35,1,1,1,1,924.77,924.77,924.77,,,36.0,36.0,0.0,0.0,0.0,0,9999,1.0,1,5000.0,0,,,0,1,1,0,0.0,0.0,0,1.0,0.0,,0.0,0,0,0,0,1,1,0,1,0,0,1,1.0,
C_808695,2020-06-01,49,105,105,2,4,4,0,364968.9,705247.29,88155.91125,18.666666666666668,14.571661996262929,31.75,44.0,0.0,0.0,0.0,0,9999,0.7391843221403941,0,2354000.0,0,,,0,4,2,0,0.0,0.0,0,1.0,0.0,0.10632320198480719,0.0,0,0,0,0,1,0,1,1,0,1,1,0.0,
C_258325,2020-06-01,0,140,140,25,41,41,9,740957.86,1782638.93,10738.788734939759,7.368421052631579,1.6059101370939324,23.6,56.0,0.0,0.044444444444444446,0.022222222222222223,1,105,0.6901761872775886,0,869000.0,90,,,0,30,3,0,0.0,0.0,0,0.18674698795180722,0.25248332097850257,0.07582560284011165,0.0002501078761993497,0,0,0,0,1,0,1,1,0,1,1,1.0,
C_245948,2020-06-01,0,147,147,47,87,87,7,17842087.08,32781889.92,91826.02218487396,7.7368421052631575,3.2118202741878648,24.1010101010101,52.0,0.0,0.08080808080808081,0.010101010101010102,1,49,0.9342916398274576,0,8961000.0,90,,,0,15,3,3,0.3333333333333333,0.3333333333333333,2,0.0196078431372549,0.03317535545023697,0.08722977119673102,4.032685788406716e-05,3,2,1,0,4,1,0,1,0,1,1,0.0,
C_185126,2020-06-01,0,147,147,16,20,20,12,6489306.27,7548890.81,111013.10014705882,10.5,5.9839528998557725,23.555555555555557,49.0,0.0,0.1111111111111111,0.0,0,9999,0.8953818713401156,0,2874000.0,0,,,0,4,2,0,0.0,0.0,0,1.0,0.0,0.08202974923382449,1.8367410374101764e-05,1,0,0,0,0,0,0,1,0,1,1,1.0,
