invoice_no,invoice_date,customer_id
T_000002,2022-04-25,C_703200
T_000027,2022-01-10,C_749821
T_000209,2020-09-14,C_310107
T_000264,2021-03-22,C_155990
T_000313,2020-08-24,C_986633
T_000434,2021-07-26,C_806376
T_000461,2021-03-15,C_806376
T_000470,2020-07-06,C_117580
T_000518,2021-11-22,C_672256
T_000655,2020-11-16,C_603968
T_000776,2020-03-23,C_117580
T_000777,2020-07-27,C_969414
T_000794,2021-11-29,C_937594
T_000855,2021-03-08,C_756222
T_000878,2021-10-25,C_419410
T_000897,2020-11-09,C_683666
T_000912,2021-02-08,C_172705
T_000968,2020-09-07,C_155990
T_001007,2020-02-17,C_258325
T_001049,2021-05-24,C_848211
T_001111,2021-11-29,C_633661
T_001365,2020-11-23,C_245948
T_001376,2021-03-15,C_172705
T_001470,2022-03-21,C_843031
T_001488,2020-09-07,C_937594
T_001495,2022-03-14,C_692721
T_001671,2020-07-13,C_986633
T_001782,2021-05-31,C_497112
T_001807,2020-04-27,C_117580
T_001820,2021-05-17,C_937594
T_001873,2020-07-13,C_937594
T_001896,2021-09-13,C_806376
T_002010,2021-08-30,C_317124
T_002084,2020-06-01,C_185126
T_002151,2020-03-09,C_421536
T_002223,2021-08-30,C_150182
T_002232,2020-12-21,C_050237
T_002249,2020-11-09,C_746892
T_002356,2021-09-27,C_877858
T_002379,2020-12-14,C_155990
T_002404,2021-08-02,C_419410
T_002419,2020-04-20,C_514467
T_002495,2020-04-20,C_703801
T_002660,2021-05-03,C_292582
T_002728,2020-07-13,C_600979
T_002764,2020-07-06,C_633661
T_002850,2021-05-10,C_828155
T_002857,2020-08-03,C_853926
T_002877,2022-04-11,C_472366
T_003028,2020-06-08,C_662193
T_003066,2020-08-24,C_117580
T_003185,2020-12-21,C_147153
T_003220,2022-03-14,C_749821
T_003259,2020-03-02,C_172705
T_003293,2021-08-23,C_877858
T_003340,2020-01-20,C_512037
T_003355,2020-08-31,C_117580
T_003420,2020-07-20,C_113139
T_003490,2020-12-14,C_739947
T_003499,2020-02-24,C_683666
