Customer_ID,Location_ID,Customer_Segment,Relationship_Start_Date,Credit_Limit,Payment_Terms_Days,Customer_Status,Source_System,Sales_Rep_ID
C_009817,LOC-012,B,2020-07-20,"35,000.00",0,غیرفعال,MDM,REP-003
C_010119,LOC-001,C,2020-02-24,"43,000.00",0,غیرفعال,MDM,REP-003
C_010649,LOC-007,B,2020-03-30,"5,630,000.00",0,فعال,MDM,REP-008
C_011055,LOC-006,A,2020-05-25,"84,000.00",0,فعال,MDM,REP-002
C_014775,LOC-002,A,2020-09-07,"789,000.00",0,غیرفعال,MDM,REP-004
C_015045,LOC-012,B,2021-01-25,"5,000.00",0,غیرفعال,MDM,REP-007
C_015579,LOC-010,A,2020-06-22,"206,000.00",0,غیرفعال,MDM,REP-001
C_015746,LOC-003,B,2021-01-11,"5,054,000.00",0,فعال,MDM,REP-004
C_016617,LOC-013,A,2020-02-17,"4,429,000.00",0,فعال,MDM,REP-005
C_018229,LOC-009,C,2019-12-23,"46,000.00",0,غیرفعال,MDM,REP-004
C_018593,LOC-006,A,2020-03-23,"125,000.00",0,غیرفعال,MDM,REP-006
C_021668,LOC-004,A,2020-08-10,"442,000.00",0,غیرفعال,MDM,REP-003
C_021985,LOC-004,B,2021-01-25,"28,000.00",0,فعال,MDM,REP-003
C_022240,LOC-001,C,2020-02-17,"520,000.00",0,فعال,MDM,REP-007
C_022746,LOC-004,A,2021-09-20,"304,000.00",0,فعال,MDM,REP-005
C_023073,LOC-004,C,2020-05-11,"37,000.00",0,فعال,MDM,REP-006
C_027096,LOC-016,A,2020-01-27,"313,000.00",30,غیرفعال,MDM,REP-001
C_028208,LOC-006,A,2020-11-02,"7,000.00",0,فعال,MDM,REP-005
C_029626,LOC-012,B,2020-06-22,"15,000.00",0,غیرفعال,MDM,REP-007
C_031511,LOC-010,A,2022-05-23,"302,000.00",0,فعال,MDM,REP-004
C_034287,LOC-007,B,2020-04-27,"33,000.00",0,غیرفعال,MDM,REP-002
C_035154,LOC-007,A,2021-07-26,"5,000.00",0,غیرفعال,MDM,REP-005
C_035718,LOC-014,B,2020-02-03,"9,000.00",0,غیرفعال,MDM,REP-007
C_039413,LOC-008,A,2019-12-30,"603,000.00",0,غیرفعال,MDM,REP-001
C_040673,LOC-014,A,2019-12-16,"885,000.00",0,فعال,MDM,REP-006
C_042732,LOC-007,B,2021-09-20,"711,000.00",0,فعال,MDM,REP-004
C_049314,LOC-003,C,2020-07-27,"9,000.00",0,غیرفعال,MDM,REP-008
C_050237,LOC-005,C,2020-02-03,"7,459,000.00",0,فعال,MDM,REP-003
C_051392,LOC-008,C,2020-06-22,"16,000.00",0,غیرفعال,MDM,REP-008
C_051535,LOC-003,C,2020-01-13,"7,122,000.00",30,فعال,MDM,REP-002
C_051706,LOC-011,C,2020-01-20,"1,734,000.00",90,فعال,MDM,REP-008
C_054476,LOC-002,C,2022-05-02,"2,733,000.00",0,فعال,MDM,REP-004
C_054737,LOC-009,B,2021-06-14,"220,000.00",30,غیرفعال,MDM,REP-004
C_058218,LOC-006,B,2020-05-04,"7,599,000.00",30,فعال,MDM,REP-008
C_058685,LOC-001,A,2020-08-17,"784,000.00",0,غیرفعال,MDM,REP-005
C_059511,LOC-004,B,2021-02-15,"484,000.00",0,غیرفعال,MDM,REP-005
C_063809,LOC-007,A,2020-01-20,"202,000.00",0,فعال,MDM,REP-007
C_063926,LOC-001,B,2019-12-16,"735,000.00",0,فعال,MDM,REP-007
C_066978,LOC-008,B,2021-01-04,"296,000.00",0,فعال,MDM,REP-002
C_069492,LOC-014,B,2019-12-23,"5,925,000.00",30,فعال,MDM,REP-002
C_070220,LOC-003,A,2021-03-22,"37,000.00",0,غیرفعال,MDM,REP-004
C_070712,LOC-005,C,2021-08-23,"293,000.00",0,فعال,MDM,REP-005
C_074947,LOC-013,A,2020-02-03,"1,048,000.00",90,فعال,MDM,REP-004
C_076411,LOC-003,B,2020-11-02,"444,000.00",0,غیرفعال,MDM,REP-007
C_077505,LOC-001,C,2021-04-26,"20,000.00",0,غیرفعال,MDM,REP-001
C_080312,LOC-002,A,2020-04-06,"144,000.00",0,غیرفعال,MDM,REP-008
C_081235,LOC-013,B,2022-02-14,"278,000.00",0,فعال,MDM,REP-003
C_081456,LOC-001,B,2020-09-07,"2,265,000.00",0,فعال,MDM,REP-006
C_082643,LOC-010,A,2020-12-07,"108,000.00",0,غیرفعال,MDM,REP-001
C_083552,LOC-005,C,2020-01-13,"425,000.00",0,فعال,MDM,REP-004
C_086403,LOC-013,B,2020-02-03,"489,000.00",0,فعال,MDM,REP-006
C_086972,LOC-008,C,2020-01-27,"536,000.00",0,غیرفعال,MDM,REP-006
C_091932,LOC-009,C,2020-06-15,"59,000.00",0,غیرفعال,MDM,REP-008
C_091997,LOC-003,B,2020-02-17,"1,486,000.00",0,غیرفعال,MDM,REP-002
C_094312,LOC-012,C,2021-11-15,"1,590,000.00",30,فعال,MDM,REP-005
C_095017,LOC-007,C,2020-01-13,"1,871,000.00",0,فعال,MDM,REP-005
C_097158,LOC-007,C,2020-07-20,"189,000.00",0,غیرفعال,MDM,REP-006
C_099163,LOC-007,C,2020-03-02,"58,000.00",0,غیرفعال,MDM,REP-003
C_101421,LOC-011,C,2020-03-02,"86,000.00",0,غیرفعال,MDM,REP-003
C_101842,LOC-002,C,2019-12-23,"7,351,000.00",30,فعال,MDM,REP-002
C_110846,LOC-009,C,2020-05-11,"68,000.00",0,غیرفعال,MDM,REP-008
C_113139,LOC-001,A,2020-01-13,"3,874,000.00",90,فعال,MDM,REP-003
C_117580,LOC-007,B,2020-02-10,"604,000.00",0,غیرفعال,MDM,REP-001
C_118223,LOC-004,A,2021-08-30,"153,000.00",0,فعال,MDM,REP-008
C_119382,LOC-009,B,2019-12-30,"166,000.00",0,غیرفعال,MDM,REP-002
C_120272,LOC-009,A,2021-08-02,"503,000.00",0,غیرفعال,MDM,REP-001
C_121437,LOC-006,C,2020-05-18,"385,000.00",0,غیرفعال,MDM,REP-003
C_122750,LOC-011,C,2020-01-20,"546,000.00",0,فعال,MDM,REP-008
C_123245,LOC-012,A,2020-03-16,"93,000.00",0,غیرفعال,MDM,REP-003
C_126481,LOC-007,C,2020-02-03,"213,000.00",0,غیرفعال,MDM,REP-003
C_129349,LOC-014,C,2020-05-11,"80,000.00",0,غیرفعال,MDM,REP-005
C_134962,LOC-015,C,2020-02-10,"1,028,000.00",0,غیرفعال,MDM,REP-008
C_135878,LOC-001,C,2020-03-09,"229,000.00",0,غیرفعال,MDM,REP-008
C_137881,LOC-014,B,2022-02-07,"1,763,000.00",0,فعال,MDM,REP-008
C_144468,LOC-015,B,2020-01-27,"1,508,000.00",0,فعال,MDM,REP-001
C_147153,LOC-010,C,2020-02-10,"3,154,000.00",0,فعال,MDM,REP-005
C_147980,LOC-010,B,2020-06-29,"88,000.00",0,غیرفعال,MDM,REP-002
C_150182,LOC-015,B,2020-02-10,"38,000.00",0,فعال,MDM,REP-005
C_152040,LOC-009,B,2020-06-01,"67,000.00",0,فعال,MDM,REP-001
C_152471,LOC-014,A,2020-12-21,"69,000.00",30,غیرفعال,MDM,REP-004
