Hembaft_Lot_Key,Hembaft_ID,Lot_ID,Product_ID,First_Observed_Date,Available_At,Source_System
HL-10FE7709AAB46FEE,"1,173,910,000",LOT-CMP-6662179967,PRD-POY-001,2025-03-25,2025-03-26,ERP_SALES
HL-ECD75E7985A4AA9E,"1,176,610,000",LOT-CMP-0705862803,PRD-POY-006,2025-04-07,2025-04-08,ERP_SALES
HL-B5F1A9508AA39B27,"1,181,410,000",LOT-CMP-4186696530,PRD-POY-002,2025-04-08,2025-04-09,ERP_SALES
HL-C26783E10FFCB64C,"1,183,910,000",LOT-CMP-6239883785,PRD-POY-003,2025-04-13,2025-04-14,ERP_SALES
HL-7ADC1EDA2864F7F0,"1,183,910,000",LOT-CMP-2009338338,PRD-POY-002,2025-05-06,2025-05-07,ERP_SALES
HL-F3C0237448C1AD75,"1,178,710,000",LOT-CMP-3032670763,PRD-POY-009,2025-05-05,2025-05-06,ERP_SALES
HL-8EDBB25E7373D479,"1,182,810,000",LOT-CMP-6152507716,PRD-POY-009,2025-05-05,2025-05-06,ERP_SALES
HL-55E0E9CBA6F31D55,"1,188,110,000",LOT-CMP-9460336806,PRD-POY-009,2025-05-05,2025-05-06,ERP_SALES
HL-C39471C293DBD179,"118,811",LOT-CMP-1850456999,PRD-POY-009,2025-05-05,2025-05-06,ERP_SALES
HL-553EAE05E18A4331,"1,188,410,000",LOT-CMP-3927431619,PRD-POY-006,2025-06-03,2025-06-04,ERP_SALES
HL-6DC80F0EA20F53A7,"118,141",LOT-CMP-3794218403,PRD-POY-009,2025-06-13,2025-06-14,ERP_SALES
HL-B58843E25339CFE6,"118,351",LOT-CMP-1853101546,PRD-POY-009,2025-06-13,2025-06-14,ERP_SALES
HL-052FE81BCEC5AB12,"118,941",LOT-CMP-0586956155,PRD-POY-009,2025-06-13,2025-06-14,ERP_SALES
HL-2210590CE8F19682,"1,076,300,000",LOT-CMP-9751615712,PRD-POY-012,2025-06-17,2025-06-18,ERP_SALES
HL-7A31FF82E1BA7577,"1,199,800,000",LOT-CMP-7547280641,PRD-POY-012,2025-06-17,2025-06-18,ERP_SALES
HL-83237F4C71E5B374,"1,201,210,000",LOT-CMP-0993033092,PRD-POY-004,2025-07-08,2025-07-09,ERP_SALES
HL-3C1905ED79419077,"1,202,400,000",LOT-CMP-0722756182,PRD-POY-009,2025-06-27,2025-06-28,ERP_SALES
HL-50FE1E9D025A4FA5,"1,200,310,000",LOT-CMP-9887922651,PRD-POY-001,2025-07-01,2025-07-02,ERP_SALES
HL-7FA67242FAE4A662,"1,186,010,000",LOT-CMP-5667926671,PRD-POY-004,2025-07-13,2025-07-14,ERP_SALES
HL-0D2838C096BF4391,"1,178,210,000",LOT-CMP-0733779441,PRD-POY-004,2025-08-03,2025-08-04,ERP_SALES
HL-1CEAD23F601BF7C1,"1,199,710,000",LOT-CMP-5406300571,PRD-POY-007,2025-08-09,2025-08-10,ERP_SALES
HL-EA0FBAF68B071E51,"1,187,710,000",LOT-CMP-6490259061,PRD-POY-004,2025-08-19,2025-08-20,ERP_SALES
HL-CF761DBA7AC593AF,"1,216,710,000",LOT-CMP-9747368174,PRD-POY-003,2025-08-18,2025-08-19,ERP_SALES
HL-401AC9AC37A4CFDD,"1,215,810,000",LOT-CMP-6673309838,PRD-POY-012,2025-08-20,2025-08-21,ERP_SALES
HL-1377AA0BD643C4AD,"1,212,910,000",LOT-CMP-5122145518,PRD-POY-003,2025-08-15,2025-08-16,ERP_SALES
HL-070763F83B7F408A,"1,210,210,000",LOT-CMP-3461384433,PRD-POY-008,2025-09-06,2025-09-07,ERP_SALES
HL-73F7A048707CFA3A,"1,217,510,000",LOT-CMP-7359251338,PRD-POY-010,2025-08-29,2025-08-30,ERP_SALES
HL-3424373808BB45C7,"1,203,700,000",LOT-CMP-5442054845,PRD-POY-011,2025-08-29,2025-08-30,ERP_SALES
HL-6F4A21AFEDF3AEDC,"1,215,810,000",LOT-CMP-2333974243,PRD-POY-011,2025-09-19,2025-09-20,ERP_SALES
HL-C8E1DF81A45F0D77,"1,220,210,000",LOT-CMP-3894293078,PRD-POY-002,2025-09-04,2025-09-05,ERP_SALES
HL-B024F0FEFD0135C6,"1,210,210,000",LOT-CMP-0442938843,PRD-POY-002,2025-09-04,2025-09-05,ERP_SALES
HL-72D53B1E15198E10,"1,222,610,000",LOT-CMP-3706454562,PRD-POY-003,2025-09-08,2025-09-09,ERP_SALES
HL-9A6D13C48207B642,"1,224,910,000",LOT-CMP-0066472226,PRD-POY-003,2025-09-14,2025-09-15,ERP_SALES
HL-64C938FBD020633E,"1,215,710,000",LOT-CMP-0946690049,PRD-POY-012,2025-09-08,2025-09-09,ERP_SALES
HL-8D8560239DF8BA48,"1,221,710,000",LOT-CMP-8324665596,PRD-POY-012,2025-09-08,2025-09-09,ERP_SALES
HL-D6F3D9A4DC297973,"1,229,010,000",LOT-CMP-4794675680,PRD-POY-007,2025-10-02,2025-10-03,ERP_SALES
HL-48BDD1D302C630D9,"1,225,910,000",LOT-CMP-0720941322,PRD-POY-007,2025-10-02,2025-10-03,ERP_SALES
HL-2C1A387DFB961E04,"1,215,400,000",LOT-CMP-9274645386,PRD-POY-011,2025-09-21,2025-09-22,ERP_SALES
HL-EEB23927D3B9A4F9,"1,229,010,000",LOT-CMP-0887449131,PRD-POY-007,2025-09-15,2025-09-16,ERP_SALES
HL-C5241113463A3362,"1,234,110,000",LOT-CMP-5615262765,PRD-POY-011,2025-10-28,2025-10-29,ERP_SALES
HL-31CBAA2D9DEFD205,"1,239,610,000",LOT-CMP-5922439109,PRD-POY-007,2025-10-26,2025-10-27,ERP_SALES
HL-929E451476CE6F2C,"1,263,010,000",LOT-CMP-4035830241,PRD-POY-011,2026-01-21,2026-01-22,ERP_SALES
HL-7E070CABD89E1025,"1,270,110,000",LOT-CMP-5385808653,PRD-POY-011,2026-01-21,2026-01-22,ERP_SALES
HL-D2F41F2D7D852A0E,"1,268,610,000",LOT-CMP-2685441115,PRD-POY-008,2026-02-07,2026-02-08,ERP_SALES
HL-9A81B872C9DC5E5D,"1,271,210,000",LOT-CMP-3793592213,PRD-POY-011,2026-01-29,2026-01-30,ERP_SALES
HL-2AB07EA8EA748440,"1,264,110,000",LOT-CMP-4660925503,PRD-POY-007,2026-04-19,2026-04-20,ERP_SALES
HL-A4C3B4D9A36DEC43,"1,199,910,000",LOT-CMP-9489454100,PRD-POY-007,2026-04-19,2026-04-20,ERP_SALES
HL-0D36986120BD7048,"1,288,510,000",LOT-CMP-8332862443,PRD-POY-010,2026-06-10,2026-06-11,ERP_SALES
HL-E72ED9114D4B7591,"1,266,410,000",LOT-CMP-1568886027,PRD-POY-003,2026-06-26,2026-06-27,ERP_SALES
