شماره فاکتور,تاریخ,Customer_ID,ماه,سال,Available_At,Source_System
T_000002,2022-04-25,C_703200,M04,SY04,2022-04-26,ERP_SALES
T_000027,2022-01-10,C_749821,M01,SY04,2022-01-11,ERP_SALES
T_000209,2020-09-14,C_310107,M09,SY02,2020-09-15,ERP_SALES
T_000264,2021-03-22,C_155990,M03,SY03,2021-03-23,ERP_SALES
T_000313,2020-08-24,C_986633,M08,SY02,2020-08-25,ERP_SALES
T_000434,2021-07-26,C_806376,M07,SY03,2021-07-27,ERP_SALES
T_000461,2021-03-15,C_806376,M03,SY03,2021-03-16,ERP_SALES
T_000470,2020-07-06,C_117580,M07,SY02,2020-07-07,ERP_SALES
T_000518,2021-11-22,C_672256,M11,SY03,2021-11-23,ERP_SALES
T_000655,2020-11-16,C_603968,M11,SY02,2020-11-17,ERP_SALES
T_000776,2020-03-23,C_117580,M03,SY02,2020-03-24,ERP_SALES
T_000777,2020-07-27,C_969414,M07,SY02,2020-07-28,ERP_SALES
T_000794,2021-11-29,C_937594,M11,SY03,2021-11-30,ERP_SALES
T_000855,2021-03-08,C_756222,M03,SY03,2021-03-09,ERP_SALES
T_000878,2021-10-25,C_419410,M10,SY03,2021-10-26,ERP_SALES
T_000897,2020-11-09,C_683666,M11,SY02,2020-11-10,ERP_SALES
T_000912,2021-02-08,C_172705,M02,SY03,2021-02-09,ERP_SALES
T_000968,2020-09-07,C_155990,M09,SY02,2020-09-08,ERP_SALES
T_001007,2020-02-17,C_258325,M02,SY02,2020-02-18,ERP_SALES
T_001049,2021-05-24,C_848211,M05,SY03,2021-05-25,ERP_SALES
T_001111,2021-11-29,C_633661,M11,SY03,2021-11-30,ERP_SALES
T_001365,2020-11-23,C_245948,M11,SY02,2020-11-24,ERP_SALES
T_001376,2021-03-15,C_172705,M03,SY03,2021-03-16,ERP_SALES
T_001470,2022-03-21,C_843031,M03,SY04,2022-03-22,ERP_SALES
T_001488,2020-09-07,C_937594,M09,SY02,2020-09-08,ERP_SALES
T_001495,2022-03-14,C_692721,M03,SY04,2022-03-15,ERP_SALES
T_001671,2020-07-13,C_986633,M07,SY02,2020-07-14,ERP_SALES
T_001782,2021-05-31,C_497112,M05,SY03,2021-06-01,ERP_SALES
