Cost_Record_ID,Sales_Line_ID,شماره فاکتور,Product_ID,هزینه کل به ازای واحد,مقدار برگشتی,مبلغ برگشتی,Cost_Close_Date,Available_At,Source_System
COST-SL-00000001,SL-00000001,T_285604,P_RARE_Product_Family_04,656.23,0.00,0.00,2022-05-26,2022-05-27,ERP_COSTING
COST-SL-00000007,SL-00000007,T_379818,P_253702,102.42,0.00,0.00,2021-05-25,2021-05-26,ERP_COSTING
COST-SL-00000010,SL-00000010,T_585964,P_RARE_Product_Family_04,65.00,0.00,0.00,2021-06-19,2021-06-19,ERP_COSTING
COST-SL-00000013,SL-00000013,T_493675,P_850083,182.87,0.00,0.00,2021-03-25,2021-03-27,ERP_COSTING
COST-SL-00000016,SL-00000016,T_528227,P_076036,458.94,0.00,0.00,2021-11-01,2021-11-01,ERP_COSTING
COST-SL-00000017,SL-00000017,T_978124,P_864389,50.28,0.00,0.00,2020-03-11,2020-03-12,ERP_COSTING
COST-SL-00000023,SL-00000023,T_414905,P_RARE_Product_Family_03,90.51,0.00,0.00,2020-02-29,2020-02-29,ERP_COSTING
COST-SL-00000028,SL-00000028,T_471460,P_RARE_Product_Family_04,44.61,0.00,0.00,2020-07-19,2020-07-21,ERP_COSTING
COST-SL-00000029,SL-00000029,T_231703,P_RARE_Product_Family_02,110.41,0.00,0.00,2020-07-24,2020-07-25,ERP_COSTING
COST-SL-00000032,SL-00000032,T_005969,P_RARE_Product_Family_03,102.13,0.00,0.00,2020-04-13,2020-04-14,ERP_COSTING
COST-SL-00000033,SL-00000033,T_850488,P_656451,96.04,0.00,0.00,2020-11-11,2020-11-13,ERP_COSTING
COST-SL-00000035,SL-00000035,T_942962,P_RARE_Product_Family_03,127.79,0.00,0.00,2021-01-15,2021-01-17,ERP_COSTING
COST-SL-00000036,SL-00000036,T_943922,P_821914,150.09,0.00,0.00,2020-11-29,2020-11-29,ERP_COSTING
COST-SL-00000038,SL-00000038,T_047128,P_RARE_Product_Family_05,132.23,0.00,0.00,2020-03-14,2020-03-15,ERP_COSTING
COST-SL-00000046,SL-00000046,T_709951,P_RARE_Product_Family_03,104.92,0.00,0.00,2020-08-28,2020-08-29,ERP_COSTING
COST-SL-00000047,SL-00000047,T_168019,P_RARE_Product_Family_01,298.92,0.00,0.00,2021-09-29,2021-09-29,ERP_COSTING
COST-SL-00000048,SL-00000048,T_498827,P_450677,258.15,0.00,0.00,2021-11-18,2021-11-20,ERP_COSTING
COST-SL-00000052,SL-00000052,T_809725,P_983543,"1,065.74",0.00,0.00,2022-04-14,2022-04-14,ERP_COSTING
COST-SL-00000053,SL-00000053,T_997736,P_011998,57.01,0.00,0.00,2020-05-09,2020-05-10,ERP_COSTING
COST-SL-00000054,SL-00000054,T_995873,P_RARE_Product_Family_04,51.01,0.00,0.00,2020-08-25,2020-08-25,ERP_COSTING
COST-SL-00000057,SL-00000057,T_131180,P_462985,540.77,0.00,0.00,2022-01-23,2022-01-25,ERP_COSTING
COST-SL-00000058,SL-00000058,T_661708,P_RARE_Product_Family_04,180.59,0.00,0.00,2021-07-21,2021-07-22,ERP_COSTING
COST-SL-00000059,SL-00000059,T_722494,P_RARE_Product_Family_03,94.58,0.00,0.00,2020-08-14,2020-08-16,ERP_COSTING
COST-SL-00000060,SL-00000060,T_692298,P_RARE_Product_Family_03,268.99,0.00,0.00,2021-09-03,2021-09-05,ERP_COSTING
COST-SL-00000067,SL-00000067,T_715032,P_347425,120.87,0.00,0.00,2020-10-25,2020-10-25,ERP_COSTING
COST-SL-00000072,SL-00000072,T_213805,P_RARE_Product_Family_03,96.93,0.00,0.00,2020-08-02,2020-08-02,ERP_COSTING
COST-SL-00000073,SL-00000073,T_245866,P_228625,151.94,0.00,0.00,2021-07-13,2021-07-14,ERP_COSTING
COST-SL-00000078,SL-00000078,T_656997,P_635050,128.08,0.00,0.00,2020-11-02,2020-11-04,ERP_COSTING
COST-SL-00000082,SL-00000082,T_374373,P_RARE_Product_Family_04,58.64,0.00,0.00,2020-10-02,2020-10-04,ERP_COSTING
COST-SL-00000083,SL-00000083,T_901891,P_RARE_Product_Family_05,171.74,0.00,0.00,2021-09-29,2021-09-30,ERP_COSTING
COST-SL-00000089,SL-00000089,T_627051,P_890872,381.60,0.00,0.00,2022-01-27,2022-01-27,ERP_COSTING
COST-SL-00000092,SL-00000092,T_539899,P_RARE_Product_Family_03,110.97,0.00,0.00,2020-04-11,2020-04-12,ERP_COSTING
COST-SL-00000093,SL-00000093,T_120692,P_881226,84.55,0.00,0.00,2020-05-11,2020-05-13,ERP_COSTING
COST-SL-00000096,SL-00000096,T_749752,P_242632,81.91,0.00,0.00,2020-06-26,2020-06-26,ERP_COSTING
COST-SL-00000099,SL-00000099,T_508785,P_568483,104.68,0.00,0.00,2020-02-16,2020-02-16,ERP_COSTING
COST-SL-00000100,SL-00000100,T_549202,P_RARE_Product_Family_05,135.64,0.00,0.00,2020-08-02,2020-08-04,ERP_COSTING
COST-SL-00000105,SL-00000105,T_688944,P_RARE_Product_Family_03,202.46,0.00,0.00,2021-08-11,2021-08-12,ERP_COSTING
COST-SL-00000110,SL-00000110,T_719170,P_RARE_Product_Family_01,83.94,8.73,773.30,2021-07-12,2021-07-12,ERP_COSTING
COST-SL-00000111,SL-00000111,T_461116,P_RARE_Product_Family_05,173.83,0.00,0.00,2020-04-04,2020-04-06,ERP_COSTING
COST-SL-00000114,SL-00000114,T_342465,P_945371,246.81,0.00,0.00,2021-09-14,2021-09-15,ERP_COSTING
COST-SL-00000120,SL-00000120,T_335050,P_856221,76.37,0.00,0.00,2021-03-05,2021-03-05,ERP_COSTING
COST-SL-00000121,SL-00000121,T_785004,P_RARE_Product_Family_04,370.72,0.00,0.00,2022-03-20,2022-03-21,ERP_COSTING
COST-SL-00000130,SL-00000130,T_212598,P_011998,57.13,0.00,0.00,2020-07-11,2020-07-12,ERP_COSTING
COST-SL-00000133,SL-00000133,T_001807,P_RARE_Product_Family_03,179.76,0.00,0.00,2020-06-01,2020-06-03,ERP_COSTING
COST-SL-00000135,SL-00000135,T_266461,P_003511,78.78,0.00,0.00,2020-09-30,2020-10-02,ERP_COSTING
COST-SL-00000141,SL-00000141,T_212660,P_476864,312.49,0.00,0.00,2021-12-04,2021-12-06,ERP_COSTING
COST-SL-00000142,SL-00000142,T_448996,P_421045,161.81,0.00,0.00,2020-11-09,2020-11-09,ERP_COSTING
COST-SL-00000144,SL-00000144,T_309206,P_484354,208.93,0.00,0.00,2021-09-01,2021-09-01,ERP_COSTING
COST-SL-00000145,SL-00000145,T_922583,P_RARE_Product_Family_03,267.10,0.00,0.00,2021-10-29,2021-10-30,ERP_COSTING
COST-SL-00000150,SL-00000150,T_677213,P_576643,142.59,0.00,0.00,2020-02-18,2020-02-19,ERP_COSTING
COST-SL-00000151,SL-00000151,T_707754,P_485043,210.64,0.00,0.00,2021-04-04,2021-04-04,ERP_COSTING
COST-SL-00000155,SL-00000155,T_313258,P_159680,75.38,0.00,0.00,2020-12-12,2020-12-14,ERP_COSTING
COST-SL-00000156,SL-00000156,T_085604,P_047796,228.13,0.00,0.00,2021-08-05,2021-08-06,ERP_COSTING
COST-SL-00000165,SL-00000165,T_514040,P_753299,45.08,0.00,0.00,2020-04-16,2020-04-17,ERP_COSTING
COST-SL-00000168,SL-00000168,T_522779,P_RARE_Product_Family_04,98.87,0.00,0.00,2020-03-09,2020-03-11,ERP_COSTING
COST-SL-00000172,SL-00000172,T_899990,P_RARE_Product_Family_02,64.95,0.00,0.00,2020-08-30,2020-09-01,ERP_COSTING
COST-SL-00000175,SL-00000175,T_959765,P_RARE_Product_Family_02,135.76,0.00,0.00,2020-10-27,2020-10-27,ERP_COSTING
COST-SL-00000178,SL-00000178,T_454293,P_RARE_Product_Family_03,106.60,0.00,0.00,2020-05-22,2020-05-24,ERP_COSTING
COST-SL-00000179,SL-00000179,T_858368,P_RARE_Product_Family_03,356.61,0.00,0.00,2021-12-08,2021-12-09,ERP_COSTING
COST-SL-00000182,SL-00000182,T_096276,P_RARE_Product_Family_03,180.10,0.00,0.00,2021-09-07,2021-09-08,ERP_COSTING
COST-SL-00000187,SL-00000187,T_004829,P_RARE_Product_Family_02,125.86,0.00,0.00,2020-09-11,2020-09-11,ERP_COSTING
COST-SL-00000188,SL-00000188,T_146125,P_RARE_Product_Family_03,61.71,0.00,0.00,2020-08-02,2020-08-03,ERP_COSTING
COST-SL-00000193,SL-00000193,T_731840,P_688772,179.45,0.00,0.00,2021-04-18,2021-04-18,ERP_COSTING
COST-SL-00000196,SL-00000196,T_200471,P_987950,146.80,0.00,0.00,2020-04-29,2020-05-01,ERP_COSTING
COST-SL-00000197,SL-00000197,T_725563,P_215807,246.24,0.00,0.00,2021-09-06,2021-09-07,ERP_COSTING
COST-SL-00000199,SL-00000199,T_510764,P_556066,88.24,0.00,0.00,2020-11-07,2020-11-08,ERP_COSTING
COST-SL-00000200,SL-00000200,T_820563,P_RARE_Product_Family_02,360.82,0.00,0.00,2022-01-31,2022-01-31,ERP_COSTING
COST-SL-00000212,SL-00000212,T_120887,P_376116,69.78,0.00,0.00,2020-07-05,2020-07-07,ERP_COSTING
COST-SL-00000213,SL-00000213,T_882446,P_913911,138.30,0.00,0.00,2020-12-01,2020-12-01,ERP_COSTING
COST-SL-00000217,SL-00000217,T_779451,P_RARE_Product_Family_03,138.47,0.00,0.00,2021-09-08,2021-09-09,ERP_COSTING
