Customer_ID,Month_Key,Available_At,Estimated_Total_Purchase,Nafis_Purchase,Main_Competitor,Estimate_Source,Source_System
C_009817,2021-07,2021-08-05,91.00,0.00,رقیب X,فروش کارشناس,CRM_ESTIMATES
C_009817,2021-08,2021-09-05,89.00,0.00,رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_009817,2021-09,2021-10-05,77.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_009817,2021-10,2021-11-05,80.00,0.00,رقیب X,فروش کارشناس,CRM_ESTIMATES
C_009817,2021-11,2021-12-05,92.00,0.00,رقیب X,برآورد بازدید,CRM_ESTIMATES
C_009817,2021-12,2022-01-05,103.00,0.00,رقیب X,مشتری اظهار,CRM_ESTIMATES
C_009817,2022-01,2022-02-05,127.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_009817,2022-02,2022-03-05,92.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_009817,2022-03,2022-04-05,104.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_009817,2022-04,2022-05-05,60.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_009817,2022-05,2022-06-05,71.00,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_009817,2022-06,2022-07-05,138.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_010119,2021-07,2021-08-05,86.00,0.00,رقیب X,فروش کارشناس,CRM_ESTIMATES
C_010119,2021-08,2021-09-05,133.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_010119,2021-09,2021-10-05,145.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_010119,2021-10,2021-11-05,142.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_010119,2021-11,2021-12-05,131.00,0.00,تأمین,برآورد بازدید,CRM_ESTIMATES
C_010119,2021-12,2022-01-05,64.00,0.00,تأمین,برآورد بازدید,CRM_ESTIMATES
C_010119,2022-01,2022-02-05,62.00,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_010119,2022-02,2022-03-05,51.00,0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_010119,2022-03,2022-04-05,140.00,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_010119,2022-04,2022-05-05,129.00,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_010119,2022-05,2022-06-05,117.00,0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_010119,2022-06,2022-07-05,106.00,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_010649,2021-07,2021-08-05,"2,002.91",701.02,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_010649,2021-08,2021-09-05,"9,060.10","3,805.24",رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_010649,2021-09,2021-10-05,"14,850.39","6,831.18",رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_010649,2021-10,2021-11-05,"4,044.17","1,455.90",رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_010649,2021-11,2021-12-05,"2,799.71",0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_010649,2021-12,2022-01-05,"3,980.31",0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_010649,2022-01,2022-02-05,"4,385.08",0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_010649,2022-02,2022-03-05,"4,014.04",0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_010649,2022-03,2022-04-05,"3,609.26",0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_010649,2022-04,2022-05-05,"6,363.08","4,072.37",رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_010649,2022-05,2022-06-05,"2,529.86",0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_010649,2022-06,2022-07-05,"2,125.08",0.00,رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_011055,2021-07,2021-08-05,48.09,0.00,تأمین,برآورد بازدید,CRM_ESTIMATES
C_011055,2021-08,2021-09-05,56.72,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_011055,2021-09,2021-10-05,61.25,0.00,تأمین,برآورد بازدید,CRM_ESTIMATES
C_011055,2021-10,2021-11-05,52.20,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_011055,2021-11,2021-12-05,47.68,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_011055,2021-12,2022-01-05,42.75,0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_011055,2022-01,2022-02-05,35.35,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_011055,2022-02,2022-03-05,51.38,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_011055,2022-03,2022-04-05,46.86,0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_011055,2022-04,2022-05-05,60.84,0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_011055,2022-05,2022-06-05,86.27,57.80,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_011055,2022-06,2022-07-05,87.18,24.41,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_014775,2021-07,2021-08-05,73.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_014775,2021-08,2021-09-05,139.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_014775,2021-09,2021-10-05,50.00,0.00,تأمین,برآورد بازدید,CRM_ESTIMATES
C_014775,2021-10,2021-11-05,120.00,0.00,رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_014775,2021-11,2021-12-05,108.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_014775,2021-12,2022-01-05,143.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_014775,2022-01,2022-02-05,83.00,0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_014775,2022-02,2022-03-05,71.00,0.00,رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_014775,2022-03,2022-04-05,60.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_014775,2022-04,2022-05-05,149.00,0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_014775,2022-05,2022-06-05,138.00,0.00,رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_014775,2022-06,2022-07-05,126.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_015045,2021-07,2021-08-05,90.00,0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_015045,2021-08,2021-09-05,88.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_015045,2021-09,2021-10-05,77.00,0.00,تأمین,برآورد بازدید,CRM_ESTIMATES
C_015045,2021-10,2021-11-05,80.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_015045,2021-11,2021-12-05,91.00,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_015045,2021-12,2022-01-05,103.00,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_015045,2022-01,2022-02-05,126.00,0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_015045,2022-02,2022-03-05,92.00,0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_015045,2022-03,2022-04-05,104.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_015045,2022-04,2022-05-05,60.00,0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_015045,2022-05,2022-06-05,71.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_015045,2022-06,2022-07-05,138.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_015579,2021-07,2021-08-05,65.00,0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_015579,2021-08,2021-09-05,136.00,0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_015579,2021-09,2021-10-05,124.00,0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_015579,2021-10,2021-11-05,93.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_015579,2021-11,2021-12-05,104.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_015579,2021-12,2022-01-05,116.00,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_015579,2022-01,2022-02-05,125.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_015579,2022-02,2022-03-05,91.00,0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_015579,2022-03,2022-04-05,102.00,0.00,تأمین,برآورد بازدید,CRM_ESTIMATES
C_015579,2022-04,2022-05-05,68.00,0.00,رقیب X,فروش کارشناس,CRM_ESTIMATES
C_015579,2022-05,2022-06-05,80.00,0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_015579,2022-06,2022-07-05,146.00,0.00,رقیب X,برآورد بازدید,CRM_ESTIMATES
C_015746,2021-07,2021-08-05,"7,651.67",0.00,تأمین,مشتری اظهار,CRM_ESTIMATES
C_015746,2021-08,2021-09-05,"9,997.49","5,898.52",تأمین,برآورد بازدید,CRM_ESTIMATES
C_015746,2021-09,2021-10-05,"5,520.82",0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_015746,2021-10,2021-11-05,"5,714.53",0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_015746,2021-11,2021-12-05,"6,876.81",0.00,رقیب Z,مشتری اظهار,CRM_ESTIMATES
C_015746,2021-12,2022-01-05,"15,896.83","5,563.89",رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_015746,2022-01,2022-02-05,"10,266.79",0.00,رقیب X,برآورد بازدید,CRM_ESTIMATES
C_015746,2022-02,2022-03-05,"6,489.39",0.00,رقیب X,مشتری اظهار,CRM_ESTIMATES
C_015746,2022-03,2022-04-05,"10,771.73","5,493.58",رقیب X,فروش کارشناس,CRM_ESTIMATES
C_015746,2022-04,2022-05-05,"55,863.13","21,786.62",رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_015746,2022-05,2022-06-05,"5,327.11",0.00,رقیب X,برآورد بازدید,CRM_ESTIMATES
C_015746,2022-06,2022-07-05,"11,816.50",0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_016617,2021-07,2021-08-05,"2,870.68",0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_016617,2021-08,2021-09-05,"5,543.38",0.00,رقیب X,مشتری اظهار,CRM_ESTIMATES
C_016617,2021-09,2021-10-05,"4,949.45",0.00,رقیب X,برآورد بازدید,CRM_ESTIMATES
C_016617,2021-10,2021-11-05,"5,097.93",0.00,رقیب X,مشتری اظهار,CRM_ESTIMATES
C_016617,2021-11,2021-12-05,"5,691.87",0.00,تأمین,فروش کارشناس,CRM_ESTIMATES
C_016617,2021-12,2022-01-05,"4,009.05",0.00,رقیب X,فروش کارشناس,CRM_ESTIMATES
C_016617,2022-01,2022-02-05,"6,434.29",0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_016617,2022-02,2022-03-05,"7,028.22",0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_016617,2022-03,2022-04-05,"2,573.71",0.00,رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_016617,2022-04,2022-05-05,"3,613.10",0.00,رقیب Y,مشتری اظهار,CRM_ESTIMATES
C_016617,2022-05,2022-06-05,"17,067.07","4,949.45",رقیب Y,فروش کارشناس,CRM_ESTIMATES
C_016617,2022-06,2022-07-05,"4,751.47",0.00,رقیب Y,برآورد بازدید,CRM_ESTIMATES
C_018229,2021-07,2021-08-05,122.00,0.00,رقیب X,برآورد بازدید,CRM_ESTIMATES
C_018229,2021-08,2021-09-05,133.00,0.00,رقیب X,مشتری اظهار,CRM_ESTIMATES
C_018229,2021-09,2021-10-05,145.00,0.00,رقیب X,فروش کارشناس,CRM_ESTIMATES
C_018229,2021-10,2021-11-05,89.00,0.00,رقیب X,مشتری اظهار,CRM_ESTIMATES
C_018229,2021-11,2021-12-05,78.00,0.00,رقیب X,برآورد بازدید,CRM_ESTIMATES
C_018229,2021-12,2022-01-05,67.00,0.00,رقیب X,فروش کارشناس,CRM_ESTIMATES
C_018229,2022-01,2022-02-05,67.00,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_018229,2022-02,2022-03-05,102.00,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_018229,2022-03,2022-04-05,90.00,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_018229,2022-04,2022-05-05,134.00,0.00,رقیب Z,برآورد بازدید,CRM_ESTIMATES
C_018229,2022-05,2022-06-05,123.00,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_018229,2022-06,2022-07-05,56.00,0.00,رقیب Z,فروش کارشناس,CRM_ESTIMATES
C_018593,2021-07,2021-08-05,76.00,0.00,رقیب X,مشتری اظهار,CRM_ESTIMATES
