Week_ID,Report_Date,Available_At,Product_Market,Customer_ID,Competitor,Customer_Signal,Price_Index,Demand_Change,Market_Trend,Analysis,Source_System
W-001,2019-12-16,2019-12-18,Product_Family_06,,رقیب X,وصول متمرکز,109.20,ثابت,تقاضای ثابت,در گزارش بازار Product_Family_06، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-002,2019-12-23,2019-12-24,Product_Family_05,,رقیب Y,ظرفیت محدود,104.20,ثابت,تقاضای ثابت,در گزارش بازار Product_Family_05، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-003,2019-12-30,2020-01-01,Product_Family_02,,تأمین,وصول متمرکز,119.60,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_02، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-004,2020-01-06,2020-01-06,Product_Family_05,,رقیب X,وصول متمرکز,126.30,افزایش,فشار قیمتی,در گزارش بازار Product_Family_05، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-005,2020-01-13,2020-01-13,Product_Family_GENERALIZED,,رقیب Y,ظرفیت محدود,90.60,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-006,2020-01-20,2020-01-22,Product_Family_01,C_167944,رقیب Z,قیمت رقابتی,113.90,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_01، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-007,2020-01-27,2020-01-29,Product_Family_04,,تأمین,قیمت رقابتی,108.70,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_04، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-008,2020-02-03,2020-02-03,Product_Family_06,C_465208,رقیب Y,ظرفیت محدود,97.60,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_06، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-009,2020-02-10,2020-02-12,Product_Family_02,C_276262,تأمین,وصول متمرکز,123.20,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_02، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-010,2020-02-17,2020-02-19,Product_Family_06,,رقیب X,وصول متمرکز,118,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_06، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-011,2020-02-24,2020-02-25,Product_Family_02,C_431599,تأمین,قیمت رقابتی,113,افزایش,کاهش تقاضا,در گزارش بازار Product_Family_02، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-012,2020-03-02,2020-03-02,Product_Family_06,C_792125,رقیب Y,وصول متمرکز,116.30,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_06، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-013,2020-03-09,2020-03-10,Product_Family_05,C_113139,رقیب Y,قیمت رقابتی,110.90,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_05، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-014,2020-03-16,2020-03-16,Product_Family_04,,رقیب Z,تحویل سریع,105.90,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_04، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-015,2020-03-23,2020-03-23,Product_Family_04,,رقیب X,ظرفیت محدود,97.40,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_04، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-016,2020-03-30,2020-04-01,Product_Family_03,C_763443,رقیب Y,وصول متمرکز,92.40,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_03، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-017,2020-04-06,2020-04-08,Product_Family_GENERALIZED,,رقیب Y,ظرفیت محدود,109.80,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-018,2020-04-13,2020-04-13,Product_Family_01,C_842603,تأمین,وصول متمرکز,104.30,افزایش,فشار قیمتی,در گزارش بازار Product_Family_01، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-019,2020-04-20,2020-04-20,Product_Family_GENERALIZED,C_348438,رقیب Y,تحویل سریع,117.70,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-020,2020-04-27,2020-04-27,Product_Family_04,,رقیب X,تحویل سریع,122.90,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_04، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-021,2020-05-04,2020-05-05,Product_Family_GENERALIZED,,رقیب X,وصول متمرکز,95.90,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_GENERALIZED، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-022,2020-05-11,2020-05-13,Product_Family_04,,رقیب X,ظرفیت محدود,121.80,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_04، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-023,2020-05-18,2020-05-20,Product_Family_01,,رقیب X,تحویل سریع,106.20,کاهش,فشار قیمتی,در گزارش بازار Product_Family_01، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-024,2020-05-25,2020-05-25,Product_Family_04,,رقیب Y,وصول متمرکز,101.40,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_04، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-025,2020-06-01,2020-06-02,Product_Family_06,C_571084,تأمین,قیمت رقابتی,128.20,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_06، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-026,2020-06-08,2020-06-09,Product_Family_02,,رقیب Z,ظرفیت محدود,112.60,افزایش,کاهش تقاضا,در گزارش بازار Product_Family_02، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-027,2020-06-15,2020-06-17,Product_Family_04,,رقیب Y,قیمت رقابتی,127.40,افزایش,فشار قیمتی,در گزارش بازار Product_Family_04، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-028,2020-06-22,2020-06-24,Product_Family_06,,رقیب Y,وصول متمرکز,118.80,افزایش,فشار قیمتی,در گزارش بازار Product_Family_06، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-029,2020-06-29,2020-06-29,Product_Family_05,C_185126,رقیب Z,وصول متمرکز,103.60,ثابت,تقاضای ثابت,در گزارش بازار Product_Family_05، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-030,2020-07-06,2020-07-08,Product_Family_05,,تأمین,ظرفیت محدود,102.10,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_05، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-031,2020-07-13,2020-07-15,Product_Family_06,,رقیب X,وصول متمرکز,107.30,افزایش,کاهش تقاضا,در گزارش بازار Product_Family_06، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-032,2020-07-20,2020-07-20,Product_Family_01,,رقیب X,تحویل سریع,108.90,کاهش,فشار قیمتی,در گزارش بازار Product_Family_01، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-033,2020-07-27,2020-07-28,Product_Family_GENERALIZED,,تأمین,تحویل سریع,124.30,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-034,2020-08-03,2020-08-03,Product_Family_GENERALIZED,C_705572,تأمین,وصول متمرکز,92.50,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-035,2020-08-10,2020-08-11,Product_Family_01,,رقیب Z,ظرفیت محدود,97.50,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_01، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-036,2020-08-17,2020-08-17,Product_Family_02,,رقیب Y,ظرفیت محدود,112.70,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_02، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-037,2020-08-24,2020-08-24,Product_Family_06,,رقیب Z,قیمت رقابتی,128.40,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_06، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
