customer_id,month_key,estimated_total,our_purchase,main_competitor,wallet_share,month_end
C_009817,2021-07,91.0,0.0,رقیب X,0.0,2021-07-31
C_009817,2021-08,89.0,0.0,رقیب Y,0.0,2021-08-31
C_009817,2021-09,77.0,0.0,رقیب Y,0.0,2021-09-30
C_009817,2021-10,80.0,0.0,رقیب X,0.0,2021-10-31
C_009817,2021-11,92.0,0.0,رقیب X,0.0,2021-11-30
C_009817,2021-12,103.0,0.0,رقیب X,0.0,2021-12-31
C_009817,2022-01,127.0,0.0,تأمین,0.0,2022-01-31
C_009817,2022-02,92.0,0.0,تأمین,0.0,2022-02-28
C_009817,2022-03,104.0,0.0,تأمین,0.0,2022-03-31
C_009817,2022-04,60.0,0.0,تأمین,0.0,2022-04-30
C_009817,2022-05,71.0,0.0,رقیب Z,0.0,2022-05-31
C_009817,2022-06,138.0,0.0,تأمین,0.0,2022-06-30
C_010119,2021-07,86.0,0.0,رقیب X,0.0,2021-07-31
C_010119,2021-08,133.0,0.0,تأمین,0.0,2021-08-31
C_010119,2021-09,145.0,0.0,تأمین,0.0,2021-09-30
C_010119,2021-10,142.0,0.0,تأمین,0.0,2021-10-31
C_010119,2021-11,131.0,0.0,تأمین,0.0,2021-11-30
C_010119,2021-12,64.0,0.0,تأمین,0.0,2021-12-31
C_010119,2022-01,62.0,0.0,رقیب Z,0.0,2022-01-31
C_010119,2022-02,51.0,0.0,رقیب Z,0.0,2022-02-28
C_010119,2022-03,140.0,0.0,رقیب Z,0.0,2022-03-31
C_010119,2022-04,129.0,0.0,رقیب Z,0.0,2022-04-30
C_010119,2022-05,117.0,0.0,رقیب Z,0.0,2022-05-31
C_010119,2022-06,106.0,0.0,رقیب Z,0.0,2022-06-30
C_010649,2021-07,2002.91,701.02,رقیب Y,0.35000074891033545,2021-07-31
C_010649,2021-08,9060.1,3805.24,رقیب Z,0.4199997792518846,2021-08-31
C_010649,2021-09,14850.39,6831.18,رقیب Z,0.46000004040297937,2021-09-30
C_010649,2021-10,4044.17,1455.9,رقیب Y,0.3599997032765685,2021-10-31
C_010649,2021-11,2799.71,0.0,رقیب Y,0.0,2021-11-30
C_010649,2021-12,3980.31,0.0,رقیب Y,0.0,2021-12-31
C_010649,2022-01,4385.08,0.0,رقیب Z,0.0,2022-01-31
C_010649,2022-02,4014.04,0.0,رقیب Z,0.0,2022-02-28
C_010649,2022-03,3609.26,0.0,رقیب Z,0.0,2022-03-31
C_010649,2022-04,6363.08,4072.37,رقیب Y,0.6399998114120834,2022-04-30
C_010649,2022-05,2529.86,0.0,رقیب Y,0.0,2022-05-31
C_010649,2022-06,2125.08,0.0,رقیب Y,0.0,2022-06-30
C_011055,2021-07,48.09,0.0,تأمین,0.0,2021-07-31
C_011055,2021-08,56.72,0.0,تأمین,0.0,2021-08-31
C_011055,2021-09,61.25,0.0,تأمین,0.0,2021-09-30
C_011055,2021-10,52.2,0.0,رقیب Z,0.0,2021-10-31
C_011055,2021-11,47.68,0.0,رقیب Z,0.0,2021-11-30
C_011055,2021-12,42.75,0.0,رقیب Z,0.0,2021-12-31
C_011055,2022-01,35.35,0.0,رقیب Z,0.0,2022-01-31
C_011055,2022-02,51.38,0.0,رقیب Z,0.0,2022-02-28
C_011055,2022-03,46.86,0.0,رقیب Z,0.0,2022-03-31
C_011055,2022-04,60.84,0.0,رقیب Z,0.0,2022-04-30
C_011055,2022-05,86.27,57.8,رقیب Z,0.6699895676364901,2022-05-31
C_011055,2022-06,87.18,24.41,رقیب Z,0.27999541179169535,2022-06-30
C_014775,2021-07,73.0,0.0,تأمین,0.0,2021-07-31
C_014775,2021-08,139.0,0.0,تأمین,0.0,2021-08-31
C_014775,2021-09,50.0,0.0,تأمین,0.0,2021-09-30
C_014775,2021-10,120.0,0.0,رقیب Y,0.0,2021-10-31
C_014775,2021-11,108.0,0.0,رقیب Y,0.0,2021-11-30
C_014775,2021-12,143.0,0.0,رقیب Y,0.0,2021-12-31
C_014775,2022-01,83.0,0.0,رقیب Y,0.0,2022-01-31
C_014775,2022-02,71.0,0.0,رقیب Y,0.0,2022-02-28
C_014775,2022-03,60.0,0.0,رقیب Y,0.0,2022-03-31
C_014775,2022-04,149.0,0.0,رقیب Y,0.0,2022-04-30
C_014775,2022-05,138.0,0.0,رقیب Y,0.0,2022-05-31
C_014775,2022-06,126.0,0.0,رقیب Y,0.0,2022-06-30
C_015045,2021-07,90.0,0.0,رقیب Z,0.0,2021-07-31
C_015045,2021-08,88.0,0.0,تأمین,0.0,2021-08-31
C_015045,2021-09,77.0,0.0,تأمین,0.0,2021-09-30
C_015045,2021-10,80.0,0.0,تأمین,0.0,2021-10-31
C_015045,2021-11,91.0,0.0,رقیب Z,0.0,2021-11-30
C_015045,2021-12,103.0,0.0,رقیب Z,0.0,2021-12-31
C_015045,2022-01,126.0,0.0,رقیب Y,0.0,2022-01-31
C_015045,2022-02,92.0,0.0,رقیب Y,0.0,2022-02-28
C_015045,2022-03,104.0,0.0,رقیب Y,0.0,2022-03-31
C_015045,2022-04,60.0,0.0,رقیب Y,0.0,2022-04-30
C_015045,2022-05,71.0,0.0,رقیب Y,0.0,2022-05-31
C_015045,2022-06,138.0,0.0,رقیب Y,0.0,2022-06-30
C_015579,2021-07,65.0,0.0,رقیب Z,0.0,2021-07-31
C_015579,2021-08,136.0,0.0,رقیب Y,0.0,2021-08-31
C_015579,2021-09,124.0,0.0,رقیب Y,0.0,2021-09-30
C_015579,2021-10,93.0,0.0,تأمین,0.0,2021-10-31
C_015579,2021-11,104.0,0.0,تأمین,0.0,2021-11-30
C_015579,2021-12,116.0,0.0,رقیب Z,0.0,2021-12-31
C_015579,2022-01,125.0,0.0,تأمین,0.0,2022-01-31
C_015579,2022-02,91.0,0.0,تأمین,0.0,2022-02-28
C_015579,2022-03,102.0,0.0,تأمین,0.0,2022-03-31
C_015579,2022-04,68.0,0.0,رقیب X,0.0,2022-04-30
C_015579,2022-05,80.0,0.0,تأمین,0.0,2022-05-31
C_015579,2022-06,146.0,0.0,رقیب X,0.0,2022-06-30
C_015746,2021-07,7651.67,0.0,تأمین,0.0,2021-07-31
C_015746,2021-08,9997.49,5898.52,تأمین,0.5900000900225957,2021-08-31
C_015746,2021-09,5520.82,0.0,تأمین,0.0,2021-09-30
C_015746,2021-10,5714.53,0.0,رقیب Z,0.0,2021-10-31
C_015746,2021-11,6876.81,0.0,رقیب Z,0.0,2021-11-30
C_015746,2021-12,15896.83,5563.89,رقیب Z,0.34999996854718834,2021-12-31
C_015746,2022-01,10266.79,0.0,رقیب X,0.0,2022-01-31
C_015746,2022-02,6489.39,0.0,رقیب X,0.0,2022-02-28
C_015746,2022-03,10771.73,5493.58,رقیب X,0.5099997864781237,2022-03-31
C_015746,2022-04,55863.13,21786.62,رقیب Y,0.3899999874693738,2022-04-30
C_015746,2022-05,5327.11,0.0,رقیب X,0.0,2022-05-31
C_015746,2022-06,11816.5,0.0,رقیب Y,0.0,2022-06-30
C_016617,2021-07,2870.68,0.0,تأمین,0.0,2021-07-31
C_016617,2021-08,5543.38,0.0,رقیب X,0.0,2021-08-31
C_016617,2021-09,4949.45,0.0,رقیب X,0.0,2021-09-30
C_016617,2021-10,5097.93,0.0,رقیب X,0.0,2021-10-31
C_016617,2021-11,5691.87,0.0,تأمین,0.0,2021-11-30
C_016617,2021-12,4009.05,0.0,رقیب X,0.0,2021-12-31
C_016617,2022-01,6434.29,0.0,رقیب Y,0.0,2022-01-31
C_016617,2022-02,7028.22,0.0,رقیب Y,0.0,2022-02-28
C_016617,2022-03,2573.71,0.0,رقیب Y,0.0,2022-03-31
C_016617,2022-04,3613.1,0.0,رقیب Y,0.0,2022-04-30
C_016617,2022-05,17067.07,4949.45,رقیب Y,0.2899999824222904,2022-05-31
C_016617,2022-06,4751.47,0.0,رقیب Y,0.0,2022-06-30
C_018229,2021-07,122.0,0.0,رقیب X,0.0,2021-07-31
C_018229,2021-08,133.0,0.0,رقیب X,0.0,2021-08-31
C_018229,2021-09,145.0,0.0,رقیب X,0.0,2021-09-30
C_018229,2021-10,89.0,0.0,رقیب X,0.0,2021-10-31
C_018229,2021-11,78.0,0.0,رقیب X,0.0,2021-11-30
C_018229,2021-12,67.0,0.0,رقیب X,0.0,2021-12-31
C_018229,2022-01,67.0,0.0,رقیب Z,0.0,2022-01-31
C_018229,2022-02,102.0,0.0,رقیب Z,0.0,2022-02-28
C_018229,2022-03,90.0,0.0,رقیب Z,0.0,2022-03-31
C_018229,2022-04,134.0,0.0,رقیب Z,0.0,2022-04-30
C_018229,2022-05,123.0,0.0,رقیب Z,0.0,2022-05-31
C_018229,2022-06,56.0,0.0,رقیب Z,0.0,2022-06-30
C_018593,2021-07,76.0,0.0,رقیب X,0.0,2021-07-31
C_018593,2021-08,97.0,0.0,رقیب Y,0.0,2021-08-31
C_018593,2021-09,108.0,0.0,رقیب Y,0.0,2021-09-30
C_018593,2021-10,140.0,0.0,تأمین,0.0,2021-10-31
C_018593,2021-11,128.0,0.0,تأمین,0.0,2021-11-30
C_018593,2021-12,117.0,0.0,تأمین,0.0,2021-12-31
C_018593,2022-01,69.0,0.0,رقیب Y,0.0,2022-01-31
C_018593,2022-02,103.0,0.0,رقیب Y,0.0,2022-02-28
C_018593,2022-03,91.0,0.0,رقیب Y,0.0,2022-03-31
C_018593,2022-04,126.0,0.0,رقیب Y,0.0,2022-04-30
C_018593,2022-05,114.0,0.0,رقیب Y,0.0,2022-05-31
C_018593,2022-06,53.0,0.0,رقیب Y,0.0,2022-06-30
C_021668,2021-07,95.0,0.0,رقیب Y,0.0,2021-07-31
C_021668,2021-08,119.0,0.0,تأمین,0.0,2021-08-31
C_021668,2021-09,108.0,0.0,رقیب X,0.0,2021-09-30
C_021668,2021-10,130.0,0.0,رقیب Y,0.0,2021-10-31
C_021668,2021-11,142.0,0.0,رقیب Y,0.0,2021-11-30
C_021668,2021-12,107.0,0.0,رقیب Y,0.0,2021-12-31
C_021668,2022-01,138.0,0.0,رقیب Z,0.0,2022-01-31
C_021668,2022-02,150.0,0.0,رقیب Z,0.0,2022-02-28
C_021668,2022-03,60.0,0.0,رقیب Y,0.0,2022-03-31
C_021668,2022-04,72.0,0.0,رقیب Y,0.0,2022-04-30
C_021668,2022-05,83.0,0.0,رقیب Y,0.0,2022-05-31
C_021668,2022-06,95.0,0.0,رقیب Y,0.0,2022-06-30
C_021985,2021-07,43.49,19.57,رقیب X,0.4499885031041619,2021-07-31
C_021985,2021-08,34.71,13.19,تأمین,0.38000576202823394,2021-08-31
C_021985,2021-09,35.74,12.15,تأمین,0.3399552322327924,2021-09-30
C_021985,2021-10,30.03,0.0,رقیب Y,0.0,2021-10-31
C_021985,2021-11,11.89,0.0,رقیب Y,0.0,2021-11-30
C_021985,2021-12,80.42,26.54,رقیب Y,0.33001740860482465,2021-12-31
C_021985,2022-01,15.11,0.0,تأمین,0.0,2022-01-31
C_021985,2022-02,17.33,0.0,تأمین,0.0,2022-02-28
C_021985,2022-03,19.75,0.0,تأمین,0.0,2022-03-31
C_021985,2022-04,117.14,32.8,تأمین,0.2800068294348642,2022-04-30
C_021985,2022-05,52.09,16.67,رقیب Z,0.32002303705125745,2022-05-31
C_021985,2022-06,26.6,0.0,رقیب Z,0.0,2022-06-30
C_022240,2021-07,1819.69,709.68,رقیب Y,0.3900004945897378,2021-07-31
C_022240,2021-08,2018.0,807.2,رقیب X,0.4,2021-08-31
C_022240,2021-09,2211.16,972.91,رقیب X,0.4399998190994772,2021-09-30
C_022240,2021-10,358.33,258.0,رقیب X,0.7200066977367232,2021-10-31
C_022240,2021-11,1238.06,841.88,رقیب X,0.6799993538277628,2021-11-30
C_022240,2021-12,645.9,0.0,رقیب X,0.0,2021-12-31
C_022240,2022-01,387.54,0.0,رقیب X,0.0,2022-01-31
C_022240,2022-02,330.7,0.0,رقیب X,0.0,2022-02-28
C_022240,2022-03,267.97,96.47,رقیب X,0.36000298540881437,2022-03-31
C_022240,2022-04,799.66,255.89,رقیب X,0.31999849936222896,2022-04-30
C_022240,2022-05,684.64,191.7,رقیب X,0.28000116849731244,2022-05-31
C_022240,2022-06,614.89,0.0,رقیب X,0.0,2022-06-30
C_022746,2021-07,2356.65,0.0,تأمین,0.0,2021-07-31
C_022746,2021-08,2976.82,0.0,رقیب Z,0.0,2021-08-31
C_022746,2021-09,4002.88,1360.98,رقیب Z,0.3400001998561036,2021-09-30
C_022746,2021-10,3249.69,0.0,تأمین,0.0,2021-10-31
C_022746,2021-11,3522.57,0.0,تأمین,0.0,2021-11-30
C_022746,2021-12,10001.06,3600.38,رقیب X,0.35999984001695823,2021-12-31
C_022746,2022-01,3324.11,0.0,رقیب X,0.0,2022-01-31
C_022746,2022-02,3596.99,0.0,رقیب X,0.0,2022-02-28
C_022746,2022-03,1389.18,0.0,رقیب X,0.0,2022-03-31
C_022746,2022-04,1662.06,0.0,رقیب X,0.0,2022-04-30
C_022746,2022-05,1959.74,0.0,رقیب X,0.0,2022-05-31
C_022746,2022-06,2232.61,0.0,رقیب X,0.0,2022-06-30
C_023073,2021-07,61.88,15.47,تأمین,0.25,2021-07-31
C_023073,2021-08,37.83,26.1,رقیب Z,0.6899286280729581,2021-08-31
C_023073,2021-09,98.38,63.95,رقیب Z,0.6500304940028462,2021-09-30
C_023073,2021-10,84.6,63.45,تأمین,0.7500000000000001,2021-10-31
C_023073,2021-11,39.58,0.0,تأمین,0.0,2021-11-30
C_023073,2021-12,27.34,0.0,تأمین,0.0,2021-12-31
C_023073,2022-01,38.5,0.0,رقیب X,0.0,2022-01-31
C_023073,2022-02,42.46,0.0,رقیب X,0.0,2022-02-28
C_023073,2022-03,46.77,0.0,رقیب X,0.0,2022-03-31
C_023073,2022-04,15.84,10.93,رقیب X,0.6900252525252525,2022-04-30
C_023073,2022-05,18.35,0.0,تأمین,0.0,2022-05-31
C_023073,2022-06,22.67,0.0,تأمین,0.0,2022-06-30
C_027096,2021-07,88.0,0.0,رقیب Y,0.0,2021-07-31
C_027096,2021-08,145.0,0.0,رقیب Y,0.0,2021-08-31
C_027096,2021-09,56.0,0.0,رقیب Y,0.0,2021-09-30
C_027096,2021-10,53.0,0.0,رقیب Y,0.0,2021-10-31
C_027096,2021-11,142.0,0.0,رقیب Y,0.0,2021-11-30
C_027096,2021-12,76.0,0.0,رقیب Y,0.0,2021-12-31
C_027096,2022-01,127.0,0.0,رقیب Z,0.0,2022-01-31
C_027096,2022-02,115.0,0.0,رقیب Z,0.0,2022-02-28
C_027096,2022-03,104.0,0.0,رقیب Z,0.0,2022-03-31
C_027096,2022-04,83.0,0.0,رقیب Y,0.0,2022-04-30
C_027096,2022-05,71.0,0.0,رقیب Y,0.0,2022-05-31
C_027096,2022-06,60.0,0.0,رقیب Y,0.0,2022-06-30
C_028208,2021-07,8.34,0.0,رقیب Z,0.0,2021-07-31
C_028208,2021-08,3.77,0.0,تأمین,0.0,2021-08-31
C_028208,2021-09,4.4,0.0,تأمین,0.0,2021-09-30
C_028208,2021-10,3.14,0.0,رقیب Z,0.0,2021-10-31
C_028208,2021-11,8.28,0.0,رقیب Z,0.0,2021-11-30
C_028208,2021-12,7.93,5.71,رقیب Z,0.7200504413619168,2021-12-31
C_028208,2022-01,6.22,0.0,رقیب Y,0.0,2022-01-31
C_028208,2022-02,8.17,0.0,رقیب Y,0.0,2022-02-28
C_028208,2022-03,7.54,0.0,رقیب Y,0.0,2022-03-31
C_028208,2022-04,3.71,0.0,رقیب Y,0.0,2022-04-30
C_028208,2022-05,3.08,0.0,رقیب Y,0.0,2022-05-31
C_028208,2022-06,5.02,0.0,رقیب X,0.0,2022-06-30
C_029626,2021-07,141.0,0.0,تأمین,0.0,2021-07-31
C_029626,2021-08,139.0,0.0,رقیب X,0.0,2021-08-31
C_029626,2021-09,128.0,0.0,رقیب X,0.0,2021-09-30
C_029626,2021-10,130.0,0.0,رقیب X,0.0,2021-10-31
C_029626,2021-11,142.0,0.0,تأمین,0.0,2021-11-30
C_029626,2021-12,52.0,0.0,تأمین,0.0,2021-12-31
C_029626,2022-01,76.0,0.0,رقیب Z,0.0,2022-01-31
C_029626,2022-02,143.0,0.0,رقیب Z,0.0,2022-02-28
C_029626,2022-03,53.0,0.0,رقیب Z,0.0,2022-03-31
C_029626,2022-04,110.0,0.0,رقیب Z,0.0,2022-04-30
C_029626,2022-05,122.0,0.0,رقیب Z,0.0,2022-05-31
C_029626,2022-06,87.0,0.0,رقیب Z,0.0,2022-06-30
C_031511,2021-07,121.79,0.0,تأمین,0.0,2021-07-31
C_031511,2021-08,261.55,0.0,رقیب Z,0.0,2021-08-31
C_031511,2021-09,239.59,0.0,رقیب Z,0.0,2021-09-30
C_031511,2021-10,175.7,0.0,رقیب X,0.0,2021-10-31
C_031511,2021-11,199.66,0.0,تأمین,0.0,2021-11-30
C_031511,2021-12,221.62,0.0,تأمین,0.0,2021-12-31
C_031511,2022-01,239.59,0.0,رقیب X,0.0,2022-01-31
C_031511,2022-02,171.71,0.0,رقیب X,0.0,2022-02-28
C_031511,2022-03,195.67,0.0,رقیب X,0.0,2022-03-31
C_031511,2022-04,125.79,0.0,رقیب X,0.0,2022-04-30
C_031511,2022-05,434.04,199.66,رقیب X,0.46000368629619387,2022-05-31
C_031511,2022-06,281.52,0.0,رقیب Y,0.0,2022-06-30
C_034287,2021-07,133.0,0.0,رقیب Y,0.0,2021-07-31
C_034287,2021-08,109.0,0.0,تأمین,0.0,2021-08-31
C_034287,2021-09,120.0,0.0,رقیب Z,0.0,2021-09-30
C_034287,2021-10,146.0,0.0,رقیب Y,0.0,2021-10-31
C_034287,2021-11,135.0,0.0,رقیب Y,0.0,2021-11-30
C_034287,2021-12,68.0,0.0,رقیب X,0.0,2021-12-31
C_034287,2022-01,51.0,0.0,تأمین,0.0,2022-01-31
C_034287,2022-02,141.0,0.0,تأمین,0.0,2022-02-28
C_034287,2022-03,130.0,0.0,تأمین,0.0,2022-03-31
C_034287,2022-04,109.0,0.0,رقیب Z,0.0,2022-04-30
C_034287,2022-05,97.0,0.0,رقیب Z,0.0,2022-05-31
C_034287,2022-06,86.0,0.0,رقیب Z,0.0,2022-06-30
C_035154,2021-07,12.1,7.02,رقیب X,0.5801652892561984,2021-07-31
C_035154,2021-08,8.57,5.57,رقیب Y,0.6499416569428238,2021-08-31
C_035154,2021-09,6.55,0.0,رقیب Y,0.0,2021-09-30
C_035154,2021-10,5.16,0.0,رقیب X,0.0,2021-10-31
C_035154,2021-11,4.41,0.0,رقیب X,0.0,2021-11-30
C_035154,2021-12,6.61,0.0,رقیب X,0.0,2021-12-31
C_035154,2022-01,6.17,0.0,رقیب X,0.0,2022-01-31
C_035154,2022-02,5.48,0.0,رقیب X,0.0,2022-02-28
C_035154,2022-03,4.72,0.0,رقیب X,0.0,2022-03-31
C_035154,2022-04,3.4,0.0,تأمین,0.0,2022-04-30
C_035154,2022-05,9.06,0.0,رقیب X,0.0,2022-05-31
C_035154,2022-06,8.37,0.0,رقیب X,0.0,2022-06-30
C_035718,2021-07,15.85,0.0,رقیب X,0.0,2021-07-31
C_035718,2021-08,16.06,0.0,تأمین,0.0,2021-08-31
C_035718,2021-09,15.18,10.78,تأمین,0.7101449275362318,2021-09-30
C_035718,2021-10,6.04,0.0,تأمین,0.0,2021-10-31
C_035718,2021-11,15.74,0.0,تأمین,0.0,2021-11-30
C_035718,2021-12,14.55,0.0,تأمین,0.0,2021-12-31
C_035718,2022-01,5.71,0.0,تأمین,0.0,2022-01-31
C_035718,2022-02,9.38,0.0,تأمین,0.0,2022-02-28
C_035718,2022-03,8.19,0.0,تأمین,0.0,2022-03-31
C_035718,2022-04,11.86,0.0,تأمین,0.0,2022-04-30
C_035718,2022-05,10.67,0.0,تأمین,0.0,2022-05-31
C_035718,2022-06,14.34,0.0,رقیب Z,0.0,2022-06-30
C_039413,2021-07,69.0,0.0,رقیب Z,0.0,2021-07-31
C_039413,2021-08,100.0,0.0,تأمین,0.0,2021-08-31
C_039413,2021-09,111.0,0.0,تأمین,0.0,2021-09-30
C_039413,2021-10,89.0,0.0,رقیب Z,0.0,2021-10-31
C_039413,2021-11,78.0,0.0,رقیب Z,0.0,2021-11-30
C_039413,2021-12,67.0,0.0,رقیب Z,0.0,2021-12-31
C_039413,2022-01,120.0,0.0,رقیب Y,0.0,2022-01-31
C_039413,2022-02,53.0,0.0,رقیب X,0.0,2022-02-28
C_039413,2022-03,142.0,0.0,رقیب X,0.0,2022-03-31
C_039413,2022-04,85.0,0.0,رقیب Y,0.0,2022-04-30
C_039413,2022-05,74.0,0.0,رقیب Y,0.0,2022-05-31
C_039413,2022-06,108.0,0.0,رقیب Y,0.0,2022-06-30
C_040673,2021-07,533.66,0.0,رقیب X,0.0,2021-07-31
