customer_id,severity,created_at,status,resolved_at
CUST-003,کم,2025-04-15,پذیرفته,2025-05-02
CUST-010,زیاد,2025-04-20,پذیرفته,2025-05-08
CUST-019,کم,2025-05-05,ردشده,2025-05-17
CUST-010,متوسط,2025-05-11,پذیرفته,2025-06-05
CUST-010,کم,2025-05-11,پذیرفته,2025-05-21
CUST-015,کم,2025-05-23,پذیرفته,2025-06-09
CUST-016,کم,2025-06-08,ردشده,2025-06-17
CUST-019,زیاد,2025-06-28,ردشده,2025-07-10
CUST-012,زیاد,2025-07-14,پذیرفته,2025-08-07
CUST-019,متوسط,2025-07-20,پذیرفته,2025-08-01
CUST-006,کم,2025-07-22,نیازمند بررسی,
CUST-008,کم,2025-07-23,پذیرفته,2025-08-15
CUST-008,کم,2025-08-10,ردشده,2025-08-29
CUST-020,کم,2025-08-16,ردشده,2025-09-03
CUST-015,کم,2025-08-30,پذیرفته,2025-09-18
CUST-017,متوسط,2025-08-30,پذیرفته,2025-09-17
CUST-004,متوسط,2025-09-09,نیازمند بررسی,
CUST-011,کم,2025-09-13,پذیرفته,2025-09-26
CUST-013,متوسط,2025-09-15,پذیرفته,2025-10-08
CUST-003,متوسط,2025-09-21,پذیرفته,2025-10-12
CUST-015,زیاد,2025-09-23,پذیرفته,2025-10-10
CUST-009,زیاد,2025-09-24,پذیرفته,2025-10-19
CUST-010,متوسط,2025-09-28,پذیرفته,2025-10-15
CUST-003,متوسط,2025-10-01,پذیرفته,2025-10-11
CUST-002,متوسط,2025-10-04,پذیرفته,2025-10-26
CUST-005,کم,2025-10-08,پذیرفته,2025-10-29
CUST-013,زیاد,2025-10-13,پذیرفته,2025-10-27
CUST-003,زیاد,2025-10-14,پذیرفته,2025-11-01
CUST-009,کم,2025-10-15,نیازمند بررسی,
CUST-003,متوسط,2025-10-18,نیازمند بررسی,
CUST-003,کم,2025-11-08,پذیرفته,2025-11-21
CUST-019,کم,2025-11-25,پذیرفته,2025-12-14
CUST-003,زیاد,2026-02-17,پذیرفته,2026-03-03
CUST-001,کم,2026-02-22,ردشده,2026-03-04
CUST-008,متوسط,2026-02-21,پذیرفته,2026-03-22
CUST-018,زیاد,2026-05-13,ردشده,2026-05-31
CUST-003,متوسط,2026-07-08,پذیرفته,2026-08-04
CUST-018,متوسط,2026-07-12,پذیرفته,2026-07-30
CUST-014,متوسط,2026-07-23,پذیرفته,2026-08-12
CUST-007,متوسط,2026-08-06,ردشده,2026-08-31
C_172705,کم,2021-05-07,درحال بررسی,
C_317124,کم,2021-11-14,درحال بررسی,
C_376594,متوسط,2020-11-29,بسته,2020-12-20
C_746892,کم,2021-12-26,درحال بررسی,
C_746892,کم,2021-10-24,بسته,2021-12-10
C_593639,متوسط,2020-08-04,بسته,2020-09-12
C_117580,بحرانی,2020-08-18,درحال بررسی,
C_664019,متوسط,2021-02-02,بسته,2021-03-02
C_853926,بحرانی,2020-08-04,بسته,2020-08-29
C_951507,متوسط,2022-01-10,درحال بررسی,
C_683666,زیاد,2021-12-06,درحال بررسی,
C_282979,زیاد,2020-11-02,بسته,2020-12-07
