customer_id,offer_date,discount_pct,result,offer_type,offer_reason,validity_days
C_746892,2021-11-30,8.1,رد,قیمتی,تسویه سریع,29
C_317124,2022-03-25,2.1,درحال مذاکره,حجمی,رقابت قیمتی,5
C_683666,2020-08-02,1.6,قبول,قیمتی,تسویه سریع,13
C_749821,2021-12-09,6.6,رد,قیمتی,معرفی محصول جدید,27
C_317124,2021-06-26,6.1,قبول,مدت,افزایش سهم از سبد,9
C_180817,2021-11-09,7.6,قبول,حجمی,افزایش سهم از سبد,11
C_472366,2021-11-04,7.1,درحال مذاکره,مدت,افزایش حجم سفارش,19
C_932446,2020-01-06,4.6,درحال مذاکره,مدت,آزمون محصول,7
C_683666,2021-07-07,4.1,منقضی,حجمی,افزایش حجم سفارش,15
C_705572,2021-08-06,4.6,رد,حجمی,معرفی محصول جدید,12
C_848211,2020-04-22,5.1,منقضی,مدت,افزایش سهم از سبد,30
C_937594,2020-12-27,3.6,درحال مذاکره,مدت,افزایش حجم سفارش,28
C_258325,2020-05-08,4.1,قبول,مدت,افزایش حجم سفارش,20
C_519849,2020-10-05,6.6,منقضی,قیمتی,حفظ مشتری کلیدی,6
C_954731,2021-03-13,7.1,قبول,مدت,معرفی محصول جدید,24
C_746892,2021-01-06,5.6,قبول,مدت,آزمون محصول,22
C_838088,2021-12-06,6.1,درحال مذاکره,قیمتی,تسویه سریع,14
C_683666,2020-07-18,8.1,درحال مذاکره,حجمی,افزایش حجم سفارش,24
C_282979,2020-09-26,1.1,قبول,مدت,تسویه سریع,16
C_076411,2021-03-06,3.1,درحال مذاکره,مدت,تسویه سریع,18
C_683666,2021-12-13,2.6,رد,قیمتی,معرفی محصول جدید,26
C_727451,2021-01-25,2.1,قبول,مدت,تسویه سریع,8
C_317124,2021-02-17,1.6,منقضی,حجمی,رقابت قیمتی,16
C_113139,2020-07-01,1.1,رد,حجمی,آزمون محصول,24
C_361181,2020-12-11,8.1,درحال مذاکره,حجمی,رقابت قیمتی,6
C_444616,2022-05-20,7.6,منقضی,قیمتی,حفظ مشتری کلیدی,14
C_051535,2020-08-16,7.1,رد,حجمی,معرفی محصول جدید,22
C_892680,2022-04-29,7.2,رد,قیمتی,معرفی محصول جدید,6
C_401016,2020-05-31,6.7,قبول,مدت,حفظ مشتری کلیدی,14
C_899372,2021-05-13,6.6,درحال مذاکره,حجمی,افزایش حجم سفارش,10
C_806376,2021-09-14,7.1,درحال مذاکره,حجمی,آزمون محصول,28
C_258325,2021-10-12,7.6,رد,مدت,تسویه سریع,20
C_439356,2021-01-10,8.1,منقضی,حجمی,تسویه سریع,12
C_705572,2021-09-06,4.6,رد,حجمی,افزایش حجم سفارش,16
C_245948,2020-11-23,5.1,منقضی,مدت,افزایش سهم از سبد,8
C_728285,2021-03-13,5.6,قبول,قیمتی,تسویه سریع,26
C_951507,2021-05-15,6.1,رد,مدت,افزایش سهم از سبد,18
C_672706,2021-07-14,3.2,رد,قیمتی,افزایش حجم سفارش,24
C_152040,2020-06-22,3.7,منقضی,مدت,افزایش سهم از سبد,16
C_806376,2021-05-04,2.6,رد,قیمتی,آزمون محصول,27
C_789545,2021-03-09,2.1,قبول,حجمی,آزمون محصول,9
C_117580,2020-07-26,3.6,قبول,قیمتی,افزایش سهم از سبد,11
C_117580,2020-07-26,3.1,درحال مذاکره,حجمی,افزایش حجم سفارش,19
C_749821,2022-01-07,4.6,منقضی,حجمی,افزایش سهم از سبد,21
C_117580,2020-09-11,4.1,رد,مدت,حفظ مشتری کلیدی,29
C_117580,2020-07-01,5.7,درحال مذاکره,قیمتی,افزایش سهم از سبد,5
C_691869,2021-08-25,5.1,قبول,مدت,معرفی محصول جدید,13
C_338236,2021-10-04,6.7,قبول,مدت,افزایش حجم سفارش,15
C_662193,2020-04-13,6.2,منقضی,قیمتی,تسویه سریع,23
C_683666,2020-04-28,2.5,رد,مدت,افزایش سهم از سبد,5
C_683666,2021-05-23,3.0,منقضی,حجمی,معرفی محصول جدید,23
C_317124,2021-02-04,1.5,منقضی,قیمتی,تسویه سریع,21
C_632933,2021-07-27,2.0,قبول,حجمی,حفظ مشتری کلیدی,13
C_150182,2021-02-20,8.0,قبول,حجمی,آزمون محصول,11
C_862106,2020-02-15,1.0,درحال مذاکره,مدت,افزایش حجم سفارش,29
C_422697,2020-03-30,7.0,رد,حجمی,تسویه سریع,27
C_739258,2020-05-18,7.5,منقضی,حجمی,افزایش حجم سفارش,19
C_701486,2020-08-19,6.0,درحال مذاکره,قیمتی,معرفی محصول جدید,17
C_350091,2020-05-20,6.5,قبول,مدت,رقابت قیمتی,9
C_593639,2020-06-21,6.0,قبول,مدت,حفظ مشتری کلیدی,23
C_334474,2021-11-21,5.5,منقضی,قیمتی,معرفی محصول جدید,5
C_672706,2021-05-11,5.0,درحال مذاکره,حجمی,تسویه سریع,13
C_806376,2020-11-03,4.5,قبول,حجمی,افزایش سهم از سبد,21
C_939370,2022-04-13,8.1,رد,مدت,افزایش سهم از سبد,17
C_117580,2020-08-12,7.6,درحال مذاکره,مدت,حفظ مشتری کلیدی,25
C_113139,2021-02-19,7.0,منقضی,مدت,معرفی محصول جدید,7
C_951507,2021-03-19,6.5,رد,قیمتی,حفظ مشتری کلیدی,15
C_980626,2020-01-13,2.0,رد,قیمتی,حفظ مشتری کلیدی,9
C_806376,2021-03-29,1.5,قبول,مدت,افزایش سهم از سبد,17
C_714619,2020-04-17,2.0,منقضی,مدت,تسویه سریع,14
C_317124,2021-11-10,2.5,قبول,حجمی,معرفی محصول جدید,6
C_051535,2022-05-16,3.0,رد,حجمی,رقابت قیمتی,24
C_980626,2020-12-21,3.6,منقضی,حجمی,آزمون محصول,16
C_113139,2021-01-09,4.1,درحال مذاکره,حجمی,آزمون محصول,8
C_265163,2021-07-24,4.6,رد,حجمی,معرفی محصول جدید,26
C_444616,2020-01-30,5.1,منقضی,حجمی,تسویه سریع,18
C_672706,2021-07-15,5.6,قبول,حجمی,رقابت قیمتی,10
C_155990,2021-10-02,5.5,قبول,مدت,معرفی محصول جدید,26
C_951507,2022-05-26,6.0,درحال مذاکره,مدت,حفظ مشتری کلیدی,18
C_691869,2020-07-20,5.5,منقضی,حجمی,افزایش حجم سفارش,6
C_705680,2020-02-12,5.0,درحال مذاکره,مدت,حفظ مشتری کلیدی,14
C_746892,2022-04-02,6.5,رد,حجمی,رقابت قیمتی,16
C_683666,2020-06-29,6.0,قبول,مدت,رقابت قیمتی,24
C_126481,2020-04-24,3.5,رد,حجمی,افزایش سهم از سبد,12
C_984759,2020-04-19,3.0,قبول,مدت,آزمون محصول,20
C_421536,2020-06-03,4.5,قبول,قیمتی,افزایش سهم از سبد,22
C_980626,2021-03-19,4.0,منقضی,حجمی,رقابت قیمتی,30
C_566726,2020-04-19,2.1,رد,قیمتی,آزمون محصول,20
C_683666,2022-02-15,1.6,قبول,مدت,تسویه سریع,28
C_282979,2020-11-05,4.1,قبول,مدت,تسویه سریع,11
C_806376,2021-07-27,4.6,درحال مذاکره,قیمتی,افزایش حجم سفارش,29
C_117580,2020-09-05,3.0,رد,حجمی,تسویه سریع,27
C_126481,2020-03-12,3.5,منقضی,مدت,تسویه سریع,19
C_969414,2020-09-06,6.1,رد,مدت,افزایش سهم از سبد,5
C_649318,2020-05-01,6.6,منقضی,قیمتی,تسویه سریع,23
C_479796,2021-06-15,5.1,منقضی,مدت,تسویه سریع,21
C_479796,2020-08-30,5.6,قبول,حجمی,آزمون محصول,13
C_479796,2020-11-23,8.1,منقضی,حجمی,حفظ مشتری کلیدی,26
C_185126,2022-03-21,1.1,قبول,حجمی,افزایش حجم سفارش,18
C_683666,2021-10-13,2.4,رد,مدت,معرفی محصول جدید,30
C_871835,2021-09-13,2.9,منقضی,حجمی,تسویه سریع,22
C_051535,2021-05-31,3.4,قبول,حجمی,تسویه سریع,14
C_762928,2021-08-28,3.9,درحال مذاکره,مدت,افزایش سهم از سبد,6
C_672256,2021-10-10,7.8,قبول,حجمی,افزایش سهم از سبد,10
C_683666,2020-12-11,8.3,رد,حجمی,افزایش حجم سفارش,28
C_172705,2020-02-21,1.3,درحال مذاکره,حجمی,معرفی محصول جدید,20
C_937594,2020-06-24,1.8,قبول,حجمی,آزمون محصول,12
C_769450,2021-10-12,6.4,درحال مذاکره,حجمی,حفظ مشتری کلیدی,18
C_134962,2020-05-10,6.9,رد,حجمی,معرفی محصول جدید,10
C_155990,2021-04-16,6.4,منقضی,قیمتی,حفظ مشتری کلیدی,13
C_746892,2022-04-03,5.9,رد,حجمی,تسویه سریع,21
C_664019,2020-11-22,5.3,قبول,مدت,آزمون محصول,29
C_317124,2021-07-27,4.8,درحال مذاکره,مدت,معرفی محصول جدید,11
C_691869,2021-10-26,4.3,رد,مدت,حفظ مشتری کلیدی,19
C_762928,2021-03-25,3.8,قبول,مدت,معرفی محصول جدید,27
C_698497,2020-03-05,3.3,منقضی,حجمی,رقابت قیمتی,9
C_421536,2020-02-08,2.8,قبول,مدت,رقابت قیمتی,16
C_593639,2020-12-03,2.9,درحال مذاکره,مدت,افزایش حجم سفارش,27
C_063926,2020-10-01,2.4,قبول,مدت,آزمون محصول,9
C_317124,2022-05-15,2.9,منقضی,قیمتی,افزایش حجم سفارش,21
C_338236,2021-10-24,3.4,قبول,حجمی,رقابت قیمتی,13
C_245948,2021-08-24,1.8,قبول,مدت,تسویه سریع,11
C_692721,2022-01-04,2.4,رد,قیمتی,آزمون محصول,29
C_317124,2021-09-15,4.9,قبول,حجمی,تسویه سریع,15
C_769491,2020-10-28,5.4,رد,قیمتی,معرفی محصول جدید,7
C_022240,2021-09-03,3.9,درحال مذاکره,قیمتی,افزایش حجم سفارش,5
C_683666,2021-08-20,4.4,منقضی,مدت,حفظ مشتری کلیدی,23
C_117580,2020-09-21,6.3,درحال مذاکره,مدت,افزایش سهم از سبد,7
C_155990,2021-05-10,6.8,رد,حجمی,معرفی محصول جدید,25
C_419410,2021-10-02,4.3,درحال مذاکره,قیمتی,افزایش حجم سفارش,15
C_951507,2021-11-27,3.8,قبول,قیمتی,آزمون محصول,23
C_762928,2021-09-02,5.4,قبول,قیمتی,حفظ مشتری کلیدی,25
C_593639,2020-04-16,4.8,منقضی,مدت,افزایش سهم از سبد,7
C_317124,2021-05-19,2.3,قبول,حجمی,حفظ مشتری کلیدی,21
C_746892,2020-01-03,1.8,منقضی,مدت,رقابت قیمتی,29
C_806376,2020-12-07,3.3,منقضی,حجمی,معرفی محصول جدید,5
C_773326,2021-03-08,2.8,رد,مدت,معرفی محصول جدید,13
C_762928,2021-04-11,7.8,منقضی,حجمی,حفظ مشتری کلیدی,27
C_063926,2020-03-17,7.3,رد,مدت,حفظ مشتری کلیدی,9
C_984759,2020-06-02,5.3,منقضی,مدت,تسویه سریع,9
C_672706,2020-06-16,5.8,درحال مذاکره,حجمی,معرفی محصول جدید,27
C_806376,2020-11-22,6.3,رد,حجمی,افزایش سهم از سبد,19
