Quality_Record_ID,Sales_Line_ID,Lot_ID,Hembaft_ID,Hembaft_Lot_Key,Product_ID,Production_Date,Measured_At,Available_At,Tensile_Strength_cN_dtex,Elongation_Pct,Evenness_CV_Pct,Oil_Pickup_Pct,Sample_Count,Lab_Result,Source_System
QLT-00000001,SL-00000003,LOT-202008-612045,,,P_RARE_Product_Family_02,2020-07-23,2020-07-23,2020-07-23,2.99,23.8%,1.1%,0.6%,10,قبول,QMS_LAB
QLT-00000002,SL-00000006,LOT-202003-279955,,,P_RARE_Product_Family_03,2020-02-15,2020-02-17,2020-02-17,4.12,32.8%,1.1%,1.1%,5,قبول,QMS_LAB
QLT-00000003,SL-00000007,LOT-202105-420960,,,P_253702,2021-04-18,2021-04-19,2021-04-20,3.89,34.4%,2.3%,1.1%,6,قبول,QMS_LAB
QLT-00000004,SL-00000009,LOT-202010-961894,,,P_645213,2020-10-09,2020-10-10,2020-10-12,3.04,24.7%,1.1%,0.7%,8,قبول,QMS_LAB
QLT-00000005,SL-00000012,LOT-202112-851079,,,P_310017,2021-11-27,2021-11-28,2021-11-30,4.12,29.0%,2.4%,0.6%,3,قبول,QMS_LAB
QLT-00000006,SL-00000017,LOT-202002-351287,,,P_864389,2020-02-03,2020-02-03,2020-02-04,3.04,21.0%,2.4%,1.1%,6,قبول,QMS_LAB
QLT-00000007,SL-00000018,LOT-202105-878033,,,P_989994,2021-05-16,2021-05-17,2021-05-17,3.26,19.4%,1.1%,1.1%,5,قبول,QMS_LAB
QLT-00000008,SL-00000022,LOT-202007-256919,,,P_082250,2020-07-11,2020-07-13,2020-07-15,4.69,24.8%,1.1%,0.4%,9,قبول,QMS_LAB
QLT-00000009,SL-00000027,LOT-202202-268336,,,P_RARE_Product_Family_04,2022-02-03,2022-02-03,2022-02-05,3.57,32.8%,1.1%,0.8%,6,قبول,QMS_LAB
QLT-00000010,SL-00000028,LOT-202006-312862,,,P_RARE_Product_Family_04,2020-06-23,2020-06-24,2020-06-26,4.65,23.9%,1.1%,1.2%,3,قبول,QMS_LAB
QLT-00000011,SL-00000029,LOT-202006-740170,,,P_RARE_Product_Family_02,2020-06-10,2020-06-10,2020-06-11,4.43,25.5%,2.4%,1.2%,4,قبول,QMS_LAB
QLT-00000012,SL-00000033,LOT-202011-996387,,,P_656451,2020-10-29,2020-10-31,2020-10-31,3.92,27.9%,2.1%,0.5%,10,قبول,QMS_LAB
QLT-00000013,SL-00000034,LOT-202008-627561,,,P_RARE_Product_Family_05,2020-07-25,2020-07-26,2020-07-28,2.84,19.9%,2.1%,1.0%,5,قبول,QMS_LAB
QLT-00000014,SL-00000035,LOT-202012-446611,,,P_RARE_Product_Family_03,2020-12-18,2020-12-20,2020-12-21,3.06,18.2%,2.4%,0.9%,4,قبول,QMS_LAB
QLT-00000015,SL-00000042,LOT-202008-555422,,,P_593409,2020-08-14,2020-08-16,2020-08-18,3.48,19.8%,1.6%,0.7%,9,قبول,QMS_LAB
QLT-00000016,SL-00000047,LOT-202109-266853,,,P_RARE_Product_Family_01,2021-09-01,2021-09-01,2021-09-01,4.56,27.8%,1.6%,1.1%,6,قبول,QMS_LAB
QLT-00000017,SL-00000048,LOT-202110-527941,,,P_450677,2021-10-21,2021-10-23,2021-10-24,4.34,29.4%,1.3%,1.2%,7,قبول,QMS_LAB
QLT-00000018,SL-00000053,LOT-202004-626551,,,P_011998,2020-04-12,2020-04-12,2020-04-13,4.60,25.0%,1.3%,0.8%,10,قبول,QMS_LAB
QLT-00000019,SL-00000056,LOT-202012-694932,,,P_573948,2020-12-11,2020-12-12,2020-12-13,3.48,33.0%,1.3%,1.2%,7,قبول,QMS_LAB
QLT-00000020,SL-00000057,LOT-202201-484916,,,P_462985,2022-01-06,2022-01-08,2022-01-08,3.71,31.4%,1.7%,1.1%,6,قبول,QMS_LAB
QLT-00000021,SL-00000059,LOT-202007-526997,,,P_RARE_Product_Family_03,2020-06-20,2020-06-22,2020-06-24,4.56,24.1%,1.3%,0.7%,4,قبول,QMS_LAB
QLT-00000022,SL-00000061,LOT-202011-953959,,,P_RARE_Product_Family_03,2020-11-08,2020-11-09,2020-11-11,3.71,27.6%,1.4%,0.7%,4,قبول,QMS_LAB
