Product_ID,شرح کالا,Quality_Class_ID,دسته بندی براقیت,گروه کالا,گروه رنگ,زیرگروه کالا,Source_System
P_003511,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_003764,Product_Family_01 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_01,Luster_Class_01,Product_Family_01,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_003843,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_006453,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_011998,Product_Family_04 / Denier_GENERALIZED / Luster_GENERALIZED / Color_GENERALIZED,Quality_Class_GENERALIZED,Luster_GENERALIZED,Product_Family_04,Color_GENERALIZED,Denier_GENERALIZED,ERP_MASTER
P_016117,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_03,Luster_Class_01,Product_Family_04,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_016182,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_01,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_019263,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_03,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_023448,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_03,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_024612,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_03,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_026771,Product_Family_01 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_08,Luster_Class_01,Product_Family_01,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
