Collection_ID,Customer_ID,شماره فاکتور,تاریخ فاکتور,تاریخ سررسید,تاریخ رویداد وصول,Available_At,مبلغ وصول,روز تأخیر,چک برگشتی,Source_System
COL-00000001,C_703200,T_000002,2022-04-25,2022-04-25,2022-05-28,2022-05-29,"1,040,336.33",33,خیر,ERP_COLLECTIONS
COL-00000002,C_749821,T_000027,2022-01-10,2022-01-10,2022-02-15,2022-02-15,"152,045.79",36,خیر,ERP_COLLECTIONS
COL-00000003,C_310107,T_000209,2020-09-14,2020-09-14,2020-10-13,2020-10-15,"196,062.54",29,خیر,ERP_COLLECTIONS
COL-00000004,C_986633,T_000313,2020-08-24,2020-09-23,2020-09-24,2020-09-24,"10,852.19",1,خیر,ERP_COLLECTIONS
COL-00000005,C_986633,T_000313,2020-08-24,2020-09-23,2020-09-28,2020-09-29,"10,852.18",5,خیر,ERP_COLLECTIONS
COL-00000006,C_806376,T_000434,2021-07-26,2021-08-25,2021-09-26,2021-09-27,"102,150.93",32,خیر,ERP_COLLECTIONS
COL-00000007,C_806376,T_000461,2021-03-15,2021-03-15,2021-03-15,2021-03-15,"44,961.07",0,خیر,ERP_COLLECTIONS
COL-00000008,C_806376,T_000461,2021-03-15,2021-03-15,2021-03-18,2021-03-19,"44,961.07",3,خیر,ERP_COLLECTIONS
COL-00000009,C_117580,T_000470,2020-07-06,2020-07-06,2020-08-23,2020-08-24,"62,994.15",48,خیر,ERP_COLLECTIONS
COL-00000010,C_672256,T_000518,2021-11-22,2021-11-22,2021-12-25,2021-12-25,"977,897.28",33,خیر,ERP_COLLECTIONS
COL-00000011,C_603968,T_000655,2020-11-16,2021-02-14,2021-02-23,2021-02-23,"21,578.66",9,خیر,ERP_COLLECTIONS
COL-00000012,C_117580,T_000776,2020-03-23,2020-03-23,2020-04-20,2020-04-22,"61,933.07",28,خیر,ERP_COLLECTIONS
