Offer_ID,Customer_ID,Offer_Date,Available_At,Product_ID,گروه کالا,Base_Price_per_unit,Offered_Price_per_unit,Offer_Discount_Pct,Offer_Type,Validity_Days,Offer_Reason,Result,Decision_At,Decision_Available_At,Source_System
OFF-0000001,C_746892,2021-11-30,2021-12-02,P_310017,Product_Family_05,490.08,450.38,8.1%,قیمتی,29,تسویه سریع,رد,2021-12-13,2021-12-15,CRM_OFFERS
OFF-0000002,C_317124,2022-03-25,2022-03-27,P_787964,Product_Family_03,681.78,667.39,2.1%,حجمی,5,رقابت قیمتی,درحال مذاکره,,,CRM_OFFERS
OFF-0000003,C_683666,2020-08-02,2020-08-02,P_RARE_Product_Family_03,Product_Family_03,119.57,117.64,1.6%,قیمتی,13,تسویه سریع,قبول,2020-08-24,2020-08-24,CRM_OFFERS
OFF-0000004,C_749821,2021-12-09,2021-12-11,P_476864,Product_Family_05,339.43,317.10,6.6%,قیمتی,27,معرفی محصول جدید,رد,2022-01-08,2022-01-10,CRM_OFFERS
OFF-0000005,C_317124,2021-06-26,2021-06-26,P_RARE_Product_Family_03,Product_Family_03,99.20,93.18,6.1%,مدت,9,افزایش سهم از سبد,قبول,2021-07-22,2021-07-22,CRM_OFFERS
OFF-0000006,C_180817,2021-11-09,2021-11-09,P_RARE_Product_Family_04,Product_Family_04,307.22,283.90,7.6%,حجمی,11,افزایش سهم از سبد,قبول,2021-11-18,2021-11-18,CRM_OFFERS
OFF-0000007,C_472366,2021-11-04,2021-11-05,P_593409,Product_Family_02,382.84,355.73,7.1%,مدت,19,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000008,C_932446,2020-01-06,2020-01-06,P_RARE_Product_Family_03,Product_Family_03,100.37,95.80,4.6%,مدت,7,آزمون محصول,درحال مذاکره,,,CRM_OFFERS
OFF-0000009,C_683666,2021-07-07,2021-07-08,P_RARE_Product_Family_03,Product_Family_03,216.84,208.06,4.1%,حجمی,15,افزایش حجم سفارش,منقضی,2021-07-15,2021-07-16,CRM_OFFERS
OFF-0000010,C_705572,2021-08-06,2021-08-08,P_105041,Product_Family_04,179.06,170.82,4.6%,حجمی,12,معرفی محصول جدید,رد,2021-09-03,2021-09-05,CRM_OFFERS
OFF-0000011,C_848211,2020-04-22,2020-04-23,P_RARE_Product_Family_03,Product_Family_03,95.15,90.29,5.1%,مدت,30,افزایش سهم از سبد,منقضی,2020-04-24,2020-04-25,CRM_OFFERS
OFF-0000012,C_937594,2020-12-27,2020-12-28,P_672380,Product_Family_05,178.65,172.24,3.6%,مدت,28,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000013,C_258325,2020-05-08,2020-05-08,P_572494,Product_Family_01,78.40,75.19,4.1%,مدت,20,افزایش حجم سفارش,قبول,2020-05-31,2020-05-31,CRM_OFFERS
OFF-0000014,C_519849,2020-10-05,2020-10-06,P_138220,Product_Family_03,56.02,52.31,6.6%,قیمتی,6,حفظ مشتری کلیدی,منقضی,2020-10-20,2020-10-21,CRM_OFFERS
OFF-0000015,C_954731,2021-03-13,2021-03-13,P_404680,Product_Family_04,55.99,52,7.1%,مدت,24,معرفی محصول جدید,قبول,2021-04-02,2021-04-02,CRM_OFFERS
OFF-0000016,C_746892,2021-01-06,2021-01-06,P_989994,Product_Family_03,135.44,127.84,5.6%,مدت,22,آزمون محصول,قبول,2021-01-13,2021-01-13,CRM_OFFERS
OFF-0000017,C_838088,2021-12-06,2021-12-08,P_RARE_Product_Family_01,Product_Family_01,440.83,413.85,6.1%,قیمتی,14,تسویه سریع,درحال مذاکره,,,CRM_OFFERS
OFF-0000018,C_683666,2020-07-18,2020-07-19,P_RARE_Product_Family_03,Product_Family_03,95.22,87.55,8.1%,حجمی,24,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000019,C_282979,2020-09-26,2020-09-26,P_RARE_Product_Family_04,Product_Family_04,66.96,66.25,1.1%,مدت,16,تسویه سریع,قبول,2020-10-23,2020-10-23,CRM_OFFERS
OFF-0000020,C_076411,2021-03-06,2021-03-06,P_769459,Product_Family_02,189.37,183.46,3.1%,مدت,18,تسویه سریع,درحال مذاکره,,,CRM_OFFERS
OFF-0000021,C_683666,2021-12-13,2021-12-14,P_569454,Product_Family_03,448.20,436.50,2.6%,قیمتی,26,معرفی محصول جدید,رد,2021-12-28,2021-12-29,CRM_OFFERS
OFF-0000022,C_727451,2021-01-25,2021-01-27,P_RARE_Product_Family_05,Product_Family_05,219.29,214.68,2.1%,مدت,8,تسویه سریع,قبول,2021-02-05,2021-02-07,CRM_OFFERS
OFF-0000023,C_317124,2021-02-17,2021-02-17,P_RARE_Product_Family_03,Product_Family_03,88.45,87.03,1.6%,حجمی,16,رقابت قیمتی,منقضی,2021-02-23,2021-02-23,CRM_OFFERS
OFF-0000024,C_113139,2020-07-01,2020-07-02,P_528372,Product_Family_01,78.36,77.51,1.1%,حجمی,24,آزمون محصول,رد,2020-07-03,2020-07-04,CRM_OFFERS
OFF-0000025,C_361181,2020-12-11,2020-12-13,P_RARE_Product_Family_05,Product_Family_05,209.93,192.95,8.1%,حجمی,6,رقابت قیمتی,درحال مذاکره,,,CRM_OFFERS
OFF-0000026,C_444616,2022-05-20,2022-05-20,P_434331,Product_Family_04,591.87,547.01,7.6%,قیمتی,14,حفظ مشتری کلیدی,منقضی,2022-06-12,2022-06-12,CRM_OFFERS
OFF-0000027,C_051535,2020-08-16,2020-08-17,P_434331,Product_Family_04,68.68,63.82,7.1%,حجمی,22,معرفی محصول جدید,رد,2020-09-04,2020-09-05,CRM_OFFERS
OFF-0000028,C_892680,2022-04-29,2022-04-30,P_219757,Product_Family_05,"1,251.38","1,161.78",7.2%,قیمتی,6,معرفی محصول جدید,رد,2022-05-24,2022-05-25,CRM_OFFERS
OFF-0000029,C_401016,2020-05-31,2020-06-02,P_RARE_Product_Family_04,Product_Family_04,95.90,89.51,6.7%,مدت,14,حفظ مشتری کلیدی,قبول,2020-06-20,2020-06-22,CRM_OFFERS
OFF-0000030,C_899372,2021-05-13,2021-05-14,P_460131,Product_Family_02,168.29,157.17,6.6%,حجمی,10,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000031,C_806376,2021-09-14,2021-09-14,P_RARE_Product_Family_02,Product_Family_02,184.07,170.96,7.1%,حجمی,28,آزمون محصول,درحال مذاکره,,,CRM_OFFERS
OFF-0000032,C_258325,2021-10-12,2021-10-14,P_676495,Product_Family_03,273.41,252.55,7.6%,مدت,20,تسویه سریع,رد,2021-10-20,2021-10-22,CRM_OFFERS
OFF-0000033,C_439356,2021-01-10,2021-01-11,P_388809,Product_Family_03,124.10,114.01,8.1%,حجمی,12,تسویه سریع,منقضی,2021-01-23,2021-01-24,CRM_OFFERS
OFF-0000034,C_705572,2021-09-06,2021-09-08,P_978590,Product_Family_04,274.12,261.54,4.6%,حجمی,16,افزایش حجم سفارش,رد,2021-09-18,2021-09-20,CRM_OFFERS
