Complaint_ID,Sales_Line_ID,شماره فاکتور,Customer_ID,Product_ID,Hembaft_ID,Lot_ID,Hembaft_Lot_Key,Purchase_Date,مقدار,مقدار برگشتی,Complaint_Result,Link_Available_At
CMP-0001,SL-CMP-000001,INV-000001,CUST-003,PRD-POY-001,"1,173,910,000",LOT-CMP-6662179967,HL-10FE7709AAB46FEE,2025-03-25,"4,090.00",380.00,پذیرفته,2025-04-16
CMP-0002,SL-CMP-000002,INV-000002,CUST-010,PRD-POY-006,"1,176,610,000",LOT-CMP-0705862803,HL-ECD75E7985A4AA9E,2025-04-07,"4,510.00",0.00,پذیرفته,2025-04-21
CMP-0003,SL-CMP-000003,INV-000003,CUST-019,PRD-POY-002,"1,181,410,000",LOT-CMP-4186696530,HL-B5F1A9508AA39B27,2025-04-08,"4,730.00",0.00,ردشده,2025-05-06
CMP-0004,SL-CMP-000004,INV-000004,CUST-010,PRD-POY-003,"1,183,910,000",LOT-CMP-6239883785,HL-C26783E10FFCB64C,2025-04-13,"1,180.00",0.00,پذیرفته,2025-05-12
CMP-0005,SL-CMP-000005,INV-000005,CUST-010,PRD-POY-002,"1,183,910,000",LOT-CMP-2009338338,HL-7ADC1EDA2864F7F0,2025-05-06,"4,250.00",0.00,پذیرفته,2025-05-12
CMP-0006,SL-CMP-000006,INV-000006,CUST-015,PRD-POY-009,"1,178,710,000",LOT-CMP-3032670763,HL-F3C0237448C1AD75,2025-05-05,"3,320.00",0.00,پذیرفته,2025-05-24
CMP-0006,SL-CMP-000007,INV-000006,CUST-015,PRD-POY-009,"1,182,810,000",LOT-CMP-6152507716,HL-8EDBB25E7373D479,2025-05-05,"5,690.00",0.00,پذیرفته,2025-05-24
CMP-0006,SL-CMP-000008,INV-000006,CUST-015,PRD-POY-009,"1,188,110,000",LOT-CMP-9460336806,HL-55E0E9CBA6F31D55,2025-05-05,"2,850.00",0.00,پذیرفته,2025-05-24
CMP-0006,SL-CMP-000009,INV-000006,CUST-015,PRD-POY-009,"118,811",LOT-CMP-1850456999,HL-C39471C293DBD179,2025-05-05,"8,870.00","1,890.00",پذیرفته,2025-05-24
CMP-0007,SL-CMP-000010,INV-000007,CUST-016,PRD-POY-006,"1,188,410,000",LOT-CMP-3927431619,HL-553EAE05E18A4331,2025-06-03,"2,830.00",0.00,ردشده,2025-06-09
CMP-0008,SL-CMP-000011,INV-000008,CUST-019,PRD-POY-009,"118,141",LOT-CMP-3794218403,HL-6DC80F0EA20F53A7,2025-06-13,"4,260.00",0.00,ردشده,2025-06-29
CMP-0008,SL-CMP-000012,INV-000008,CUST-019,PRD-POY-009,"118,351",LOT-CMP-1853101546,HL-B58843E25339CFE6,2025-06-13,"3,940.00",0.00,ردشده,2025-06-29
CMP-0008,SL-CMP-000013,INV-000008,CUST-019,PRD-POY-009,"118,941",LOT-CMP-0586956155,HL-052FE81BCEC5AB12,2025-06-13,"8,180.00",0.00,ردشده,2025-06-29
CMP-0009,SL-CMP-000014,INV-000009,CUST-012,PRD-POY-012,"1,076,300,000",LOT-CMP-9751615712,HL-2210590CE8F19682,2025-06-17,"7,240.00",620.00,پذیرفته,2025-07-15
CMP-0009,SL-CMP-000015,INV-000009,CUST-012,PRD-POY-012,"1,199,800,000",LOT-CMP-7547280641,HL-7A31FF82E1BA7577,2025-06-17,"3,510.00",0.00,پذیرفته,2025-07-15
CMP-0010,SL-CMP-000016,INV-000010,CUST-019,PRD-POY-004,"1,201,210,000",LOT-CMP-0993033092,HL-83237F4C71E5B374,2025-07-08,"6,760.00",0.00,پذیرفته,2025-07-21
CMP-0011,SL-CMP-000017,INV-000011,CUST-006,PRD-POY-009,"1,202,400,000",LOT-CMP-0722756182,HL-3C1905ED79419077,2025-06-27,"6,280.00",0.00,نیازمند بررسی,2025-07-23
CMP-0012,SL-CMP-000018,INV-000012,CUST-008,PRD-POY-001,"1,200,310,000",LOT-CMP-9887922651,HL-50FE1E9D025A4FA5,2025-07-01,"4,020.00",420.00,پذیرفته,2025-07-24
CMP-0013,SL-CMP-000019,INV-000013,CUST-008,PRD-POY-004,"1,186,010,000",LOT-CMP-5667926671,HL-7FA67242FAE4A662,2025-07-13,"4,760.00",0.00,ردشده,2025-08-11
CMP-0014,SL-CMP-000020,INV-000014,CUST-020,PRD-POY-004,"1,178,210,000",LOT-CMP-0733779441,HL-0D2838C096BF4391,2025-08-03,"1,920.00",0.00,ردشده,2025-08-17
CMP-0015,SL-CMP-000021,INV-000015,CUST-015,PRD-POY-007,"1,199,710,000",LOT-CMP-5406300571,HL-1CEAD23F601BF7C1,2025-08-09,"2,530.00",240.00,پذیرفته,2025-08-31
CMP-0016,SL-CMP-000022,INV-000016,CUST-017,PRD-POY-004,"1,187,710,000",LOT-CMP-6490259061,HL-EA0FBAF68B071E51,2025-08-19,"7,870.00",0.00,پذیرفته,2025-08-31
CMP-0017,SL-CMP-000023,INV-000017,CUST-004,PRD-POY-003,"1,216,710,000",LOT-CMP-9747368174,HL-CF761DBA7AC593AF,2025-08-18,"10,070.00",0.00,نیازمند بررسی,2025-09-10
CMP-0018,SL-CMP-000024,INV-000018,CUST-011,PRD-POY-012,"1,215,810,000",LOT-CMP-6673309838,HL-401AC9AC37A4CFDD,2025-08-20,"4,910.00",0.00,پذیرفته,2025-09-14
CMP-0019,SL-CMP-000025,INV-000019,CUST-013,PRD-POY-003,"1,212,910,000",LOT-CMP-5122145518,HL-1377AA0BD643C4AD,2025-08-15,"5,770.00",0.00,پذیرفته,2025-09-16
