Complaint_ID,Customer_ID,Product_ID,گروه کالا,Complaint_Title,Complaint_Text,Hembaft_Reference,Severity,Created_At,Available_At,Complaint_Status,Resolved_At,Resolution_Available_At,Resolution_Text,Source_System
CMP-0001,CUST-003,PRD-POY-001,Product_Family_03,فیلامنت و پرز,نخ در بعضي جاها سيمي ميباشد و همچنين پرز  شديد نيز در بعضي بسته ها وجود دارد.اين مشکل تکراري ميباشد و قبلا هم وجود داشته و مشتري اعلام نموده که درصورت تکرار قطع همکاري ميکند.مشتري عکس ارسال نموده است,1173910000,کم,2025-04-15,2025-04-16,پذیرفته,2025-05-02,2025-05-03,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید با توجه به بررسی,QMS_COMPLAINTS
CMP-0002,CUST-010,PRD-POY-006,Product_Family_03,دوک دست دوم / خرابی دوک,استفاده از دوك دسته دوم و تيغ خورده درقسمت رزرو و كثيفي,1176610000,زیاد,2025-04-20,2025-04-21,پذیرفته,2025-05-08,2025-05-09,موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید طی بازدید میدانی واحد خدمات مشتریان، موضوع **«خرابی دوک» منتفی** اعلام شد و دو مورد جدید شامل **«آسیب,QMS_COMPLAINTS
CMP-0003,CUST-019,PRD-POY-002,Product_Family_03,دوک دست دوم / خرابی دوک,نخ poy كه در فروردين  ارسال شده، اشكالات زير را داشته:بوبين ها آسيب ديده هستندحالت پيچش نخ روي بوبين زاويه دار نبوده و اصطلاحا ريبوني شده(روي هم پيچيده شده) اين باعث برآمدگي بوبين در آن ناحيه شده و هنگامي كه بسته بندي شده  اين نقاط سايش روي يكديگر به وجو,1181410000,کم,2025-05-05,2025-05-06,ردشده,2025-05-17,2025-05-18,«ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید.طی بازدید مورخ ۱۴۰۴/۰۲/۱۷ از آن شرکت، بررسی,QMS_COMPLAINTS
CMP-0004,CUST-010,PRD-POY-003,Product_Family_03,آسیب دیدگی در حمل و نقل,آسيب ديدگي بار هنگام حمل و نقل و ارسال نخ,1183910000,متوسط,2025-05-11,2025-05-12,پذیرفته,2025-06-05,2025-06-06,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید.پیرو بازدید انجام,QMS_COMPLAINTS
CMP-0005,CUST-010,PRD-POY-002,Product_Family_03,باز شدن لای نخ,جدا بودن لاي نخ,1183910000,کم,2025-05-11,2025-05-12,پذیرفته,2025-05-21,2025-05-22,در مورخ 22/02/1404 در اتوماسيون نامه اي به شماره 8709/04 ثبت شده است . و موضوع جهت رفع مشکل براي سرپرست سالن POY تشريح شد.(اصلاح فشار بادجت در تولیدات بعدی),QMS_COMPLAINTS
CMP-0006,CUST-015,PRD-POY-009,Product_Family_03,دوک دست دوم / خرابی دوک,در همبافت هاي 1178710000-1182810000-118811000سر دوک پليسه دارد و بسته بندي نخ نامناسب است-در همبافت 1182810000نخ هاي ريز به عنوان نخ AW بسته بندي شده و در همبافت 1188110000فيلامنت پارگي در بسته نخ مشاهده ميشود.(مشتري عکس ارسال نموده),1178710000-1182810000-1188110000-1182810000-118811,کم,2025-05-23,2025-05-24,پذیرفته,2025-06-09,2025-06-10,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید.با توجه به استفاده از دوک دست دوم ووجود پیلسه سر دوک ،جهت اين شرکت سر دوک درخواست شد ودر تاريخ 08/04/1404 ارسال گرديد.پس از پیگیری مجدد موضوع پس از استفاده سر دوک مرتفع گردید.,QMS_COMPLAINTS
CMP-0007,CUST-016,PRD-POY-006,Product_Family_03,فیلامنت و پرز,طبق اعلام مشتري اين پارت ارسال شده نخ فيلامنت پارگي و پليسه دار بودن دوک.,1188410000,کم,2025-06-08,2025-06-09,ردشده,2025-06-17,2025-06-18,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید .پیرو بازدید انجام,QMS_COMPLAINTS
CMP-0008,CUST-019,PRD-POY-009,Product_Family_03,نامناسب بودن زير دست پتو,در همبافت 116811 زير دست مناسب است ولي در همبافتهاي 118141و118351 زير دست مناسب نيست. همچنين مشتري افزابش رنج دنير را نيز درخواست نموده است,118141-118351-118941,زیاد,2025-06-28,2025-06-29,ردشده,2025-07-10,2025-07-11,"در بازدید حضوری موضوع بررسی گردید ، مشکل زیر دست پتو به فرآیند تکسچرایزینگ و تکمیل پتو مربوط  می باشد ،لذا موارد دیگر که مربوط موضوعات کیفی نخ POY بود دریافت گردید و جلسه ای با حضور فرد مربوطه  سرپرست سالن صورت پذیرفت .
زير دست نا مناسب پتو مربوط به فرايند تکميل شرکت مقصد بوده و بنابر اين شکايت وارد نميباشد",QMS_COMPLAINTS
CMP-0009,CUST-012,PRD-POY-012,Product_Family_03,بازشدن نخ درجه C,کارکرد نامناسب نخ درجات,1076300000-1199800000,زیاد,2025-07-14,2025-07-15,پذیرفته,2025-08-07,2025-08-08,در تاريخ 24/4/1404 از اين شرکت بازديد شد و مشاوره جهت تغییر ستينگ تولیدی به اين شرکت داده شد سه نمونه نخ کشي شد که  مشکل مرتفع گردید.,QMS_COMPLAINTS
CMP-0010,CUST-019,PRD-POY-004,Product_Family_03,آسیب دیدگی در حمل و نقل,طبق اعلام مشتري يک پالت از بار ارسال شده در محل مشتري قبل از تخليه، داراي دفرمگي و آسيب ديدگي بوده است  از مشتري عکس دريافت شده,1201210000,متوسط,2025-07-20,2025-07-21,پذیرفته,2025-08-01,2025-08-02,.ابتدا موضوع از داخل سازمان بررسی شد و نظرات واحدهای مرتبط دریافت گردید.در بررسی تصاویر دریافتی زمان بارگیری عیب وجود داشت که جهت واحد انبار و بسته بندي در جلسه کام فرايندي اقدام اصلاحي صادر گرديد و مقرر شد قبل از ارسال پالت کاملا بازبینی و در صورت وجود هر گونه مشکل به واحد بسته بندی مرجوع و پس از رفع عیب ارسال گردد.,QMS_COMPLAINTS
