customer_id,snapshot_date,recency_days,tenure_days,relationship_days,freq_90d,freq_180d,freq_365d,freq_trend,monetary_90d,monetary_365d,avg_txn_size,gap_mean_days,gap_std_days,avg_delay_days,max_delay_days,delay_trend,on_time_ratio,bounced_check_rate,bounced_check_count,days_since_last_bounce,collection_completeness,crm_collection_pressure,credit_limit,payment_terms_days,wallet_share,wallet_share_trend,competitor_diversity,nunique_product_365d,nunique_group_365d,dev_request_count,dev_approved_ratio,dev_rejected_ratio,crm_sample_requests,cash_ratio_365d,cash_ratio_trend,avg_margin_pct,return_rate,complaint_count_365d,critical_complaint_count,unresolved_complaints,crm_quality_issues,crm_interaction_count,segment_A,segment_B,has_collection_history,has_wallet_data,has_margin_data,segment,status,location_id,sales_rep_id
C_980957,2022-03-01,8,148,148,1,2,2,0,2342400.97,2344083.61,334869.08714285714,140.0,,43.5,55.0,0.0,0.0,0.0,0,9999,1.0,0,3514000.0,30,0.5700001284956162,0.0385691578429281,3,6,1,1,1.0,0.0,0,0.1428571428571428,-1.0,0.0365283973165676,0.0,0,0,0,0,1,0,1,1,1,1,B,فعال,LOC-002,REP-005
C_218295,2022-03-01,15,477,477,1,4,6,-2,437309.08,741046.81,61753.90083333334,77.0,38.08411742445925,26.77777777777778,44.0,20.666666666666664,0.0,0.0,0,9999,1.1437167511725743,0,656000.0,0,0.300000571582082,0.0214286326695087,2,9,1,0,0.0,0.0,0,1.0,0.0,0.1122452074201501,0.0,0,0,0,0,1,0,0,1,1,1,C,فعال,LOC-012,REP-008
C_010119,2022-03-01,561,736,736,0,0,0,0,0.0,0.0,0.0,58.333333333333336,70.81195755896974,19.33333333333333,36.0,0.0,0.1666666666666666,0.0,0,9999,,0,43000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,C,غیرفعال,LOC-001,REP-003
C_322699,2022-03-01,568,568,568,0,0,0,0,0.0,0.0,0.0,,,10.5,11.0,0.0,0.0,0.0,0,9999,,0,5000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,C,غیرفعال,LOC-004,REP-006
C_297913,2022-03-01,120,785,785,0,3,6,-3,0.0,66138.98999999999,6012.635454545453,60.45454545454545,46.35593518928,27.166666666666668,54.0,-1.0,0.0,0.0,0,9999,0.9044572649204352,0,41000.0,0,0.0,-0.084643644232583,2,7,3,0,0.0,0.0,1,1.0,0.0,0.0672998315963675,0.0,0,0,0,1,2,0,1,1,1,1,B,فعال,LOC-012,REP-008
C_841232,2022-03-01,491,638,638,0,0,0,0,0.0,0.0,0.0,147.0,,23.5,38.0,0.0,0.0,0.0,0,9999,,0,753000.0,30,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-016,REP-008
C_730174,2022-03-01,330,330,330,0,0,1,0,0.0,32400.3,8100.075,,,4.0,4.0,0.0,0.0,0.0,0,9999,1.0,1,49000.0,0,0.0,0.0,3,1,1,0,0.0,0.0,1,1.0,0.0,-0.0312356453835553,0.0,0,0,0,0,5,0,1,1,1,1,B,غیرفعال,LOC-007,REP-002
C_181387,2022-03-01,484,484,484,0,0,0,0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0,9999,,0,34000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,C,فعال,LOC-009,REP-004
C_021985,2022-03-01,78,400,400,2,3,12,1,10662.98,42031.19,3002.2278571428574,26.83333333333333,23.65983682927418,29.105263157894736,51.0,3.3000000000000007,0.1578947368421052,0.0,0,9999,1.3985366581341143,0,28000.0,0,0.0,-0.0532110836409093,3,4,2,1,0.0,0.0,0,1.0,0.0,0.0907411450574712,0.0,0,0,0,1,6,0,1,1,1,1,B,فعال,LOC-004,REP-003
C_886577,2022-03-01,43,43,43,1,1,1,1,369991.32,369991.32,73998.264,,,13.0,13.0,0.0,0.0,0.0,0,9999,1.0,0,555000.0,0,0.0,0.046428420875137,2,5,3,0,0.0,0.0,0,1.0,0.0,0.1029986126688651,0.0,0,0,0,0,3,0,1,1,1,1,B,فعال,LOC-004,REP-006
C_101421,2022-03-01,204,729,729,0,0,2,0,0.0,37087.37,12362.456666666669,175.0,176.6720124977355,20.75,28.0,2.5,0.0,0.0,0,9999,2.5675813626040345,0,86000.0,0,0.0,-0.0568142511241784,2,2,2,0,0.0,0.0,0,1.0,0.0,0.1477213503966644,0.0,0,0,0,1,5,0,0,1,1,1,C,غیرفعال,LOC-011,REP-003
C_662380,2022-03-01,540,687,687,0,0,0,0,0.0,0.0,0.0,147.0,,31.0,39.0,0.0,0.0,0.0,0,9999,,0,83000.0,0,0.0,0.0,2,0,0,1,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-013,REP-004
C_832816,2022-03-01,302,302,302,0,0,2,0,0.0,289589.28,144794.64,,,24.33333333333333,39.0,0.0,0.0,0.0,0,9999,1.0,1,219000.0,0,0.0,0.0,2,1,1,0,0.0,0.0,0,1.0,0.0,0.0645448145540775,0.0,0,0,0,0,5,1,0,1,1,1,A,غیرفعال,LOC-006,REP-002
C_257237,2022-03-01,225,225,225,0,0,1,0,0.0,3870.7,3870.7,,,0.0,0.0,0.0,1.0,0.0,0,9999,1.0,0,6000.0,0,0.0,0.0,2,1,1,0,0.0,0.0,0,1.0,0.0,,0.0,0,0,0,1,6,1,0,1,1,0,A,غیرفعال,LOC-007,REP-005
C_797326,2022-03-01,687,736,736,0,0,0,0,0.0,0.0,0.0,24.5,4.949747468305833,14.0,46.0,0.0,0.0,0.0,0,9999,,0,6000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-001,REP-003
C_316786,2022-03-01,197,449,449,0,0,11,0,0.0,4826376.49,438761.4990909091,31.5,31.080540535840107,24.444444444444443,41.0,18.5,0.0,0.0,0,9999,0.8486097693551462,1,1585000.0,0,0.0,-0.0589285633575585,3,1,1,0,0.0,0.0,0,1.0,0.0,0.0855531841335447,0.0,0,0,0,1,5,1,0,1,1,1,A,غیرفعال,LOC-012,REP-005
C_249009,2022-03-01,498,589,589,0,0,0,0,0.0,0.0,0.0,18.2,9.391485505499116,14.2,38.0,0.0,0.2,0.0,0,9999,,0,120000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-009,REP-006
C_365405,2022-03-01,36,113,113,1,4,4,-2,950112.54,6813800.44,425862.5275,38.5,44.54772721475249,29.75,54.0,0.0,0.0,0.0,0,9999,0.8605605567162752,2,6759000.0,30,0.0,0.0485715358537527,2,1,1,0,0.0,0.0,0,1.0,0.0,0.1022769756635986,0.0,0,0,0,0,4,0,0,1,1,1,C,فعال,LOC-005,REP-008
C_969707,2022-03-01,428,771,771,0,0,0,0,0.0,0.0,0.0,21.4375,21.759193459317373,25.5,45.0,0.0,0.1111111111111111,0.0,0,9999,,0,1337000.0,30,0.0,0.0,2,0,0,2,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-016,REP-003
C_471976,2022-03-01,204,211,211,0,0,2,0,0.0,60315.57,15078.8925,7.0,,3.0,6.0,0.0,0.5,0.0,0,9999,1.0000000000000002,0,62000.0,0,0.0,-0.0396428409515318,4,2,2,0,0.0,0.0,0,1.0,0.0,0.1295358084001413,0.0,0,0,0,1,5,0,0,1,1,1,C,غیرفعال,LOC-002,REP-004
C_476658,2022-03-01,8,176,176,1,3,3,-1,1450540.97,1856906.09,232113.26125,84.0,59.39696961966999,17.0,26.0,0.0,0.0,0.0,0,9999,0.934633016363256,2,2176000.0,0,0.5499999999999999,0.0157143433726082,3,7,1,0,0.0,0.0,0,1.0,0.0,-0.0062689935495007,0.0,0,0,0,0,5,0,1,1,1,1,B,فعال,LOC-009,REP-008
C_183105,2022-03-01,36,540,540,2,3,5,1,955380.9,1843014.07,108412.59235294118,126.0,65.91408549518583,31.666666666666668,48.0,-13.6,0.1666666666666666,0.0,0,9999,0.8989038537291253,0,1353000.0,45,0.0,-0.0392857704513967,2,2,2,0,0.0,0.0,0,0.5882352941176471,-1.0,0.0361629537070457,0.0,0,0,0,0,4,0,1,1,1,1,B,فعال,LOC-001,REP-008
C_687039,2022-03-01,743,743,743,0,0,0,0,0.0,0.0,0.0,,,35.0,35.0,0.0,0.0,0.0,0,9999,,0,542000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-003,REP-003
C_244106,2022-03-01,554,680,680,0,0,0,0,0.0,0.0,0.0,31.5,35.46359635833155,33.0,47.0,0.0,0.0,0.0,0,9999,,0,140000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-005,REP-001
C_945055,2022-03-01,197,449,449,0,0,5,0,0.0,4665611.8100000005,933122.362,36.0,11.73314393786536,23.22222222222222,49.0,-6.166666666666664,0.1111111111111111,0.0,0,9999,1.4796624325245782,1,1722000.0,0,0.0,-0.0460714419891381,3,1,1,0,0.0,0.0,0,1.0,0.0,0.0199589878077128,0.0,0,0,0,0,4,0,0,1,1,1,C,غیرفعال,LOC-001,REP-004
C_579810,2022-03-01,85,729,729,1,4,4,-2,5450.3,17674.9,3534.9800000000005,107.33333333333331,134.84163550872063,19.25,39.0,-1.5,0.125,0.0,0,9999,1.460450129845147,0,9000.0,0,0.0,-0.0542825492313377,3,5,2,0,0.0,0.0,2,1.0,0.0,-0.0030466369814859,0.0,0,0,0,2,6,0,0,1,1,1,C,غیرفعال,LOC-008,REP-003
C_468898,2022-03-01,148,799,799,0,1,10,-1,0.0,239227.66,18402.12769230769,65.1,94.26493397747532,24.47058823529412,49.0,4.069444444444443,0.1176470588235294,0.0,0,9999,0.8772989711975613,0,121000.0,0,0.0,-0.0696334578435563,2,5,2,1,0.0,1.0,0,1.0,0.0,0.0654943392561429,0.0,1,1,0,0,3,0,1,1,1,1,B,فعال,LOC-013,REP-007
C_983306,2022-03-01,596,729,729,0,0,0,0,0.0,0.0,0.0,33.25,52.5,25.0,48.0,0.0,0.0909090909090909,0.0,0,9999,,0,828000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-012,REP-004
C_233724,2022-03-01,785,785,785,0,0,0,0,0.0,0.0,0.0,,,23.0,23.0,0.0,0.0,0.0,0,9999,,0,406000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-005,REP-003
C_980766,2022-03-01,463,463,463,0,0,0,0,0.0,0.0,0.0,,,10.0,13.0,0.0,0.0,0.0,0,9999,,0,789000.0,30,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-014,REP-008
C_763443,2022-03-01,169,568,568,0,2,4,-2,0.0,9676.84,2419.21,57.0,53.83307533477908,27.46153846153846,54.0,1.6190476190476168,0.1538461538461538,0.0,0,9999,2.876349097432633,0,10000.0,0,0.0,-0.0392874077084603,3,3,2,0,0.0,0.0,0,1.0,0.0,0.1004582668245714,0.0,0,0,0,0,1,1,0,1,1,1,A,غیرفعال,LOC-004,REP-004
C_933611,2022-03-01,218,575,575,0,0,2,0,0.0,46879.35,3606.103846153846,119.0,82.52878285786117,9.8,22.0,13.666666666666668,0.2,0.0,0,9999,1.0655284256287685,0,50000.0,0,0.0,0.0,4,4,2,0,0.0,0.0,1,1.0,0.0,0.0855755198832542,0.0,0,0,0,0,4,0,0,1,1,1,C,غیرفعال,LOC-004,REP-008
C_914687,2022-03-01,1,512,512,2,4,9,0,270678.27,1174873.52,83919.53714285714,46.45454545454545,48.52497014190453,19.9375,44.0,-17.126984126984127,0.125,0.0,0,9999,1.4707716622977425,0,366000.0,30,0.75,-0.0096428645678259,3,4,1,0,0.0,0.0,0,0.5,1.0,0.1278618022381698,0.0005619424477276,0,0,0,0,5,0,1,1,1,1,B,فعال,LOC-010,REP-003
C_703200,2022-03-01,78,344,344,1,9,14,-7,362079.02,3818996.47,141444.3137037037,29.55555555555556,27.73135008934433,17.866666666666667,46.0,0.0,0.0666666666666666,0.0,0,9999,0.9414701710892128,0,2477000.0,0,0.0,-0.0342856755422882,2,6,1,0,0.0,0.0,0,1.0,0.0,0.0641640504629175,0.0,0,0,0,0,5,0,1,1,1,1,B,فعال,LOC-001,REP-001
C_473635,2022-03-01,512,512,512,0,0,0,0,0.0,0.0,0.0,,,33.0,33.0,0.0,0.0,0.0,0,9999,,0,5000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-008,REP-005
C_691158,2022-03-01,484,764,764,0,0,0,0,0.0,0.0,0.0,93.33333333333331,65.041012702243,22.75,40.0,0.0,0.0,0.0,0,9999,,0,311000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,C,غیرفعال,LOC-002,REP-004
C_703801,2022-03-01,379,736,736,0,0,0,0,0.0,0.0,0.0,25.5,13.054618988046986,26.0,52.0,0.0,0.0714285714285714,0.0,0,9999,,0,1358000.0,0,0.0,0.0,2,0,0,1,0.0,1.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-005,REP-003
C_433939,2022-03-01,169,617,617,0,1,1,-1,0.0,181942.85,36388.57,112.0,174.01724052518475,24.625,50.0,24.5,0.125,0.0,0,9999,3.888430130670152,0,281000.0,0,0.0,-0.0507141862818876,3,5,1,0,0.0,0.0,2,1.0,0.0,0.1724787397979567,0.0,0,0,0,0,2,0,1,1,1,1,B,غیرفعال,LOC-011,REP-006
C_802947,2022-03-01,484,575,575,0,0,0,0,0.0,0.0,0.0,91.0,,17.666666666666668,43.0,0.0,0.0,0.0,0,9999,,0,23000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-006,REP-001
C_673190,2022-03-01,197,722,722,0,0,3,0,0.0,253963.14,21163.595,131.25,100.36724233201456,18.666666666666668,47.0,-8.000000000000002,0.1666666666666666,0.0,0,9999,1.2968480780321112,0,285000.0,0,0.0,-0.0696429086325571,2,1,1,0,0.0,0.0,0,1.0,0.0,0.0645563629264157,0.0,0,0,0,2,3,0,0,1,1,1,C,غیرفعال,LOC-016,REP-002
C_011055,2022-03-01,617,645,645,0,0,0,0,0.0,0.0,0.0,28.0,,1.0,2.0,0.0,0.5,0.0,0,9999,,0,84000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,فعال,LOC-006,REP-002
C_014775,2022-03-01,365,540,540,0,0,0,0,0.0,0.0,0.0,175.0,,8.5,17.0,0.0,0.5,0.0,0,9999,,0,789000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,1,,0.0,,0.0,0,0,0,1,4,1,0,1,1,0,A,غیرفعال,LOC-002,REP-004
C_224505,2022-03-01,225,253,253,0,0,2,0,0.0,566010.87,141502.7175,28.0,,10.0,20.0,0.0,0.5,0.0,0,9999,1.0,0,426000.0,0,0.0,0.0,3,3,1,0,0.0,0.0,0,0.5,0.0,0.0358959258569257,0.0,0,0,0,0,5,0,1,1,1,1,B,غیرفعال,LOC-008,REP-005
C_872928,2022-03-01,29,617,617,2,2,3,2,40123.12,54073.73,10814.746,117.6,109.1640966618604,24.75,46.0,-20.5,0.125,0.0,0,9999,1.0434155365276263,0,52000.0,0,0.0,0.0435717346064389,1,4,2,0,0.0,0.0,0,1.0,0.0,0.0285032533059164,0.0,0,0,0,0,2,1,0,1,1,1,A,فعال,LOC-016,REP-006
C_790639,2022-03-01,386,610,610,0,0,0,0,0.0,0.0,0.0,112.0,9.899494936611664,15.666666666666666,37.0,0.0,0.0,0.0,0,9999,,0,425000.0,0,0.0,0.0,4,0,0,0,0.0,0.0,2,,0.0,,0.0,0,0,0,0,4,1,0,1,1,0,A,غیرفعال,LOC-002,REP-004
C_459867,2022-03-01,106,288,288,0,3,5,-3,0.0,284964.24,47494.04,45.5,40.61608876623482,26.5,45.0,0.0,0.25,0.0,0,9999,0.7584052300737805,0,170000.0,0,0.0,-0.038571145012193,2,4,2,0,0.0,0.0,2,1.0,0.0,,0.0,0,0,0,1,5,0,1,1,1,0,B,غیرفعال,LOC-003,REP-003
C_906263,2022-03-01,456,463,463,0,0,0,0,0.0,0.0,0.0,7.0,,8.0,14.0,0.0,0.0,0.0,0,9999,,0,120000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-002,REP-008
C_018593,2022-03-01,687,708,708,0,0,0,0,0.0,0.0,0.0,10.5,4.949747468305833,37.0,56.0,0.0,0.0,0.0,0,9999,,0,125000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-006,REP-006
C_276942,2022-03-01,631,645,645,0,0,0,0,0.0,0.0,0.0,14.0,,20.0,40.0,0.0,0.5,0.0,0,9999,,0,2094000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,C,فعال,LOC-006,REP-006
C_793483,2022-03-01,540,701,701,0,0,0,0,0.0,0.0,0.0,53.66666666666666,44.45597072760118,27.75,46.0,0.0,0.0,0.0,0,9999,,0,9000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,C,غیرفعال,LOC-016,REP-003
C_631025,2022-03-01,603,701,701,0,0,0,0,0.0,0.0,0.0,98.0,,46.5,49.0,0.0,0.0,0.0,0,9999,,0,64000.0,0,0.0,0.0,2,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-015,REP-008
C_725793,2022-03-01,477,652,652,0,0,0,0,0.0,0.0,0.0,175.0,,37.0,43.0,0.0,0.0,0.0,0,9999,,0,11000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,0,1,1,1,0,B,غیرفعال,LOC-012,REP-006
C_348438,2022-03-01,610,750,750,0,0,0,0,0.0,0.0,0.0,46.66666666666666,26.50157228040128,14.2,34.0,0.0,0.2,0.0,0,9999,,0,242000.0,0,0.0,0.0,3,0,0,0,0.0,0.0,0,,0.0,,0.0,0,0,0,0,0,1,0,1,1,0,A,غیرفعال,LOC-006,REP-008
C_307303,2022-03-01,211,239,239,0,0,2,0,0.0,94974.45,47487.225,28.0,,11.5,17.0,0.0,0.0,0.0,0,9999,1.0,2,140000.0,0,0.0,-0.0578571428571428,3,2,2,0,0.0,0.0,1,1.0,0.0,,0.0,0,0,0,2,7,0,1,1,1,0,B,غیرفعال,LOC-008,REP-005
C_361746,2022-03-01,204,204,204,0,0,1,0,0.0,283424.48,94474.82666666666,,,18.0,18.0,0.0,0.0,0.0,0,9999,0.5699999872982038,0,426000.0,0,0.0,-0.0707144692586185,3,1,1,0,0.0,0.0,1,1.0,0.0,0.0161381530297097,0.0,0,0,0,0,5,0,0,1,1,1,C,غیرفعال,LOC-005,REP-003
C_023073,2022-03-01,127,659,659,0,7,11,-7,0.0,62208.56,4443.468571428572,44.333333333333336,58.51547321914612,21.11764705882353,48.0,16.666666666666664,0.0588235294117647,0.0,0,9999,1.0172686845668828,0,37000.0,0,0.0,-0.1471373882937345,3,8,2,0,0.0,0.0,0,1.0,0.0,0.1314940132070106,0.0,0,0,1,0,4,0,0,1,1,1,C,فعال,LOC-004,REP-006
C_669722,2022-03-01,372,372,372,0,0,0,0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0,9999,,1,15000.0,0,0.0,0.0,4,0,0,0,0.0,0.0,1,,0.0,,0.0,0,0,0,0,5,1,0,0,1,0,A,غیرفعال,LOC-006,REP-006
C_287361,2022-03-01,232,743,743,0,0,2,0,0.0,186592.24,37318.448,170.33333333333334,49.66219219218311,23.0,49.0,-39.0,0.3333333333333333,0.0,0,9999,1.1718132008062072,0,148000.0,45,0.0,0.0,2,1,1,0,0.0,0.0,0,0.0,0.0,0.1599866399465597,0.0,0,0,0,0,6,1,0,1,1,1,A,غیرفعال,LOC-012,REP-007
