Estimate_ID,Product_ID,Month_Key,Available_At,هزینه کل برآوردی به ازای واحد,Estimate_Version,Source_System
EST-201912-P_003843,P_003843,2019-12,2019-12-01,88.56,PLAN_V1,COSTING_PLAN
EST-201912-P_036240,P_036240,2019-12,2019-12-01,130.45,PLAN_V1,COSTING_PLAN
EST-201912-P_047794,P_047794,2019-12,2019-12-01,106.02,PLAN_V1,COSTING_PLAN
EST-201912-P_054756,P_054756,2019-12,2019-12-01,64.92,PLAN_V1,COSTING_PLAN
EST-201912-P_061764,P_061764,2019-12,2019-12-01,85.09,PLAN_V1,COSTING_PLAN
EST-201912-P_077463,P_077463,2019-12,2019-12-01,40.35,PLAN_V1,COSTING_PLAN
EST-201912-P_108987,P_108987,2019-12,2019-12-01,83.92,PLAN_V1,COSTING_PLAN
EST-201912-P_140724,P_140724,2019-12,2019-12-01,116.14,PLAN_V1,COSTING_PLAN
EST-201912-P_159680,P_159680,2019-12,2019-12-01,66.77,PLAN_V1,COSTING_PLAN
EST-201912-P_176563,P_176563,2019-12,2019-12-01,41.52,PLAN_V1,COSTING_PLAN
EST-201912-P_218246,P_218246,2019-12,2019-12-01,123.81,PLAN_V1,COSTING_PLAN
EST-201912-P_218456,P_218456,2019-12,2019-12-01,61.78,PLAN_V1,COSTING_PLAN
EST-201912-P_242632,P_242632,2019-12,2019-12-01,82.21,PLAN_V1,COSTING_PLAN
EST-201912-P_282386,P_282386,2019-12,2019-12-01,80.51,PLAN_V1,COSTING_PLAN
EST-201912-P_285444,P_285444,2019-12,2019-12-01,97.03,PLAN_V1,COSTING_PLAN
EST-201912-P_310017,P_310017,2019-12,2019-12-01,118.46,PLAN_V1,COSTING_PLAN
EST-201912-P_316068,P_316068,2019-12,2019-12-01,53.96,PLAN_V1,COSTING_PLAN
EST-201912-P_317921,P_317921,2019-12,2019-12-01,53.25,PLAN_V1,COSTING_PLAN
EST-201912-P_328965,P_328965,2019-12,2019-12-01,83.66,PLAN_V1,COSTING_PLAN
EST-201912-P_341223,P_341223,2019-12,2019-12-01,73.98,PLAN_V1,COSTING_PLAN
EST-201912-P_343377,P_343377,2019-12,2019-12-01,81.61,PLAN_V1,COSTING_PLAN
EST-201912-P_361916,P_361916,2019-12,2019-12-01,53.25,PLAN_V1,COSTING_PLAN
EST-201912-P_379523,P_379523,2019-12,2019-12-01,72.68,PLAN_V1,COSTING_PLAN
EST-201912-P_383500,P_383500,2019-12,2019-12-01,78.01,PLAN_V1,COSTING_PLAN
EST-201912-P_417970,P_417970,2019-12,2019-12-01,65.25,PLAN_V1,COSTING_PLAN
EST-201912-P_421045,P_421045,2019-12,2019-12-01,107.13,PLAN_V1,COSTING_PLAN
EST-201912-P_421668,P_421668,2019-12,2019-12-01,42.02,PLAN_V1,COSTING_PLAN
EST-201912-P_427873,P_427873,2019-12,2019-12-01,78.54,PLAN_V1,COSTING_PLAN
EST-201912-P_434331,P_434331,2019-12,2019-12-01,57.80,PLAN_V1,COSTING_PLAN
EST-201912-P_444327,P_444327,2019-12,2019-12-01,128.08,PLAN_V1,COSTING_PLAN
EST-201912-P_459910,P_459910,2019-12,2019-12-01,93.85,PLAN_V1,COSTING_PLAN
EST-201912-P_462985,P_462985,2019-12,2019-12-01,78.83,PLAN_V1,COSTING_PLAN
EST-201912-P_499026,P_499026,2019-12,2019-12-01,76.73,PLAN_V1,COSTING_PLAN
EST-201912-P_499327,P_499327,2019-12,2019-12-01,74.34,PLAN_V1,COSTING_PLAN
EST-201912-P_529239,P_529239,2019-12,2019-12-01,34.77,PLAN_V1,COSTING_PLAN
EST-201912-P_541402,P_541402,2019-12,2019-12-01,70.07,PLAN_V1,COSTING_PLAN
EST-201912-P_569202,P_569202,2019-12,2019-12-01,70.55,PLAN_V1,COSTING_PLAN
EST-201912-P_571374,P_571374,2019-12,2019-12-01,129.33,PLAN_V1,COSTING_PLAN
EST-201912-P_582317,P_582317,2019-12,2019-12-01,98.61,PLAN_V1,COSTING_PLAN
